経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.91,-0.91,,,0.2725863,1.797716,1.091402,,,0.2708067,1.79356,1.091634,,46.050527461344,23.0466422221792,23.3246479891354
0.014, 0.54,-0.54,,,0.2720917,1.795791,1.090794,,,0.2710395,1.793319,1.090927,,46.050527461344,23.1643280858509,23.1854487377242
0.021, 0.09,-0.09,,,0.2707888,1.794164,1.090028,,,0.2706161,1.793758,1.090048,,46.050527461344,23.1749695202817,23.1354961506193
0.032, 0.25,0.25,,,0.2694057,1.793348,1.089074,,,0.2698968,1.794504,1.089019,,46.050527461344,23.1666110765175,23.1186016781774
0.044, 0.39,0.39,,,0.2685126,1.793386,1.088602,,,0.2692665,1.795158,1.088519,,46.050527461344,23.1323747542555,23.1415015942799
0.054, 0.17,0.17,,,0.2689898,1.794306,1.089262,,,0.2693264,1.795096,1.089224,,46.050527461344,23.1071269606911,23.1855187471612
0.065, 0.15,0.15,,,0.2691078,1.794344,1.089621,,,0.2693968,1.795023,1.089587,,46.050527461344,23.1254455275353,23.1775547468106
0.078, 0.11,0.11,,,0.2694454,1.794243,1.090623,,,0.2696604,1.794749,1.090598,,46.050527461344,23.1793340110399,23.1348267920993
0.088, 0.02,-0.02,,,0.2698826,1.794667,1.091569,,,0.2698389,1.794564,1.091574,,46.050527461344,23.2476000423472,23.0757354121393
0.099, 0.24,-0.24,,,0.2707644,1.795204,1.092512,,,0.2702941,1.794092,1.09257,,46.050527461344,23.2856749308159,23.0466422221792
0.11, 0.45,-0.45,,,0.2713973,1.795903,1.094042,,,0.2705284,1.793849,1.094151,,46.050527461344,23.2823486287826,23.0586001755359
0.121, 0.74,-0.74,,,0.2725749,1.796656,1.094988,,,0.2711245,1.793231,1.095173,,46.050527461344,23.2666443167705,23.0837677143797
0.132, 1.14,-1.14,,,0.2737576,1.798065,1.096686,,,0.2715304,1.792809,1.096977,,46.050527461344,23.254805891721,23.1104413098936
0.144, 1.34,-1.34,,,0.274272,1.798832,1.098177,,,0.2716591,1.792676,1.098521,,46.050527461344,23.2302274566767,23.1426832169735
