経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.9,-0.9,,,0.4055048,1.789264,1.326885,,,0.404322,1.784956,1.327361,,38.5268352433198,24.515129437773,16.3933312311529
0.01, 0.71,-0.71,,,0.4049818,1.78858,1.32681,,,0.4040501,1.785181,1.327185,,38.4750145995289,24.4829609552247,16.3683856734509
0.022, 0.56,-0.56,,,0.4048635,1.787774,1.326955,,,0.404137,1.785109,1.32725,,38.4916666002621,24.5808665916105,16.3035979158817
0.033, 0.07,-0.07,,,0.4051823,1.784748,1.326251,,,0.4050881,1.784397,1.32629,,38.6541089847721,24.9428751452838,16.107465624228
0.044, 0.2,0.2,,,0.4059824,1.782473,1.326944,,,0.4062405,1.783449,1.326834,,38.8716300132164,25.3936881085272,15.9497326550197
0.055, 0.33,0.33,,,0.4058931,1.781828,1.326736,,,0.4063106,1.783406,1.326558,,38.8812503343947,25.3651549940634,15.9519456362492
0.066, 0.39,0.39,,,0.4054404,1.78185,1.326195,,,0.4059401,1.78373,1.325985,,38.8066817462061,25.1890966278219,15.9813188639574
0.077, 0.74,0.74,,,0.4045269,1.780555,1.325596,,,0.4054805,1.784132,1.325203,,38.7137741006064,25.0019596950548,15.9884120152131
0.09, 1.34,1.34,,,0.4034221,1.77799,1.3246,,,0.4051515,1.784448,1.323908,,38.640168569064,24.7759043454801,15.9975849590132
0.1, 1.96,1.96,,,0.401929,1.775627,1.323614,,,0.4044696,1.785038,1.322629,,38.503438430969,24.4455229818784,16.0613157448378
0.111, 2.04,2.04,,,0.40206,1.77504,1.323857,,,0.4047044,1.784845,1.322825,,38.5480737159529,24.518182532247,16.0591796032343
0.121, 2.08,2.08,,,0.4018474,1.774982,1.32424,,,0.4045318,1.784969,1.323179,,38.5198103939539,24.5654764682914,16.0294494981519
0.132, 2.34,2.34,,,0.4024529,1.772933,1.325082,,,0.4054647,1.784199,1.323882,,38.6972279678025,24.8412607162819,15.9631864197629
0.143, 2.71,2.71,,,0.4024741,1.770811,1.325148,,,0.4059325,1.783829,1.323762,,38.781854009264,25.0027741950907,15.8791272839867
0.155, 3,3,,,0.402253,1.769303,1.325507,,,0.4060642,1.783715,1.323984,,38.8082014632542,25.0859334534688,15.8056190826373
0.167, 3.2,3.2,,,0.4017822,1.76854,1.325285,,,0.4058388,1.783908,1.32367,,38.7637642537506,25.0465010649403,15.770474345241
0.178, 3.2,3.2,,,0.4017228,1.768546,1.325217,,,0.4057907,1.783949,1.3236,,38.754266875974,25.0271818754105,15.7732883831007
0.189, 3.3,3.3,,,0.400914,1.768632,1.325184,,,0.4051116,1.784495,1.323519,,38.6290558515937,24.8771670197495,15.7990228276299
0.2, 3.51,3.51,,,0.4000699,1.768083,1.325644,,,0.4045397,1.784937,1.323881,,38.5279485641235,24.7584754107505,15.8224486682839
0.212, 3.73,3.73,,,0.3980868,1.768323,1.325263,,,0.4028823,1.786265,1.323402,,38.2209623053254,24.3278080899035,15.909267200408
0.222, 4.04,4.04,,,0.394624,1.769227,1.324663,,,0.3998639,1.788641,1.322674,,37.666798337532,23.6172703605088,16.0161613654914
0.233, 4.14,4.14,,,0.3930321,1.769866,1.324231,,,0.3984173,1.789766,1.32221,,37.4017460239762,23.2965742048806,16.0354720172849
0.245, 4.06,4.06,,,0.392117,1.771022,1.324477,,,0.397382,1.790545,1.322481,,37.2179388083369,23.1904620964354,16.0019579875076
0.256, 4.02,4.02,,,0.3901382,1.772778,1.324907,,,0.3953158,1.792087,1.322907,,36.8516221129645,22.9601447089372,15.9496336172795
0.267, 4.03,4.03,,,0.3875807,1.774598,1.32494,,,0.3927509,1.793991,1.322895,,36.3944399984974,22.6375275626584,15.9080582569585
0.278, 3.88,3.88,,,0.3853346,1.777142,1.325482,,,0.3902878,1.795769,1.323486,,35.9636941304771,22.3198742562209,15.9053552096697
0.289, 3.84,3.84,,,0.3818714,1.779848,1.325027,,,0.3867916,1.798288,1.323037,,35.3440730465944,21.6874329076228,15.9645148915195
0.3, 3.79,3.79,,,0.3773223,1.783323,1.324351,,,0.3822095,1.801506,1.32238,,34.5385342186776,20.8151921616751,16.0706065093978
0.311, 3.88,3.88,,,0.3732769,1.785508,1.323948,,,0.378327,1.804155,1.321932,,33.8630934153563,20.0568277414956,16.1665313909794
0.322, 4.02,4.02,,,0.3690317,1.787563,1.323138,,,0.3742778,1.806858,1.32105,,33.1608031391549,19.3115106898149,16.2200817801294
0.333, 4.05,4.05,,,0.3660566,1.78932,1.323653,,,0.3713256,1.808752,1.321548,,32.6620900605952,18.9152538610489,16.1863286937377
