経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.79,-0.79,,,-0.07588735,1.592852,0.9635546,,,-0.07604057,1.589085,0.9646912,,45.8734855478893,37.7138515094148,16.6836620741235
0.011, 0.5,-0.5,,,-0.07454782,1.592484,0.9639695,,,-0.07463434,1.590106,0.964678,,45.8734855478893,37.6006069761274,16.4615357907594
0.021, 1.24,-1.24,,,-0.07596844,1.592927,0.9602534,,,-0.07619238,1.587006,0.9620099,,45.8734855478893,37.7043165655988,16.4034672315992
0.032, 0.7,-0.7,,,-0.07609326,1.592616,0.9640983,,,-0.07622696,1.589248,0.9651002,,45.8734855478893,37.7735439460051,16.4580404415489
0.044, 0.5,-0.5,,,-0.07635038,1.592996,0.9664745,,,-0.07644748,1.590616,0.9671859,,45.8734855478893,37.7912238901797,16.5380834262049
0.055, 0.32,-0.32,,,-0.07640576,1.592366,0.9670252,,,-0.07646906,1.590821,0.9674867,,45.8734855478893,37.8052223624941,16.5286748408851
0.066, 0.2,-0.2,,,-0.07728238,1.592691,0.9692974,,,-0.07732255,1.591734,0.9695845,,45.8734855478893,37.8212152499906,16.598527183583
0.077, 0.22,-0.22,,,-0.07771137,1.593618,0.9708669,,,-0.0777559,1.592584,0.9711779,,45.8734855478893,37.8465074397833,16.6684871017573
0.088, 0.22,-0.22,,,-0.07764538,1.593353,0.9704381,,,-0.0776896,1.592318,0.9707485,,45.8734855478893,37.8610830630666,16.6027465328253
0.1, 0.16,-0.16,,,-0.07841922,1.593448,0.9717481,,,-0.07845323,1.592664,0.9719836,,45.8734855478893,37.8813004224472,16.6184440146485
0.11, 0.18,-0.18,,,-0.07910967,1.593472,0.972362,,,-0.07914665,1.59262,0.9726177,,45.8734855478893,37.8909207436254,16.621500524217
0.121, 0.18,-0.18,,,-0.07972656,1.5934,0.9728425,,,-0.07976452,1.592525,0.9731048,,45.8734855478893,37.894144592824,16.6048263253697
0.133, 0.06,-0.06,,,-0.08069655,1.593249,0.974529,,,-0.08070959,1.592943,0.9746206,,45.8734855478893,37.8657275915729,16.5784549657181
0.144, 0.02,0.02,,,-0.08108298,1.593687,0.9761634,,,-0.08107895,1.593783,0.9761348,,45.8734855478893,37.847494402091,16.5430011622705
0.155, 0.02,0.02,,,-0.08225917,1.593568,0.9771981,,,-0.08225468,1.593677,0.9771659,,45.8734855478893,37.8502981946672,16.5149495761299
0.166, 0.13,0.13,,,-0.08327883,1.593326,0.9786986,,,-0.08325373,1.593935,0.9785174,,45.8734855478893,37.8521969872036,16.4549309980158
0.177, 0.05,0.05,,,-0.08374191,1.593936,0.9793766,,,-0.08373255,1.594164,0.9793086,,45.8734855478893,37.8359411374314,16.4575333000172
0.188, 0.11,0.11,,,-0.08442341,1.593855,0.9804229,,,-0.08440199,1.594377,0.9802679,,45.8734855478893,37.8476378360595,16.4373074029003
0.199, 0.07,-0.07,,,-0.08615895,1.594253,0.9813166,,,-0.08617236,1.59392,0.9814153,,45.8734855478893,37.8415657980564,16.3925918631959
0.21, 0.23,0.23,,,-0.08603306,1.594362,0.9836807,,,-0.08599031,1.595473,0.9833502,,45.8734855478893,37.7147052830373,16.4543401866691
0.221, 0.22,0.22,,,-0.0866753,1.594246,0.9840738,,,-0.08663474,1.595301,0.9837605,,45.8734855478893,37.7258487363581,16.4255355721934
0.232, 0.27,0.27,,,-0.08740823,1.594228,0.9852052,,,-0.08735709,1.595544,0.9848144,,45.8734855478893,37.7484873977321,16.4142999113214
0.244, 0.49,0.49,,,-0.08808848,1.594055,0.9873109,,,-0.08799737,1.596398,0.9866179,,45.8734855478893,37.7796125689138,16.3641185128857
0.255, 0.65,0.65,,,-0.08860321,1.593869,0.98886,,,-0.08848187,1.597008,0.9879344,,45.8734855478893,37.7894241353835,16.3160988692622
0.266, 0.81,0.81,,,-0.08860718,1.594223,0.9905202,,,-0.08846393,1.598085,0.9893843,,45.8734855478893,37.7334439065038,16.2684395181074
0.277, 0.92,0.92,,,-0.08883651,1.594704,0.9922985,,,-0.08867713,1.599115,0.9910021,,45.8734855478893,37.6919129424113,16.2487156398806
0.288, 1.22,1.22,,,-0.08879404,1.594798,0.9947367,,,-0.08859302,1.60066,0.9930248,,45.8734855478893,37.6536980350685,16.1356674745262
0.299, 1.46,1.46,,,-0.08831515,1.594726,0.9960487,,,-0.08808114,1.60175,0.9939982,,45.8734855478893,37.6086768444072,16.1259805590054
0.31, 1.89,1.89,,,-0.08727819,1.595078,0.998837,,,-0.08698304,1.604166,0.9961944,,45.8734855478893,37.5984383911262,16.0603885466838
0.321, 1.89,1.89,,,-0.08770318,1.595041,0.9991883,,,-0.08739835,1.604125,0.9965532,,45.8734855478893,37.667635035682,16.0314900171096
0.332, 2.07,2.07,,,-0.08801945,1.595767,1.001822,,,-0.08767913,1.605693,0.9989721,,45.8734855478893,37.781586493529,15.8777048971317
0.344, 2.48,2.48,,,-0.08689654,1.595795,1.00394,,,-0.08649962,1.607693,1.000519,,45.8734855478893,37.7258931325865,15.8935492280179
