経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.31,-0.31,,,0.1104369,1.804165,1.595327,,,0.1102961,1.802628,1.595203,,34.4916108203854,29.7918841417811,7.13220627626065
0.01, 1.07,1.07,,,0.1120365,1.796126,1.596361,,,0.1124988,1.801461,1.596805,,34.7874536258627,29.8687032772385,7.02316913938481
0.021, 2.59,2.59,,,0.1152636,1.78737,1.597285,,,0.1163014,1.800207,1.598388,,35.1026497718148,29.9146704490735,6.9128470732071
0.032, 3.03,3.03,,,0.1149225,1.783292,1.599764,,,0.1161583,1.798357,1.601037,,35.5636397166382,30.4608260202879,6.89924261741949
0.044, 2.75,2.75,,,0.1105489,1.783385,1.602053,,,0.1118114,1.797021,1.603166,,35.8935719953145,31.1044483882462,7.20135254817275
0.055, 3.05,3.05,,,0.1075061,1.781699,1.60229,,,0.1090162,1.796842,1.603534,,35.9377838085817,31.2308000541862,7.52305701044905
0.066, 3.66,3.66,,,0.1070056,1.778201,1.60268,,,0.1088656,1.79636,1.604208,,36.0558846062339,31.256399602483,7.71311982542037
0.077, 2.07,2.07,,,0.1044306,1.784351,1.60595,,,0.1056157,1.794581,1.606748,,36.4892464366335,32.2345748719624,8.09070547883609
0.087, 2.13,2.13,,,0.1019248,1.785114,1.60446,,,0.1032225,1.795665,1.6053,,36.2258709344723,32.0260696929716,8.47481908536939
0.099, 2.23,2.23,,,0.09907813,1.786274,1.602139,,,0.100516,1.79727,1.603088,,35.8327320869756,31.4490792336073,9.04719831339867
0.11, 2.17,2.17,,,0.1022108,1.785344,1.603833,,,0.1035869,1.796058,1.604753,,36.1298657981702,31.632408336018,8.92431638346047
0.121, 1.91,1.91,,,0.1046919,1.78503,1.606063,,,0.1058836,1.794487,1.606871,,36.5121480602832,31.9290195377556,8.79758905712656
0.132, 1.85,1.85,,,0.1065203,1.785224,1.606214,,,0.107631,1.794375,1.606978,,36.5392297595887,31.9620195958122,8.52426623848971
0.144, 1.94,1.94,,,0.1074023,1.784983,1.605873,,,0.1085568,1.794561,1.606694,,36.4940446443919,31.7519639639229,8.56270227320073
0.154, 2.2,2.2,,,0.107094,1.785013,1.603906,,,0.10844,1.795867,1.604905,,36.1764135360685,31.1263869552497,8.93045586957982
0.165, 2.37,2.37,,,0.1074561,1.784838,1.602878,,,0.1089008,1.796531,1.60397,,36.0140667742042,30.8713476987386,8.95743084718249
0.177, 2.28,2.28,,,0.107452,1.785355,1.602808,,,0.1088253,1.796624,1.603844,,35.9913734713183,30.9178237196526,8.83339888417479
0.188, 2.43,2.43,,,0.1070459,1.785324,1.601765,,,0.1085015,1.797335,1.602863,,35.8165103881483,30.7823981476527,8.78335408951873
0.199, 2.43,2.43,,,0.108891,1.786054,1.600713,,,0.1102759,1.798064,1.601771,,35.636425625503,30.6820353507814,8.41034039385146
0.21, 2.56,2.56,,,0.1086832,1.786512,1.599111,,,0.1101087,1.799181,1.600198,,35.3594307265158,30.5197124945785,8.20798409248987
0.221, 2.63,2.63,,,0.1098379,1.787288,1.597412,,,0.1112297,1.800341,1.598488,,35.0693730911045,30.3430257509508,7.83258239200048
0.232, 2.97,2.97,,,0.1095184,1.787813,1.594103,,,0.1110513,1.802552,1.595279,,34.5106226514111,29.9281976383483,7.6224115006722
0.243, 3.34,3.34,,,0.1087436,1.788267,1.590608,,,0.1104194,1.80485,1.591895,,33.9217749839775,29.4646190519015,7.41682622747034
0.255, 3.85,3.85,,,0.1079574,1.78865,1.58606,,,0.1098279,1.807737,1.58752,,33.1683265923163,28.7787553801968,7.24264360187739
0.266, 4.37,4.37,,,0.1060393,1.789238,1.580913,,,0.1081535,1.810925,1.582575,,32.3182310265888,27.9744801372413,7.22591134642377
0.277, 4.77,4.77,,,0.1048332,1.789801,1.576727,,,0.1071031,1.813465,1.5785,,31.6263704489597,27.4084316406228,7.09508718736233
0.288, 4.89,4.89,,,0.1041372,1.79105,1.573714,,,0.1063987,1.815336,1.575419,,31.1076927280116,27.1569372521922,6.80524171469618
0.299, 5.12,5.12,,,0.1029227,1.791864,1.570477,,,0.1052035,1.817332,1.572073,,30.5460906844191,27.0322521523633,6.3839881018108
0.311, 5.36,5.36,,,0.1029834,1.791922,1.568476,,,0.1052409,1.818562,1.56995,,30.194824310464,27.0566256817382,5.91973546108898
0.321, 5.77,5.77,,,0.103412,1.791672,1.565272,,,0.1056807,1.820386,1.566739,,29.667260513653,26.7206179499643,5.51501645506362
0.333, 6.06,6.06,,,0.1024547,1.792402,1.561316,,,0.1048047,1.822601,1.562777,,29.0146598622806,26.2414016458479,5.37151503836859
0.344, 6.51,6.51,,,0.1017325,1.79251,1.556969,,,0.1042173,1.82495,1.558445,,28.3074023311435,25.7096116696055,5.22367218280318
0.355, 7.05,7.05,,,0.1015651,1.792385,1.552021,,,0.1042087,1.827479,1.55362,,27.52711812698,24.9257825973615,5.16512892550882
0.366, 7.45,7.45,,,0.1012387,1.792471,1.547902,,,0.1040111,1.829563,1.549524,,26.8685342300613,24.3794016299108,5.08052721659554
0.377, 7.93,7.93,,,0.1013151,1.792424,1.543005,,,0.1042058,1.831949,1.544678,,26.0954080639488,23.678154665076,4.95989668769985
0.388, 8.17,8.17,,,0.1004875,1.79314,1.539089,,,0.1034208,1.833851,1.54071,,25.4633594512171,23.2069689556527,4.83201036367341
0.399, 8.59,8.59,,,0.1005659,1.793165,1.534521,,,0.1035685,1.835974,1.536121,,24.7393696646263,22.611275731314,4.66652598374643
0.41, 8.85,8.85,,,0.09992971,1.793369,1.53125,,,0.1029544,1.837511,1.532716,,24.2030922542242,22.3195873882837,4.46878945145614
0.421, 8.95,8.95,,,0.09979966,1.794288,1.5283,,,0.1027934,1.838898,1.529557,,23.7086395060407,22.1075236808344,4.26567414534414
0.432, 9.33,9.33,,,0.09888556,1.793905,1.524766,,,0.1019741,1.84046,1.525919,,23.1404070564959,21.7534039954329,4.14472558577408
0.444, 9.66,9.66,,,0.0979947,1.794186,1.520206,,,0.1012208,1.842385,1.521282,,22.4205358738601,21.2075882261202,4.1217927993871
0.455, 10.16,10.16,,,0.09693868,1.793677,1.515289,,,0.1003711,1.844332,1.516414,,21.6693585200347,20.5082434689164,4.16301853940962
0.466, 10.47,10.47,,,0.09604728,1.793835,1.510794,,,0.09961845,1.846071,1.511898,,20.9766544140665,19.9166773862688,4.17373083705104
0.477, 10.78,10.78,,,0.09553102,1.793927,1.506412,,,0.09919221,1.847712,1.507479,,20.3019205353047,19.3394768985933,4.1323748965511
0.488, 10.94,10.94,,,0.09432379,1.794598,1.502415,,,0.0980226,1.849152,1.50345,,19.6914143386157,18.8240196117493,4.10159806500746
