経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.06,-0.06,,,-0.07512834,1.791605,1.530826,,,-0.07507321,1.791338,1.530888,,46.050527461344,36.3955396589231,17.0405718917233
0.011, 1.08,1.08,,,-0.07153498,1.788702,1.533259,,,-0.07264006,1.793862,1.53206,,46.050527461344,36.023683680288,17.3595161038781
0.022, 2.42,2.42,,,-0.06595339,1.786605,1.536159,,,-0.06854743,1.798108,1.533455,,46.050527461344,35.4847749395813,17.8651874374611
0.033, 3.55,3.55,,,-0.06147615,1.784514,1.538939,,,-0.06544197,1.801329,1.534942,,46.050527461344,35.0027548428886,18.3364909676443
0.044, 4.49,4.49,,,-0.05797993,1.78245,1.541069,,,-0.06316032,1.803696,1.53596,,46.050527461344,34.6470659215689,18.7286462679278
0.055, 5.04,5.04,,,-0.05654035,1.780623,1.541694,,,-0.06241158,1.804473,1.535954,,46.050527461344,34.5321548221703,18.8234492909695
0.066, 5.32,5.32,,,-0.05658447,1.778985,1.541962,,,-0.06272945,1.804143,1.535975,,46.050527461344,34.5811682582904,18.6574996044182
0.078, 4.98,4.98,,,-0.05942021,1.778152,1.539999,,,-0.0650062,1.801781,1.534506,,46.050527461344,34.8841725169133,18.1697899603052
0.089, 4.66,4.66,,,-0.06277481,1.776666,1.538473,,,-0.06784619,1.798835,1.533452,,46.050527461344,35.1731953786941,17.669651079796
0.1, 4.3,4.3,,,-0.06543785,1.776081,1.536954,,,-0.06998524,1.796616,1.532391,,46.050527461344,35.4791741846177,17.2409098722413
0.111, 4.23,4.23,,,-0.06675994,1.775214,1.536258,,,-0.07115838,1.795399,1.531811,,46.050527461344,35.6316274177446,17.040758014373
0.122, 4.46,4.46,,,-0.06646214,1.774131,1.537216,,,-0.07112424,1.795435,1.532499,,46.050527461344,35.6008027748781,17.1151473101008
0.133, 4.5,4.5,,,-0.06518244,1.77514,1.537055,,,-0.06999096,1.79661,1.532239,,46.050527461344,35.3841013691114,17.4123988420553
0.144, 5.05,5.05,,,-0.06386973,1.773216,1.5369,,,-0.06934518,1.79728,1.531507,,46.050527461344,35.195902341958,17.5366143663918
0.155, 5.74,5.74,,,-0.0617629,1.77125,1.536662,,,-0.06813002,1.798541,1.530556,,46.050527461344,34.8940079890444,17.7412826867231
0.166, 6.03,6.03,,,-0.06132437,1.76992,1.535212,,,-0.06809384,1.798578,1.528812,,46.050527461344,34.7382113784118,17.8365552852572
0.177, 6.17,6.17,,,-0.06116799,1.769204,1.534357,,,-0.06811891,1.798552,1.527814,,46.050527461344,34.6998325465335,17.8478353423575
