経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.68,-0.68,,,-0.1903882,1.641493,1.366866,,,-0.1897492,1.638229,1.36755,,45.0005395849294,35.6334032668794,15.8260191495732
0.011, 0.23,-0.23,,,-0.1895307,1.639782,1.36904,,,-0.1893116,1.638666,1.369275,,45.0005395849294,35.6166693038785,15.8734462743027
0.022, 0.06,0.06,,,-0.1890029,1.638611,1.370377,,,-0.1890625,1.638915,1.370313,,45.0005395849294,35.6383653991733,15.8602691322131
0.033, 0.28,0.28,,,-0.1885057,1.637843,1.37057,,,-0.1887721,1.639206,1.370285,,45.0005395849294,35.6410633238204,15.7981690540074
0.044, 0.42,0.42,,,-0.188525,1.637058,1.37073,,,-0.1889166,1.639061,1.370313,,45.0005395849294,35.6247016061189,15.7558918917688
0.055, 1.05,1.05,,,-0.1868136,1.635118,1.371744,,,-0.1878073,1.640171,1.370696,,45.0005395849294,35.5530802444752,15.773025420825
0.066, 1.8,1.8,,,-0.1850978,1.632485,1.372633,,,-0.1868256,1.641152,1.370845,,45.0005395849294,35.3951594450699,15.8309898196033
0.077, 2.57,2.57,,,-0.1825788,1.630547,1.373757,,,-0.1850803,1.642897,1.371215,,45.0005395849294,35.2199036260335,15.9324488618059
0.089, 3.05,3.05,,,-0.1810821,1.629258,1.374305,,,-0.1840804,1.643898,1.371294,,45.0005395849294,35.0986233754111,16.0078285349358
0.1, 3.17,3.17,,,-0.1804223,1.629238,1.37426,,,-0.1835374,1.644441,1.371136,,45.0005395849294,35.090990639226,16.0061448933523
0.111, 2.67,2.67,,,-0.1820274,1.630533,1.373713,,,-0.1846227,1.643355,1.371075,,45.0005395849294,35.2258493055405,15.9235388802816
0.122, 2.53,2.53,,,-0.1823235,1.631078,1.374033,,,-0.1847528,1.643225,1.371543,,45.0005395849294,35.3397939331985,15.8027982145886
0.133, 2.33,2.33,,,-0.1829762,1.631575,1.373465,,,-0.1851673,1.642811,1.37118,,45.0005395849294,35.5770781134563,15.5571504679249
0.144, 2.06,2.06,,,-0.1834359,1.632711,1.372471,,,-0.1853432,1.642635,1.370463,,45.0005395849294,35.7098979683603,15.4135713578302
0.155, 1.96,1.96,,,-0.1833175,1.633423,1.372143,,,-0.1851315,1.642846,1.370229,,45.0005395849294,35.7039352133808,15.4538148313
0.166, 1.91,1.91,,,-0.1821807,1.634825,1.372081,,,-0.1839631,1.644015,1.370201,,45.0005395849294,35.6510968714319,15.5630961474319
0.177, 1.79,1.79,,,-0.1813445,1.636323,1.37161,,,-0.1830236,1.644954,1.369828,,45.0005395849294,35.6492493053129,15.6576959723514
0.188, 1.53,1.53,,,-0.1799502,1.639248,1.371647,,,-0.1813833,1.646595,1.370106,,45.0005395849294,35.67303885353,15.8025215919349
0.2, 1.23,1.23,,,-0.178144,1.642777,1.371631,,,-0.1792951,1.648683,1.370374,,45.0005395849294,35.7264543464477,15.9128171911303
0.211, 0.89,0.89,,,-0.178052,1.6448,1.371425,,,-0.178883,1.649095,1.370507,,45.0005395849294,35.8163430485182,15.8959312564246
0.221, 0.56,0.56,,,-0.177353,1.647413,1.371067,,,-0.1778668,1.650111,1.370489,,45.0005395849294,35.9845637729053,15.8055695637672
0.233, 0.01,-0.01,,,-0.1780738,1.649949,1.370478,,,-0.1780668,1.649911,1.370486,,45.0005395849294,36.168575894214,15.680973256395
0.244, 0.39,-0.39,,,-0.1777562,1.652418,1.370286,,,-0.1774166,1.650561,1.370683,,45.0005395849294,36.3702713747918,15.5165808529312
0.255, 0.74,-0.74,,,-0.1779657,1.654221,1.369346,,,-0.1773267,1.650651,1.370105,,45.0005395849294,36.5585899302524,15.3377084488299
0.266, 0.93,-0.93,,,-0.1766068,1.656641,1.369085,,,-0.1758183,1.65216,1.370033,,45.0005395849294,36.7052750687857,15.1899304800598
0.278, 1.07,-1.07,,,-0.1755126,1.658507,1.369026,,,-0.1746187,1.653359,1.370111,,45.0005395849294,36.8155996962843,15.0862926075726
0.288, 1.19,-1.19,,,-0.1737113,1.660987,1.368383,,,-0.1727267,1.655251,1.36959,,45.0005395849294,36.9127796250909,14.9973891602624
0.299, 1.21,-1.21,,,-0.1718983,1.662888,1.368432,,,-0.1709097,1.657068,1.369655,,45.0005395849294,37.0066571575258,14.9316724969919
0.31, 1.32,-1.32,,,-0.1699104,1.665504,1.368164,,,-0.1688381,1.65914,1.369506,,45.0005395849294,37.0891487649311,14.9096280620591
0.322, 1.37,-1.37,,,-0.1680558,1.667617,1.368746,,,-0.1669561,1.661022,1.370145,,45.0005395849294,37.199531449036,14.9015428258541
0.333, 1.55,-1.55,,,-0.1663497,1.670361,1.368731,,,-0.1651144,1.662863,1.370332,,45.0005395849294,37.326064114984,14.8964031086467
0.344, 1.76,-1.76,,,-0.1647609,1.673097,1.368666,,,-0.1633806,1.664597,1.370491,,45.0005395849294,37.4702254986892,14.8681466168366
0.355, 1.84,-1.84,,,-0.1632848,1.675011,1.368654,,,-0.1618642,1.666114,1.370562,,45.0005395849294,37.6092642406594,14.7679716501623
0.366, 2.03,-2.03,,,-0.1619965,1.677319,1.368056,,,-0.1604634,1.667515,1.370139,,45.0005395849294,37.7555976244603,14.5775032927203
0.377, 2.09,-2.09,,,-0.1606246,1.678998,1.366811,,,-0.1590768,1.668901,1.368936,,45.0005395849294,37.8895581209239,14.3903680675005
0.389, 2.08,-2.08,,,-0.1587637,1.680829,1.366056,,,-0.1572355,1.670742,1.368171,,45.0005395849294,37.974006577472,14.3010539550778
0.4, 2.02,-2.02,,,-0.1563021,1.682955,1.366946,,,-0.1548063,1.673172,1.369017,,45.0005395849294,37.9288658585035,14.4311647862777
0.411, 1.7,-1.7,,,-0.1530119,1.684474,1.367886,,,-0.1517354,1.676242,1.369648,,45.0005395849294,37.8481159492881,14.6053328977191
0.421, 1.27,-1.27,,,-0.1490233,1.686074,1.36917,,,-0.1480469,1.679931,1.370505,,45.0005395849294,37.6892969800319,14.8650849846264
0.433, 1.01,-1.01,,,-0.1455303,1.688133,1.369957,,,-0.1447399,1.683238,1.371029,,45.0005395849294,37.5823908621178,15.0219966236099
0.444, 0.85,-0.85,,,-0.1433374,1.689401,1.369538,,,-0.1426728,1.685305,1.370437,,45.0005395849294,37.54571616239,15.0587925591921
0.455, 0.81,-0.81,,,-0.142654,1.689873,1.369086,,,-0.1420239,1.685954,1.36994,,45.0005395849294,37.6040493913732,14.9575623283204
0.466, 0.79,-0.79,,,-0.1421201,1.690282,1.367834,,,-0.1415135,1.686464,1.368659,,45.0005395849294,37.6766782058915,14.8204923883236
0.477, 0.79,-0.79,,,-0.1410022,1.69137,1.366739,,,-0.1404059,1.687572,1.367555,,45.0005395849294,37.7588283038478,14.7001205528355
0.489, 0.8,-0.8,,,-0.1393025,1.69315,1.365831,,,-0.1387017,1.689276,1.366661,,45.0005395849294,37.8480817983432,14.6095180960165
0.5, 0.66,-0.66,,,-0.1370999,1.694535,1.36618,,,-0.136611,1.691367,1.366861,,45.0005395849294,37.9012070082292,14.6116969263011
0.511, 0.42,-0.42,,,-0.1344039,1.695914,1.366625,,,-0.1340904,1.693887,1.367062,,45.0005395849294,37.8917028002636,14.6610416265867
0.522, 0.04,0.04,,,-0.130428,1.697309,1.367262,,,-0.1304606,1.697517,1.367217,,45.0005395849294,37.7996762490423,14.7812017262164
0.533, 0.53,0.53,,,-0.1270204,1.697981,1.367626,,,-0.1274289,1.700549,1.367067,,45.0005395849294,37.6867971308653,14.8863029666926
