経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 2.44,2.44,,,-0.181373,1.793825,1.315632,,,-0.1787271,1.805449,1.313029,,33.5152592113636,47.4964272419811,17.5359125644741
0.011, 4.55,4.55,,,-0.1797062,1.786183,1.316382,,,-0.1749285,1.807921,1.311571,,32.8666678809225,46.381057381556,17.1473670190665
0.021, 4.14,4.14,,,-0.1806285,1.787393,1.318563,,,-0.1761876,1.807122,1.314065,,33.0799063808764,47.0339824669049,17.5882915762141
0.033, 1.33,-1.33,,,-0.1926475,1.80075,1.323054,,,-0.1942818,1.794478,1.324614,,36.2750653706004,52.5416180490021,19.6375548834144
0.044, 3.44,-3.44,,,-0.1964232,1.805552,1.32184,,,-0.2008994,1.789477,1.325984,,37.4702118383112,54.7267389376552,20.6109558507968
0.055, 0.65,-0.65,,,-0.1931829,1.797872,1.316032,,,-0.1939925,1.794823,1.316746,,36.1830046684342,52.2460313756114,19.3240645771601
0.066, 0.43,0.43,,,-0.1905424,1.795671,1.317808,,,-0.1900257,1.797684,1.317332,,35.4836684489665,51.1644231393142,19.0557081596853
0.077, 0.13,-0.13,,,-0.1898579,1.798316,1.317583,,,-0.190018,1.797687,1.317733,,35.4834464678247,51.1033988158729,19.0821239155652
0.096, 0.08,-0.08,,,-0.1902984,1.797808,1.317923,,,-0.1903987,1.797413,1.318017,,35.5513146406239,51.1676196677568,19.1006046993977
0.102, 0.09,-0.09,,,-0.1901789,1.797919,1.318233,,,-0.1902879,1.797489,1.318337,,35.5328902058505,51.1617320448561,19.1231767664292
0.111, 0.16,-0.16,,,-0.1905611,1.797915,1.318431,,,-0.1907541,1.797153,1.318615,,35.6159418887522,51.2226948965966,19.1175982095798
0.123, 0.18,-0.18,,,-0.1908138,1.797822,1.317968,,,-0.1910315,1.796958,1.318177,,35.663322909706,51.1946330651725,19.0894236800375
0.134, 0.21,-0.21,,,-0.1909667,1.79782,1.31837,,,-0.1912172,1.796821,1.318613,,35.6975558168735,51.1881785365865,19.0801397456665
0.145, 0.3,-0.3,,,-0.1914195,1.797829,1.31845,,,-0.1917687,1.796422,1.318795,,35.7955621985468,51.193284102849,19.0673058205732
0.156, 0.09,-0.09,,,-0.1914836,1.796969,1.318474,,,-0.1915852,1.796557,1.318575,,35.7623128385924,51.0647467764354,19.0034128177603
0.167, 0,0,,,-0.1921169,1.796182,1.318132,,,-0.1921181,1.796177,1.318134,,35.8548653143651,51.1306956661313,18.9672384293753
0.177, 0.07,-0.07,,,-0.1926718,1.796055,1.317948,,,-0.1927553,1.795716,1.31803,,35.9672287532742,51.222578783384,18.9399740225146
0.188, 0.03,0.03,,,-0.1931256,1.795332,1.317879,,,-0.1930908,1.795474,1.317845,,36.0260366803915,51.2461019542309,18.9135155779535
0.199, 0.06,-0.06,,,-0.1936755,1.795289,1.317852,,,-0.1937478,1.794995,1.317923,,36.142709968547,51.3500779210726,18.9029868416409
0.211, 0.2,0.2,,,-0.194099,1.793955,1.317807,,,-0.193864,1.794913,1.317575,,36.1622784599745,51.3212989198056,18.8747149819057
0.222, 0.31,0.31,,,-0.1944898,1.793247,1.317821,,,-0.1941295,1.794719,1.317463,,36.2090857450541,51.326954316281,18.8496481883493
0.233, 0.53,0.53,,,-0.1949826,1.79202,1.317912,,,-0.1943648,1.794547,1.317298,,36.2504698600836,51.3481654681582,18.847122725974
0.243, 0.68,0.68,,,-0.1950342,1.791414,1.318484,,,-0.1942472,1.794631,1.317702,,36.2306759724197,51.3522226004123,18.8487705090654
0.255, 1.08,1.08,,,-0.1953539,1.789634,1.31891,,,-0.1941002,1.794739,1.317672,,36.2044890278706,51.3713744503121,18.8661106513382
0.266, 1.58,1.58,,,-0.1959061,1.787303,1.319238,,,-0.1940581,1.794771,1.317433,,36.1963406124175,51.4387064532764,18.9020289076365
0.277, 0.92,0.92,,,-0.1970814,1.789001,1.321345,,,-0.1959547,1.793343,1.320265,,36.5443694767961,52.5697857483554,19.599280211918
0.288, 1.62,1.62,,,-0.1957536,1.787341,1.320714,,,-0.1937633,1.794974,1.318843,,36.1486351574871,52.1606062020393,19.5161670573155
0.299, 1.77,1.77,,,-0.1949067,1.787427,1.321147,,,-0.1926933,1.79575,1.319111,,35.9601697529634,52.250433432409,19.6992263672615
0.31, 3.18,3.18,,,-0.1925785,1.783733,1.321096,,,-0.1885897,1.798702,1.317499,,35.2319452492051,51.4734482095229,19.5738941070268
0.321, 2.29,2.29,,,-0.1925201,1.787278,1.323142,,,-0.1895066,1.798017,1.320505,,35.4048105020986,52.5211752933851,20.2857927515758
0.332, 3.23,3.23,,,-0.1902741,1.785372,1.322979,,,-0.1859821,1.800509,1.319363,,34.7826861539547,51.9606524196514,20.1814684450961
0.344, 3.81,3.81,,,-0.1890861,1.784083,1.323414,,,-0.183916,1.801936,1.31919,,34.4225644399871,51.8899053221971,20.3476298675057
0.354, 4.17,4.17,,,-0.1878482,1.783707,1.323224,,,-0.1820494,1.803214,1.318646,,34.0969829916911,51.9210748896071,20.5894749064549
0.366, 4.63,4.63,,,-0.1857105,1.783518,1.323718,,,-0.1791725,1.805142,1.318689,,33.6011454226919,51.6788354072443,20.7265670445658
0.377, 5.28,5.28,,,-0.1833169,1.782721,1.324455,,,-0.1757547,1.807387,1.318753,,33.0157299252208,51.3163777686456,20.8553161068378
0.388, 5.85,5.85,,,-0.1810502,1.782219,1.324369,,,-0.1725231,1.80947,1.318115,,32.4632461839165,51.0594567950704,21.0619446914064
0.399, 6.45,6.45,,,-0.1788333,1.781468,1.324373,,,-0.1692918,1.811508,1.317528,,31.9145258767401,50.7276188936688,21.2061641317179
0.41, 6.87,6.87,,,-0.176653,1.781371,1.325013,,,-0.1663359,1.813329,1.317788,,31.4180155341265,50.4997057326914,21.3682530539482
0.421, 7.64,7.64,,,-0.1736307,1.780448,1.324872,,,-0.1620051,1.815942,1.316939,,30.6914917474242,49.9761341813392,21.4897706536377
0.432, 8.12,8.12,,,-0.1718196,1.7799,1.324776,,,-0.1592364,1.817572,1.316436,,30.2302525007029,49.8117451929699,21.7006254176376
0.443, 8.54,8.54,,,-0.1697884,1.779642,1.324907,,,-0.1563487,1.819239,1.316266,,29.7523612532486,49.5791362770689,21.8403557162421
0.454, 9.05,9.05,,,-0.1668713,1.779511,1.324942,,,-0.1524378,1.821446,1.315863,,29.1084349418808,49.1608725794095,21.9953651475947
0.465, 9.77,9.77,,,-0.1628201,1.779132,1.324466,,,-0.1471253,1.824352,1.31474,,28.2395580640057,48.4094527538753,22.0799297173554
0.477, 10.36,10.36,,,-0.1591263,1.778927,1.325197,,,-0.1423659,1.826867,1.314878,,27.4686414640282,47.7962930287676,22.1908844297874
0.488, 11.04,11.04,,,-0.1551416,1.778388,1.326297,,,-0.1372913,1.829459,1.315259,,26.6529256545313,47.029689693131,22.2098023457146
0.499, 11.53,11.53,,,-0.1517992,1.778246,1.326819,,,-0.1330806,1.831542,1.315223,,25.9800478796247,46.4783295179139,22.3176800580111
0.51, 12.34,12.34,,,-0.146666,1.777524,1.32816,,,-0.1267473,1.834559,1.315658,,24.9759366750412,45.4524351331261,22.2757700184301
0.521, 12.75,12.75,,,-0.1426879,1.777743,1.328294,,,-0.1221358,1.836672,1.315257,,24.2487332845354,44.7391482526669,22.3082800104274
0.532, 13.2,13.2,,,-0.1386768,1.77774,1.328665,,,-0.1174279,1.838756,1.315122,,23.5110711671541,44.011798013098,22.3056538027646
0.544, 13.72,13.72,,,-0.1346564,1.777371,1.32898,,,-0.1126244,1.840808,1.31498,,22.762677115338,43.2310561862729,22.2333699127899
0.555, 14.16,14.16,,,-0.1304311,1.777336,1.32952,,,-0.1077445,1.842818,1.315005,,22.0068074216833,42.4820576627321,22.2237649595368
0.566, 14.68,14.68,,,-0.125426,1.777208,1.330675,,,-0.1020098,1.845084,1.315561,,21.1246116752974,41.6072914544091,22.1883350617506
0.577, 15,15,,,-0.1217582,1.777305,1.330858,,,-0.09778221,1.84669,1.315391,,20.4765394392187,41.0143969000049,22.2180856574
0.588, 15.38,15.38,,,-0.1178204,1.777237,1.331025,,,-0.09325613,1.848349,1.315176,,19.7856965597476,40.3436313610404,22.2124131854522
0.599, 15.82,15.82,,,-0.1145275,1.776605,1.331851,,,-0.08925106,1.849766,1.315537,,19.1779856178987,39.7882516196086,22.2177697611597
0.61, 15.85,15.85,,,-0.111913,1.777516,1.331291,,,-0.08638081,1.850752,1.31506,,18.7423510421161,39.4860806440413,22.3131294446032
0.621, 16.32,16.32,,,-0.1088642,1.776556,1.330647,,,-0.0825877,1.852016,1.314066,,18.1683556206194,38.8533831633565,22.2469227152733
0.632, 16.47,16.47,,,-0.1062403,1.776865,1.330757,,,-0.0796071,1.852981,1.314006,,17.7195729310504,38.5101695822087,22.3258814074287
0.643, 16.96,16.96,,,-0.1018362,1.77624,1.331482,,,-0.07437827,1.854613,1.314251,,16.9351854908572,37.7980404187817,22.3390927004632
0.654, 17.31,17.31,,,-0.09853352,1.775859,1.331518,,,-0.07038347,1.855806,1.31395,,16.3377591060649,37.3014207931443,22.4094658450708
0.666, 17.52,17.52,,,-0.09498838,1.77606,1.332371,,,-0.06643417,1.856943,1.314556,,15.7497395990451,36.8263094326048,22.46133088509
0.677, 17.84,17.84,,,-0.09156561,1.775732,1.332632,,,-0.0623987,1.858058,1.314443,,15.1499038650901,36.3252501841305,22.5307358504098
0.688, 18.08,18.08,,,-0.08921914,1.77548,1.332529,,,-0.05948977,1.858833,1.314124,,14.7183315442033,36.0138482081568,22.6265224206645
0.699, 18.39,18.39,,,-0.08631559,1.775024,1.331995,,,-0.05588603,1.859759,1.313413,,14.1849987990251,35.5705962641143,22.6909959895407
0.71, 18.7,18.7,,,-0.08363612,1.774442,1.332255,,,-0.05255674,1.860586,1.313478,,13.6936307349397,35.1707296804724,22.7280873307963
0.721, 18.77,18.77,,,-0.08093306,1.774955,1.33215,,,-0.04946265,1.861326,1.313346,,13.2379265026131,34.8988642534091,22.8716391201351
0.732, 19.11,19.11,,,-0.07764368,1.774227,1.332194,,,-0.04561204,1.862211,1.313059,,12.6720820578904,34.3362069456192,22.8533478740468
0.743, 19.29,19.29,,,-0.07394075,1.774279,1.332994,,,-0.04171753,1.863068,1.313519,,12.1007905374562,33.8000063748431,22.8511058645141
0.754, 19.33,19.33,,,-0.0714341,1.774735,1.333235,,,-0.03897938,1.863646,1.313659,,11.6999933405657,33.5432288352365,22.959627322122
0.766, 19.54,19.54,,,-0.06722167,1.774602,1.334853,,,-0.03465524,1.864519,1.314841,,11.069892185467,32.9261383363709,22.9004334893273
