経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.17,-0.17,,,-0.1613193,1.812136,1.353078,,,-0.161449,1.8113,1.353048,,45.8734855478893,53.8975232596394,9.11587244849753
0.01, 1.93,1.93,,,-0.1597759,1.806393,1.355942,,,-0.1583412,1.815954,1.356284,,45.8734855478893,53.6719118723483,8.83184245486099
0.022, 3.53,3.53,,,-0.1599228,1.801119,1.358224,,,-0.1573542,1.818546,1.358832,,45.8734855478893,53.5261556395163,8.67371333469178
0.032, 4.33,4.33,,,-0.1611628,1.797735,1.359546,,,-0.1579757,1.819152,1.360279,,45.8734855478893,53.5608120184005,8.74116230464237
0.044, 4.68,4.68,,,-0.1638429,1.794556,1.359762,,,-0.1603263,1.817659,1.360594,,45.8734855478893,53.7712057446443,8.95104632803349
0.054, 4.72,4.72,,,-0.1666183,1.792219,1.359348,,,-0.1629451,1.815505,1.360276,,45.8734855478893,54.1451449309183,9.30546141910837
0.066, 5.63,5.63,,,-0.1684622,1.78764,1.359944,,,-0.1639852,1.815413,1.361191,,45.8734855478893,54.4770272285484,9.56988108640986
0.077, 6.57,6.57,,,-0.1686093,1.783828,1.359999,,,-0.1633627,1.81619,1.361629,,45.8734855478893,54.7179518995325,9.71166812567092
0.09, 8.07,8.07,,,-0.1669304,1.779617,1.361097,,,-0.1605682,1.819406,1.363217,,45.8734855478893,54.7346107304546,9.64862548138603
0.099, 9.27,9.27,,,-0.1652708,1.776736,1.362421,,,-0.1580611,1.822468,1.364885,,45.8734855478893,54.6642631990556,9.54280963238785
0.11, 10.26,10.26,,,-0.164156,1.774131,1.363482,,,-0.1562303,1.824755,1.366172,,45.8734855478893,54.5902034599461,9.47091677073218
0.122, 10.88,10.88,,,-0.1639026,1.772506,1.364546,,,-0.1554522,1.826174,1.367328,,45.8734855478893,54.5799445160982,9.49371935664173
0.133, 10.29,10.29,,,-0.1645677,1.774311,1.364231,,,-0.1564227,1.825068,1.366791,,45.8734855478893,54.6529592362938,9.62649225399652
0.144, 10.52,10.52,,,-0.1658114,1.771928,1.363058,,,-0.1572528,1.823738,1.365809,,45.8734855478893,54.9474496643531,9.92279609723002
0.155, 10.45,10.45,,,-0.1662193,1.770318,1.360465,,,-0.1575946,1.821751,1.363441,,45.8734855478893,55.2290959220357,10.1436161069517
0.166, 10.17,10.17,,,-0.1655747,1.769417,1.35669,,,-0.1571935,1.819456,1.359911,,45.8734855478893,55.4630128191263,10.2650611358832
0.177, 9.87,9.87,,,-0.1645619,1.769096,1.353455,,,-0.15648,1.817666,1.356758,,45.8734855478893,55.5530517853545,10.2872481510109
0.189, 9.64,9.64,,,-0.1630828,1.769643,1.351512,,,-0.1552124,1.817081,1.354692,,45.8734855478893,55.4969725187346,10.2412510970991
0.199, 9.26,9.26,,,-0.1632626,1.771734,1.352639,,,-0.1556736,1.81733,1.355492,,45.8734855478893,55.3530126256043,10.1735895375165
0.211, 8.5,8.5,,,-0.1630065,1.772835,1.349584,,,-0.1559417,1.814664,1.352126,,45.8734855478893,55.3869347591732,10.2633356593921
0.221, 7.22,7.22,,,-0.1634304,1.774241,1.344677,,,-0.1572881,1.809742,1.346763,,45.8734855478893,55.4822705369553,10.437900775568
0.233, 6.23,6.23,,,-0.1636498,1.775179,1.34061,,,-0.1582853,1.805833,1.342431,,45.8734855478893,55.5883228812469,10.5534240306539
0.243, 5.18,5.18,,,-0.164097,1.774619,1.334317,,,-0.1596273,1.800059,1.335901,,45.8734855478893,55.7230586041598,10.6447718318453
