経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.02,0.02,,,-0.1130975,1.578737,0.987757,,,-0.1130596,1.578844,0.9877496,,45.8734855478893,58.8349814958797,19.6934207066286
0.011, 1.81,1.81,,,-0.1143798,1.574877,0.9927856,,,-0.1113451,1.583359,0.9921904,,45.8734855478893,59.0369843349616,19.9851073421116
0.021, 3.47,3.47,,,-0.1159351,1.569598,0.995445,,,-0.1100456,1.585899,0.9943535,,45.8734855478893,59.2825569495465,20.1310411598572
0.033, 4.8,4.8,,,-0.1178203,1.563921,0.9960952,,,-0.1096924,1.586441,0.9947391,,45.8734855478893,59.4684405426357,20.057883005693
0.044, 5.41,5.41,,,-0.1198616,1.559095,0.9945588,,,-0.1107476,1.584543,0.9932072,,45.8734855478893,59.5643568864811,19.8676468746763
0.057, 6.33,6.33,,,-0.1213483,1.554372,0.9942694,,,-0.1108014,1.584197,0.9927887,,45.8734855478893,59.4780642789085,19.6183603448335
0.067, 7.26,7.26,,,-0.1214136,1.551089,0.9948585,,,-0.1095149,1.585357,0.9930834,,45.8734855478893,59.1397855092987,19.309022793479
0.078, 8.43,8.43,,,-0.1211462,1.548308,0.9970616,,,-0.1074905,1.588125,0.9948325,,45.8734855478893,58.8302140239717,19.1235097381419
0.088, 9.82,9.82,,,-0.1203625,1.544935,0.9991175,,,-0.1046252,1.591339,0.9963498,,45.8734855478893,58.5545544269301,18.9587775327764
0.099, 11.32,11.32,,,-0.120237,1.540524,1.001006,,,-0.1022814,1.59413,0.9978098,,45.8734855478893,58.3755556643326,18.7472619479927
0.11, 12.75,12.75,,,-0.1189808,1.536175,1.001493,,,-0.09909581,1.596622,0.9980228,,45.8734855478893,58.1854168635089,18.4246379715249
0.122, 13.86,13.86,,,-0.1187993,1.53195,1.001521,,,-0.0974476,1.597788,0.9979635,,45.8734855478893,58.0887765196317,18.1601611013907
0.132, 13.78,13.78,,,-0.1195666,1.529886,0.9986308,,,-0.09838331,1.595353,0.9955794,,45.8734855478893,58.2874667170583,18.0692359181425
0.144, 12.94,12.94,,,-0.1210907,1.530972,0.9968407,,,-0.1009648,1.592408,0.9941456,,45.8734855478893,58.5451082755708,18.2581043038159
0.155, 12.3,12.3,,,-0.1214805,1.533261,0.9967492,,,-0.1020766,1.591563,0.9941056,,45.8734855478893,58.7229254154747,18.5347730612793
0.166, 11.6,11.6,,,-0.1220011,1.536192,0.9975723,,,-0.1034892,1.591096,0.9948822,,45.8734855478893,58.7962816451193,18.7801322324587
0.177, 11.49,11.49,,,-0.1213009,1.538167,0.9989793,,,-0.1028489,1.592481,0.9961304,,45.8734855478893,58.7995737962077,18.9338814939445
0.188, 11.84,11.84,,,-0.1201317,1.538062,0.999635,,,-0.101176,1.594064,0.996615,,45.8734855478893,58.7011576031956,18.8813334350273
0.199, 12.13,12.13,,,-0.1195494,1.537683,1.0001,,,-0.1002299,1.595065,0.9970341,,45.8734855478893,58.6393102419822,18.7861137704578
0.21, 12.39,12.39,,,-0.1183823,1.537273,0.9998143,,,-0.09873589,1.595938,0.9967303,,45.8734855478893,58.5889102774992,18.6889970208992
0.221, 12.74,12.74,,,-0.1173346,1.53695,1.000191,,,-0.09719152,1.597319,0.9970677,,45.8734855478893,58.5620129932962,18.6206883009108
0.233, 12.76,12.76,,,-0.1168409,1.537489,1.00038,,,-0.09665194,1.597909,0.9973329,,45.8734855478893,58.6225216374695,18.6358803487494
0.243, 12.33,12.33,,,-0.1168437,1.538908,0.9999179,,,-0.09722295,1.597283,0.9970511,,45.8734855478893,58.7475550769364,18.7270411735175
0.255, 11.84,11.84,,,-0.1164744,1.541299,1.000152,,,-0.09749036,1.597316,0.9973632,,45.8734855478893,58.8458278359798,18.8732686893892
0.266, 11.16,11.16,,,-0.1159048,1.545097,1.001299,,,-0.09790486,1.597849,0.9985036,,45.8734855478893,58.8470914209411,19.0136137050019
0.277, 11.25,11.25,,,-0.1149738,1.546413,1.002755,,,-0.0968715,1.599573,0.9998203,,45.8734855478893,58.7497817185439,18.994412336232
