経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.19,0.19,,,0.3407931,1.746602,1.561581,,,0.3410869,1.747527,1.561662,,46.6359156380592,31.8858254226464,18.294780711091
0.01, 1.98,1.98,,,0.3380902,1.738664,1.560037,,,0.3410442,1.748084,1.560968,,46.5255466143322,31.329445058529,18.2757979083685
0.022, 3.22,3.22,,,0.3350531,1.733459,1.559656,,,0.339834,1.748751,1.561246,,46.3940347406179,31.0313687812552,18.3155496082317
0.033, 3.6,3.6,,,0.3326755,1.730897,1.562233,,,0.3380418,1.747988,1.563943,,46.5470070681072,31.4524909130027,18.3171034762247
0.043, 3.62,3.62,,,0.33078,1.728935,1.566473,,,0.3361836,1.746127,1.568055,,46.9165715183396,32.352057537512,18.205119112804
0.054, 3.39,3.39,,,0.3298437,1.72697,1.571714,,,0.3348973,1.743075,1.573024,,47.5164909221097,33.6289545371238,18.0243035199379
0.066, 3.52,3.52,,,0.3295297,1.723671,1.575059,,,0.3347487,1.740439,1.576356,,48.0292605295901,34.4687126118301,17.8433000968748
0.085, 3.95,3.95,,,0.3303766,1.719074,1.576636,,,0.3361572,1.737914,1.578135,,48.5154333811826,34.9321545944974,17.652338258279
0.093, 4.38,4.38,,,0.3326481,1.714639,1.576613,,,0.3389642,1.735551,1.578453,,48.9658809293155,35.0031475787549,17.534245998363
0.099, 4.83,4.83,,,0.3328905,1.710377,1.578102,,,0.3397942,1.733422,1.580189,,49.3704398527867,35.3509681223697,17.4524800985369
0.11, 5.06,5.06,,,0.3333505,1.706985,1.57991,,,0.3405511,1.731129,1.582138,,49.8033577209025,35.7481743474039,17.413448983611
0.121, 5.04,5.04,,,0.3324565,1.706227,1.581656,,,0.3396829,1.730249,1.583879,,49.969566954635,35.9020004485157,17.5450342818569
0.132, 4.69,4.69,,,0.3309965,1.709295,1.581889,,,0.3378507,1.73163,1.583905,,49.7108291507912,35.6677215514091,17.8108942652595
0.143, 4.66,4.66,,,0.3281814,1.709053,1.584683,,,0.3351599,1.731192,1.586661,,49.7952161356384,35.7574463289442,18.2093931035582
0.154, 4.32,4.32,,,0.3252905,1.712602,1.585409,,,0.3319317,1.733102,1.587203,,49.4364775349393,35.4356932015714,18.616890715838
