経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.21,-0.21,,,-0.1358581,1.626265,1.119767,,,-0.1359447,1.625222,1.119759,,44.8234874261913,48.6975774458053,4.76657843390597
0.011, 1.58,1.58,,,-0.1317199,1.623074,1.122988,,,-0.131121,1.63095,1.123036,,44.8234874261913,48.3897852247075,4.39262174527266
0.022, 3.01,3.01,,,-0.1287074,1.620479,1.125837,,,-0.1276008,1.635467,1.125903,,44.8234874261913,48.2296172931278,4.25395012596007
0.033, 3.22,3.22,,,-0.1279018,1.620914,1.127042,,,-0.1266658,1.636972,1.127097,,44.8234874261913,48.3234094482004,4.42491914763795
0.044, 2.91,2.91,,,-0.1289213,1.621644,1.126901,,,-0.1277025,1.636152,1.126973,,44.8234874261913,48.6818850866239,4.83355057128839
0.056, 2.07,2.07,,,-0.1310759,1.623012,1.125322,,,-0.1301276,1.633329,1.125406,,44.8234874261913,49.1364068424833,5.30208232540614
0.066, 1.21,1.21,,,-0.1328054,1.624382,1.12326,,,-0.1322037,1.630395,1.123334,,44.8234874261913,49.6380466570209,5.79552207118651
0.077, 0.64,0.64,,,-0.1336293,1.62607,1.12274,,,-0.1332974,1.629235,1.122786,,44.8234874261913,49.9345998021522,6.09049445445573
0.088, 0.78,0.78,,,-0.1324286,1.626797,1.123452,,,-0.132017,1.630655,1.123513,,44.8234874261913,50.0663370721029,6.20573511047261
0.1, 1.1,1.1,,,-0.129826,1.627939,1.124546,,,-0.1292416,1.633412,1.124638,,44.8234874261913,50.1023321680272,6.2191790568192
0.111, 1.18,1.18,,,-0.1272801,1.63027,1.125847,,,-0.1266576,1.636161,1.125942,,44.8234874261913,50.0183481643298,6.14621513615413
