1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointBall1, 8.38,8.38,,,0.2310546,1.749069,1.08958,,,0.2518998,1.784547,1.08175,,37.3840763250851,13.7011302824397,32.0269610326335, 2.052
PointPyramid, 3.37,3.37,,,0.06679206,1.835806,1.268441,,,0.07279567,1.851526,1.26852,,48.527550136433,27.6279812351941,20.9065578921126, 2.567
PointPlane3, 10.95,10.95,,,0.14806,1.632946,0.9899405,,,0.1731542,1.681469,0.9861834,,59.7499809323891,59.8345455021498,27.5704403081326, 2.9
PointBall2, 8.08,8.08,,,-0.1517258,1.673676,0.9952573,,,-0.135503,1.710519,0.991769,,51.7377457871964,64.804231985092,24.1946774614009, 2.812
PointPlane2, 6.49,6.49,,,-0.1264204,1.779114,1.274196,,,-0.112895,1.808591,1.273901,,29.7499911776726,37.6625602052699,24.6491975097131, 2.556
PointBall3, 7.88,7.88,,,0.05355652,1.833155,1.248033,,,0.06264187,1.871483,1.246734,,0.966920825587709,13.5248055388279,13.4329403508213, 2.634
PointPlane1, 12.23,12.23,,,0.0516759,1.615031,1.053545,,,0.07127506,1.672971,1.052665,,44.750001422956,47.1626154159642,18.6966058514229, 2.59
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall2, 17.67,17.67,,,-0.1469238,1.644987,0.9901359,,,-0.1131663,1.72663,0.9921347,,48.8814802840903,64.5466997096031,22.5153218214293, 2.245
PointBall3, 7.8,7.8,,,0.06383555,1.832634,1.239475,,,0.06795886,1.871337,1.241908,,1.70019315916731,7.75491631310952,7.18239365111167, 2.234
PointPlane3, 9.94,9.94,,,0.1548431,1.612802,0.9707385,,,0.1751797,1.658089,0.9726853,,59.7499809323891,65.0493811279602,24.3056714474195, 2.334
PointBall1, 7.87,7.87,,,0.2347324,1.742228,1.069739,,,0.2535135,1.776812,1.069301,,39.0772289467962,25.7381806425614,28.5055631889242, 1.867
PointPlane1, 8.67,8.67,,,0.03967226,1.613866,1.031519,,,0.05717942,1.653488,1.033182,,44.750001422956,51.7436709761365,23.9586517434627, 2.479
PointPyramid, 6.39,6.39,,,0.06798761,1.822158,1.275484,,,0.07075706,1.853833,1.278815,,48.527550136433,43.8583339120021,7.98042610133951, 2.478
PointPlane2, 8.58,8.58,,,-0.1245289,1.76298,1.261723,,,-0.1116324,1.803712,1.265451,,29.7499911776726,38.8273738037209,18.3123650326198, 2.301
3順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPyramid, 7.39,7.39,,,0.05683653,1.808003,1.251716,,,0.06102419,1.844354,1.256692,,48.277076861255,56.5664708299704,10.3347572380082, 2.034
PointPlane3, 19.97,19.97,,,0.1343524,1.593956,0.9796188,,,0.1671177,1.687732,0.9897993,,59.7499809323891,67.5880121076483,20.1720530295872, 2.234
PointPlane1, 15.7,15.7,,,0.05036432,1.597166,1.043885,,,0.07537235,1.671232,1.050926,,44.750001422956,52.8564829307886,19.398747571014, 2.1
PointBall3, 8.19,8.19,,,0.04780127,1.82961,1.216605,,,0.05175073,1.870037,1.221731,,4.67361486613399,13.8481594917429,9.29326697045829, 1.968
PointBall2, 7.69,7.69,,,-0.1420419,1.662779,0.9723769,,,-0.1310002,1.699203,0.9779016,,53.6679093816061,70.7208695285917,18.8382605557725, 1.968
PointBall1, 11.93,11.93,,,0.2262862,1.722255,1.060945,,,0.2459318,1.778438,1.064641,,38.719716365019,32.0277191836103,19.6335199492745, 2.344
PointPlane2, 7.91,7.91,,,-0.1183537,1.761017,1.252346,,,-0.1114771,1.799535,1.258217,,29.7499911776726,39.7427523157187,13.3736560180226, 2.323
4順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall1, 9.99,9.99,,,0.2282617,1.725719,1.04517,,,0.2411774,1.773478,1.052149,,39.7773506379966,39.2809359180286,17.2067589273416, 1.967
PointPlane3, 12.62,12.62,,,0.1495138,1.588163,0.9595107,,,0.1670318,1.648307,0.9670373,,59.7499809323891,68.0799837896848,17.6896789014324, 2.301
PointPlane1, 10,10,,,0.05332481,1.61551,1.03818,,,0.06825684,1.663025,1.042719,,44.750001422956,52.582503560236,18.2573632283116, 2.578
PointBall3, 4.89,4.89,,,0.04104074,1.846549,1.213626,,,0.04860875,1.869545,1.217222,,5.40714856116377,24.4478571989623,20.1285020371039, 2.323
PointBall2, 24.19,24.19,,,-0.1422325,1.611289,0.9971323,,,-0.1173511,1.729626,0.998197,,48.3415538452256,56.383896463442,11.8977904907832, 3.701
PointPyramid, 11.23,11.23,,,0.04176841,1.766071,1.228168,,,0.05095053,1.82092,1.235978,,48.277076861255,57.1377785721035,12.5584191755279, 2.378
PointPlane2, 10.16,10.16,,,-0.1186512,1.763343,1.273461,,,-0.1049742,1.811869,1.279579,,29.7499911776726,39.8924495675921,17.2621790807249, 2.701
5順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
