経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.002, 0.38,-0.38,,,0.1813993,1.843924,1.284348,,,0.180595,1.842232,1.284249,,45.0005634905908,19.8105106363118,25.617492910833
0.01, 0.55,0.55,,,0.1818849,1.83733,1.283493,,,0.1830206,1.839806,1.283651,,45.0005634905908,20.6110907470292,24.890964001489
0.021, 1.45,1.45,,,0.1931255,1.820211,1.29032,,,0.1959204,1.826906,1.290688,,45.0005634905908,22.519940736727,22.8680191199757
0.032, 2.2,2.2,,,0.2002194,1.80839,1.293327,,,0.2041572,1.81867,1.293815,,45.0005634905908,24.1666463658272,21.138186675895
0.043, 2.8,2.8,,,0.2073739,1.797586,1.296365,,,0.2120489,1.810778,1.296927,,45.0005634905908,25.5831199847914,19.6749074793984
0.055, 3.13,3.13,,,0.2135475,1.789476,1.299921,,,0.2184868,1.80434,1.300447,,45.0005634905908,26.6822749765781,18.5073259468634
0.067, 3.37,3.37,,,0.2165161,1.785097,1.302439,,,0.2217041,1.801123,1.302931,,45.0005634905908,27.1089227312104,18.0390430677566
0.078, 3.53,3.53,,,0.2148699,1.785704,1.302616,,,0.2203931,1.802433,1.30314,,45.0005634905908,26.7795949242589,18.3725833937615
0.089, 3.52,3.52,,,0.2128832,1.787612,1.30208,,,0.2185501,1.804276,1.302597,,45.0005634905908,26.2691629489569,18.8778193027971
0.099, 3.98,3.98,,,0.2070506,1.790316,1.298569,,,0.2137721,1.809054,1.299273,,45.0005634905908,25.3422653232444,19.8604000441686
0.11, 4.61,4.61,,,0.2023473,1.790915,1.294207,,,0.2103313,1.812495,1.295208,,45.0005634905908,24.8141858471654,20.4818208828475
0.121, 4.88,4.88,,,0.2004752,1.790921,1.293451,,,0.209137,1.81369,1.294565,,45.0005634905908,24.305075513431,21.0180743875882
0.132, 4.89,4.89,,,0.1979835,1.793181,1.292397,,,0.2069361,1.815891,1.293488,,45.0005634905908,23.6158906623348,21.6915907851644
0.143, 5.44,5.44,,,0.1903351,1.797,1.286692,,,0.2007455,1.822081,1.288199,,45.0005634905908,22.6700136489943,22.7901635033405
0.154, 5.53,5.53,,,0.1897282,1.796878,1.287327,,,0.2005162,1.82231,1.288873,,45.0005634905908,22.2341741675423,23.2331627303908
0.166, 5.43,5.43,,,0.1920851,1.795241,1.289367,,,0.2026276,1.820199,1.290787,,45.0005634905908,22.2931255286282,23.1193939800991
0.177, 5.78,5.78,,,0.1889675,1.795997,1.284194,,,0.2003392,1.822487,1.285954,,45.0005634905908,22.0327023756536,23.518919054292
0.188, 5.59,5.59,,,0.1966232,1.789761,1.289896,,,0.2072471,1.81558,1.291425,,45.0005634905908,22.8387995715195,22.6103434105183
0.199, 5.42,5.42,,,0.1977873,1.789785,1.290402,,,0.2079803,1.814846,1.291785,,45.0005634905908,23.0436591371422,22.3510216255167
0.21, 5.95,5.95,,,0.1976424,1.786474,1.287873,,,0.2088027,1.814024,1.289489,,45.0005634905908,23.1463663963809,22.2974097646658
0.221, 5.91,5.91,,,0.2055317,1.779108,1.294892,,,0.2161972,1.806629,1.296314,,45.0005634905908,23.9671194702505,21.3878796019821
0.232, 5.92,5.92,,,0.2111585,1.77359,1.296217,,,0.2215115,1.801315,1.297503,,45.0005634905908,24.6419421414692,20.6525721922516
0.243, 6.42,6.42,,,0.2124722,1.769208,1.294864,,,0.2235555,1.799271,1.296463,,45.0005634905908,24.9166660026205,20.4667944670916
0.255, 7.34,7.34,,,0.2118311,1.764012,1.291837,,,0.2244054,1.798421,1.293916,,45.0005634905908,25.1231050494449,20.3667936702362
0.266, 7.19,7.19,,,0.2131214,1.763616,1.294215,,,0.2255724,1.797254,1.296229,,45.0005634905908,24.8837257087175,20.5948058689537
0.277, 7.35,7.35,,,0.2144832,1.761182,1.295355,,,0.2272168,1.79561,1.29737,,45.0005634905908,24.8891232655589,20.5696366225626
0.288, 7.51,7.51,,,0.2190599,1.755726,1.296776,,,0.2318261,1.791,1.298908,,45.0005634905908,25.3004970100848,20.1920279172591
0.3, 7.67,7.67,,,0.2187731,1.754893,1.294962,,,0.23199,1.790837,1.297286,,45.0005634905908,25.0378916117311,20.5176879127284
0.31, 7.85,7.85,,,0.2166896,1.755629,1.294767,,,0.2305357,1.792291,1.297199,,45.0005634905908,24.552690354521,21.0236819727407
0.322, 7.7,7.7,,,0.216434,1.756616,1.296349,,,0.2303893,1.792437,1.29873,,45.0005634905908,23.9631255172445,21.6077246022269
0.332, 7.57,7.57,,,0.2172375,1.756585,1.296968,,,0.2311175,1.791709,1.299247,,45.0005634905908,23.6766161650083,21.8660440569957
0.343, 7.46,7.46,,,0.2180487,1.756343,1.296983,,,0.2319105,1.790916,1.299299,,45.0005634905908,23.4090144834157,22.1638966455804
0.355, 7.61,7.61,,,0.2175795,1.755728,1.296315,,,0.2319289,1.790898,1.298841,,45.0005634905908,23.1029588378661,22.5480025681511
0.366, 7.45,7.45,,,0.219692,1.754668,1.297176,,,0.2337811,1.789046,1.299705,,45.0005634905908,23.0283509760909,22.6517548463037
