経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.53,0.53,,,-0.1132248,1.571638,0.9816633,,,-0.1128258,1.574223,0.9812151,,45.8734855478893,46.7268664345161,12.8887834636571
0.01, 2.57,2.57,,,-0.1097562,1.56514,0.983211,,,-0.1079383,1.577689,0.9810526,,45.8734855478893,46.322642190305,12.4840059741386
0.022, 3.23,3.23,,,-0.1109268,1.560748,0.9828091,,,-0.1086397,1.576489,0.9801189,,45.8734855478893,46.3759108341596,12.453699571861
0.033, 3.97,3.97,,,-0.1114848,1.55711,0.9834157,,,-0.1086503,1.576483,0.9801215,,45.8734855478893,46.4496119883477,12.4544440624598
0.044, 3.31,3.31,,,-0.1137585,1.559129,0.9838226,,,-0.1112677,1.575252,0.9810599,,45.8734855478893,46.7935324940549,12.8068783987305
0.056, 3.12,3.12,,,-0.1159653,1.558414,0.9835702,,,-0.1134566,1.573577,0.9809661,,45.8734855478893,47.2952508557658,13.2336157995931
0.066, 2.46,2.46,,,-0.118643,1.559671,0.9834456,,,-0.1165566,1.571628,0.9814085,,45.8734855478893,47.7603389139772,13.5322512985897
0.077, 2.74,2.74,,,-0.1183685,1.559528,0.9847319,,,-0.1160074,1.572814,0.9824756,,45.8734855478893,47.9274941288834,13.6393554919842
0.088, 3.81,3.81,,,-0.117185,1.556517,0.9865191,,,-0.1139411,1.575016,0.9834119,,45.8734855478893,47.8727501642091,13.476458899907
0.1, 3.96,3.96,,,-0.1170891,1.555948,0.9865701,,,-0.1136888,1.575173,0.9833736,,45.8734855478893,47.9946997733516,13.4745831592584
0.11, 3.87,3.87,,,-0.1176788,1.555813,0.986321,,,-0.1143068,1.574586,0.9831913,,45.8734855478893,48.1101572878686,13.6014470893719
0.122, 4.41,4.41,,,-0.1163376,1.555679,0.9884248,,,-0.1124912,1.57708,0.9847761,,45.8734855478893,48.0021241887728,13.7425792842645
0.133, 4.84,4.84,,,-0.1155759,1.554841,0.9893985,,,-0.1113992,1.578326,0.9853822,,45.8734855478893,47.8984111842068,13.6876432205252
0.144, 4.76,4.76,,,-0.1153263,1.555274,0.9892331,,,-0.1112353,1.578379,0.9852914,,45.8734855478893,47.8740547303043,13.6414122326408
0.155, 4.13,4.13,,,-0.1166641,1.557882,0.9897879,,,-0.1129203,1.577889,0.9863074,,45.8734855478893,48.2455794447739,14.1637022697856
0.167, 5.29,5.29,,,-0.1136821,1.557053,0.9935116,,,-0.1090186,1.582678,0.9889352,,45.8734855478893,47.8684812960967,14.1305177966266
0.178, 5.76,5.76,,,-0.1125349,1.556341,0.9945352,,,-0.1074949,1.584233,0.9895318,,45.8734855478893,47.7841591980447,14.1100374749702
0.188, 5.77,5.77,,,-0.1128004,1.55638,0.9949086,,,-0.1077279,1.58434,0.9899102,,45.8734855478893,47.8363076909066,14.1147853100849
0.199, 5.29,5.29,,,-0.1137594,1.55671,0.9930891,,,-0.1090916,1.582362,0.9885778,,45.8734855478893,47.9475031675001,14.0284158628862
0.21, 5.62,5.62,,,-0.1131279,1.556212,0.9938488,,,-0.1081257,1.58345,0.9890943,,45.8734855478893,48.065064380223,14.0466345382166
0.221, 5.74,5.74,,,-0.1129222,1.556084,0.9941875,,,-0.1077778,1.583928,0.9893979,,45.8734855478893,48.1923073858249,13.998488536097
0.233, 5.69,5.69,,,-0.1128438,1.556463,0.9942627,,,-0.1077542,1.584061,0.9895557,,45.8734855478893,48.220007217233,13.9325746511196
0.244, 5.81,5.81,,,-0.1125062,1.556496,0.9947987,,,-0.1073377,1.584659,0.9899542,,45.8734855478893,48.1348450059366,13.9496279254553
0.255, 5.86,5.86,,,-0.1123391,1.556481,0.9949771,,,-0.1071357,1.584897,0.9900774,,45.8734855478893,48.1033168536051,13.948210661242
0.266, 6.07,6.07,,,-0.1119499,1.556442,0.9959865,,,-0.106587,1.585888,0.9908803,,45.8734855478893,48.0276930012192,13.9441159629485
0.278, 6.14,6.14,,,-0.1117164,1.556386,0.9961394,,,-0.1063182,1.586146,0.9909632,,45.8734855478893,47.9779077537444,13.9346740804573
0.288, 6.1,6.1,,,-0.1118049,1.55635,0.9959242,,,-0.1064477,1.585917,0.9907795,,45.8734855478893,47.9662383758721,13.929667551935
0.299, 6.13,6.13,,,-0.111707,1.556381,0.9961377,,,-0.1063259,1.586126,0.990943,,45.8734855478893,47.9340237895482,13.9419900666285
0.31, 6.14,6.14,,,-0.1116054,1.557027,0.9969769,,,-0.1062252,1.5868,0.9917612,,45.8734855478893,47.9087315997555,13.953905331304
0.322, 6.13,6.13,,,-0.1116202,1.557004,0.9968953,,,-0.1062472,1.586734,0.9916935,,45.8734855478893,47.9161252793263,13.9469496376016
0.333, 6.12,6.12,,,-0.1116233,1.556949,0.9967421,,,-0.1062614,1.586626,0.9915605,,45.8734855478893,47.9245195815826,13.9313409482351
0.344, 6.13,6.13,,,-0.1121448,1.556836,0.9971552,,,-0.1067806,1.586558,0.9919865,,45.8734855478893,47.9359908839744,13.8978252109105
0.355, 6.14,6.14,,,-0.1120696,1.556749,0.9970139,,,-0.1067012,1.586518,0.9918532,,45.8734855478893,47.9453072617431,13.8719533088281
0.366, 6.02,6.02,,,-0.1120339,1.557364,0.9970746,,,-0.1067681,1.58658,0.9920048,,45.8734855478893,47.9356732801869,13.8744172995026
0.377, 6.16,6.16,,,-0.1118848,1.557346,0.9978287,,,-0.1065111,1.587229,0.9926317,,45.8734855478893,47.9050911090292,13.8726226673482
0.388, 6.2,6.2,,,-0.1122214,1.556775,0.9976809,,,-0.1068427,1.586824,0.9924117,,45.8734855478893,47.8232995959943,13.8934316918492
