経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.49,-0.49,,,0.327417,1.786661,1.519039,,,0.325986,1.784654,1.519063,,38.7475118190728,25.5945451834077,35.4843173169196
0.012, 0.44,0.44,,,0.3262615,1.781574,1.519737,,,0.3275277,1.783384,1.519715,,39.0378529073269,25.5698540502451,34.9767454832529
0.022, 1.82,1.82,,,0.3253147,1.774573,1.518846,,,0.3304614,1.7821,1.518786,,39.3278968823602,25.086715510107,34.361645984475
0.033, 2.83,2.83,,,0.3244548,1.768615,1.519963,,,0.3323184,1.780367,1.519873,,39.7191642580764,25.161873202095,33.787244166734
0.044, 3.89,3.89,,,0.3227633,1.763025,1.520757,,,0.3334242,1.779265,1.520627,,39.9662770802763,25.2581344704839,33.2829235030218
0.055, 4.86,4.86,,,0.3201616,1.759178,1.520258,,,0.3333912,1.779548,1.520146,,39.9026675303061,25.0522025651913,33.0018202453632
0.066, 5.73,5.73,,,0.3189768,1.755235,1.519414,,,0.3344481,1.779325,1.519333,,39.9517287777491,24.8118738281957,32.7105604966913
0.079, 6.31,6.31,,,0.3165373,1.753628,1.518772,,,0.333559,1.78019,1.518768,,39.7577343352462,24.5709132987195,32.6533747394568
0.088, 6.75,6.75,,,0.3158169,1.751245,1.519175,,,0.3339773,1.779701,1.519186,,39.8675091325319,24.6070091399312,32.5462261498339
0.1, 7.22,7.22,,,0.3151793,1.748368,1.520155,,,0.3344852,1.778858,1.520146,,40.0564048389612,24.7892078460658,32.342000084239
0.111, 7.63,7.63,,,0.3156707,1.744519,1.522158,,,0.3359231,1.776873,1.522085,,40.4980858395384,25.1972399206332,32.0448527126665
0.122, 7.69,7.69,,,0.3157385,1.74346,1.523416,,,0.336079,1.776106,1.523278,,40.6680858281547,25.4873060937808,31.9247131036037
0.134, 8.05,8.05,,,0.3132084,1.743173,1.522987,,,0.3346013,1.777251,1.522925,,40.4156010623221,25.3048666234847,32.119615961241
