経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.45,-0.45,,,-0.1886827,1.642199,1.328084,,,-0.1878355,1.640142,1.327743,,45.0005395849294,24.155374846463,24.0355699166603
0.011, 0.32,0.32,,,-0.1853294,1.640607,1.328779,,,-0.1859308,1.642047,1.329019,,45.0005395849294,23.9018792126613,24.3059378247897
0.022, 1.09,1.09,,,-0.1825408,1.638351,1.32878,,,-0.184644,1.643334,1.329612,,45.0005395849294,23.6998473452763,24.5073174091272
0.033, 1.6,1.6,,,-0.1809438,1.636636,1.328252,,,-0.1840454,1.643932,1.329467,,45.0005395849294,23.5555374049608,24.6294889994115
0.044, 1.8,1.8,,,-0.1803047,1.635993,1.328347,,,-0.1837903,1.644188,1.329691,,45.0005395849294,23.4972502797532,24.595918620575
0.055, 1.94,1.94,,,-0.1800745,1.635307,1.328304,,,-0.1838268,1.644151,1.329737,,45.0005395849294,23.5122852332453,24.5175490322191
0.067, 1.32,1.32,,,-0.1817573,1.637648,1.327734,,,-0.1842979,1.64368,1.328722,,45.0005395849294,23.6832995049251,24.4086331311977
0.077, 1.46,1.46,,,-0.1809002,1.637627,1.327302,,,-0.1836962,1.644282,1.3284,,45.0005395849294,23.7530715929025,24.3843654697519
0.089, 1.72,1.72,,,-0.1798496,1.637026,1.326129,,,-0.1831313,1.644846,1.327432,,45.0005395849294,23.8066407650722,24.3923311776498
0.1, 1.95,1.95,,,-0.1776801,1.637691,1.32587,,,-0.1814126,1.646565,1.327356,,45.0005395849294,23.7792824431131,24.4497559914987
0.112, 2.34,2.34,,,-0.1750479,1.637785,1.325285,,,-0.1795486,1.648429,1.327069,,45.0005395849294,23.6787847500094,24.5515155620164
0.122, 2.92,2.92,,,-0.169258,1.639789,1.325549,,,-0.1749223,1.653056,1.327774,,45.0005395849294,23.4915009681793,24.7338372115526
0.133, 3.14,3.14,,,-0.1665236,1.641106,1.325867,,,-0.1726354,1.655342,1.328252,,45.0005395849294,23.3790914254946,24.8343007537114
0.144, 3.17,3.17,,,-0.1638227,1.643548,1.326496,,,-0.1700171,1.657961,1.328894,,45.0005395849294,23.3374784991343,24.8358221783066
0.155, 3.16,3.16,,,-0.1609222,1.646543,1.327865,,,-0.1670813,1.660897,1.330231,,45.0005395849294,23.3402464332184,24.7777126380125
0.166, 3.02,3.02,,,-0.1582769,1.65011,1.329383,,,-0.1641449,1.663833,1.331619,,45.0005395849294,23.3741070950865,24.679272539339
0.177, 2.87,2.87,,,-0.1550779,1.654278,1.331029,,,-0.1606404,1.667338,1.333128,,45.0005395849294,23.413080153406,24.5673086664853
0.189, 2.62,2.62,,,-0.1519684,1.659043,1.332776,,,-0.1570191,1.670959,1.334666,,45.0005395849294,23.4697126653333,24.4388037834694
0.199, 2.44,2.44,,,-0.1483213,1.663809,1.334406,,,-0.153021,1.674957,1.336154,,45.0005395849294,23.5470167442083,24.3067420795421
0.211, 2.28,2.28,,,-0.1446464,1.668594,1.335681,,,-0.149001,1.678977,1.337301,,45.0005395849294,23.6337345310449,24.1957190652203
0.222, 2.17,2.17,,,-0.1405633,1.673369,1.336591,,,-0.1446943,1.683283,1.338139,,45.0005395849294,23.7605489422883,24.0765220222368
0.233, 1.97,1.97,,,-0.1370907,1.678151,1.337392,,,-0.1408205,1.687157,1.338799,,45.0005395849294,23.8817182023398,23.9629906210122
0.244, 1.8,1.8,,,-0.1327789,1.683555,1.338051,,,-0.1361778,1.6918,1.339328,,45.0005395849294,23.9492807241822,23.8558164181806
0.255, 1.75,1.75,,,-0.1276991,1.688963,1.339183,,,-0.1309934,1.696985,1.340406,,45.0005395849294,23.982617169046,23.745491790682
0.266, 1.78,1.78,,,-0.1220599,1.69443,1.34058,,,-0.1254036,1.702574,1.341799,,45.0005395849294,23.9423139314226,23.6947229959941
0.277, 1.91,1.91,,,-0.1157061,1.699917,1.341255,,,-0.1193033,1.708674,1.342546,,45.0005395849294,23.8936010236177,23.6635329380172
0.288, 2.06,2.06,,,-0.1086365,1.706031,1.342532,,,-0.1125159,1.715462,1.343898,,45.0005395849294,23.8267778697324,23.6474632108946
0.3, 2.13,2.13,,,-0.1020601,1.712154,1.34308,,,-0.1060774,1.721901,1.344456,,45.0005395849294,23.7308564032453,23.6245752476228
0.311, 2.26,2.26,,,-0.09507602,1.71827,1.343026,,,-0.09935057,1.728627,1.344462,,45.0005395849294,23.6662137871918,23.605785397739
0.322, 2.33,2.33,,,-0.08792004,1.724947,1.343047,,,-0.09232938,1.735648,1.344497,,45.0005395849294,23.6511583431328,23.5278358660054
0.333, 2.28,2.28,,,-0.08102137,1.732206,1.34396,,,-0.08531389,1.742664,1.345342,,45.0005395849294,23.6764112593389,23.4027904737078
0.344, 2.16,2.16,,,-0.07397502,1.740028,1.34478,,,-0.07801931,1.749959,1.346067,,45.0005395849294,23.7909928021192,23.2182251070917
0.355, 2.02,2.02,,,-0.06711639,1.747837,1.346036,,,-0.07086107,1.757117,1.34722,,45.0005395849294,23.9405039313429,23.0157765981788
0.366, 1.85,1.85,,,-0.06036847,1.755641,1.346831,,,-0.06378485,1.764193,1.347902,,45.0005395849294,24.1024511271519,22.7920776638022
0.377, 1.81,1.81,,,-0.05344508,1.762863,1.347907,,,-0.05675489,1.771223,1.348928,,45.0005395849294,24.2336949159488,22.5796861072818
0.389, 1.86,1.86,,,-0.04592787,1.77009,1.348752,,,-0.04929828,1.77868,1.349778,,45.0005395849294,24.3682223180978,22.3761533058684
0.4, 1.98,1.98,,,-0.03791852,1.777309,1.349899,,,-0.0414861,1.786492,1.35098,,45.0005395849294,24.5312725894271,22.1691200326028
0.411, 2.01,2.01,,,-0.03049971,1.784537,1.350481,,,-0.03409447,1.793883,1.351565,,45.0005395849294,24.6987898043492,21.961046863065
0.422, 2.12,2.12,,,-0.02264246,1.791752,1.35147,,,-0.02638474,1.801593,1.352599,,45.0005395849294,24.8981442376541,21.7376330890782
0.433, 2.41,2.41,,,-0.0147835,1.797758,1.353334,,,-0.01900038,1.808978,1.354603,,45.0005395849294,25.0929480575512,21.5027343523216
0.444, 2.68,2.68,,,-0.006453488,1.804362,1.354232,,,-0.0110994,1.816879,1.355634,,45.0005395849294,25.3110103784722,21.2649601060045
0.455, 3.21,3.21,,,0.002337303,1.809803,1.356234,,,-0.00317502,1.824803,1.357887,,45.0005395849294,25.4712380742054,21.063531002797
0.466, 3.86,3.86,,,0.0118834,1.815255,1.357324,,,0.005312145,1.83329,1.359289,,45.0005395849294,25.6122080521098,20.8949755991499
0.478, 4.5,4.5,,,0.02078466,1.820104,1.359181,,,0.01318169,1.841159,1.361442,,45.0005395849294,25.7566170301655,20.7145493270556
0.489, 5.1,5.1,,,0.02942275,1.824944,1.360634,,,0.02088234,1.84886,1.363151,,45.0005395849294,25.931671358627,20.490836732301
0.5, 5.61,5.61,,,0.03675505,1.829123,1.362541,,,0.02749829,1.855476,1.365264,,45.0005395849294,26.2030279366113,20.1817160394466
0.511, 6.16,6.16,,,0.04426456,1.833276,1.364237,,,0.03428577,1.862264,1.367194,,45.0005395849294,26.5417131024654,19.8225693349559
0.522, 6.49,6.49,,,0.04966728,1.836771,1.365158,,,0.0394145,1.867392,1.368255,,45.0005395849294,27.0084984626383,19.351776361399
0.533, 6.5,6.5,,,0.05528744,1.840875,1.36656,,,0.04530418,1.871642,1.36965,,45.0005259245515,63.1100036086165,18.8365581311692
0.544, 4.01,4.01,,,0.05884939,1.844972,1.366677,,,0.05289653,1.864049,1.368579,,45.0005259245515,62.4655274670358,18.2161020566837
0.556, 2.02,2.02,,,0.061683,1.848502,1.367399,,,0.0587922,1.858154,1.368353,,45.0005259245515,61.8113114759697,17.5847091420941
0.566, 0.63,0.63,,,0.06333835,1.851447,1.367864,,,0.06247497,1.854471,1.368162,,45.0005259245515,61.0778516323582,16.8917523191338
0.577, 0.52,-0.52,,,0.06496014,1.853812,1.367087,,,0.06564122,1.851305,1.366836,,45.0005259245515,60.3454504680387,16.2287236767363
0.589, 1.63,-1.63,,,0.06655654,1.856225,1.365983,,,0.06858304,1.848363,1.365181,,45.0005259245515,59.6172976812647,15.5882534409923
0.6, 2.5,-2.5,,,0.06796926,1.858086,1.365558,,,0.07092735,1.846018,1.364304,,45.0005259245515,58.9480484442537,15.0080493777129
0.611, 3.38,-3.38,,,0.07006569,1.859416,1.365457,,,0.07389742,1.843048,1.363758,,45.0005259245515,58.3559393615822,14.4670113255917
0.622, 4.23,-4.23,,,0.07205903,1.860812,1.367482,,,0.07666513,1.840281,1.365397,,45.0005259245515,57.8209511493501,13.9387295051642
0.633, 4.84,-4.84,,,0.07380112,1.861647,1.368973,,,0.0788416,1.838104,1.366645,,45.0005259245515,57.2562003886378,13.3761951407759
0.644, 4.77,-4.77,,,0.07295209,1.862563,1.37108,,,0.07765287,1.839293,1.368843,,45.0005259245515,56.5881396045093,12.7199104562225
0.655, 4.6,-4.6,,,0.07108297,1.864165,1.371203,,,0.07530883,1.841637,1.369063,,45.0005259245515,55.7935529846218,11.9896565325635
0.666, 4.21,-4.21,,,0.06822123,1.865858,1.370238,,,0.0717521,1.845194,1.368246,,45.0005259245515,54.8777885669467,11.224158833768
0.677, 3.45,-3.45,,,0.06424344,1.867056,1.367977,,,0.06683969,1.850106,1.366296,,45.0005259245515,53.9086154865428,10.4784447773529
0.688, 2.88,-2.88,,,0.06024811,1.868976,1.365465,,,0.06217414,1.854771,1.36401,,45.0005259245515,52.94418938748,9.79621049731744
0.7, 2.33,-2.33,,,0.05673334,1.870359,1.363796,,,0.0581049,1.858841,1.362582,,45.0005259245515,52.0352107625564,9.20306066460016
0.711, 1.71,-1.71,,,0.05399216,1.870507,1.362601,,,0.05487236,1.862073,1.361682,,45.0005259245515,51.2280668402294,8.76284388578558
0.722, 1.59,-1.59,,,0.05356463,1.870494,1.361333,,,0.05430204,1.862644,1.36046,,45.0005259245515,50.6536923432443,8.47166695315515
0.733, 1.57,-1.57,,,0.05429542,1.869752,1.361406,,,0.05496651,1.861979,1.360539,,45.0005259245515,50.2285096641482,8.22697884804309
0.744, 1.94,-1.94,,,0.0576067,1.86814,1.362605,,,0.05840844,1.858537,1.361556,,45.0005259245515,50.0566416188459,8.03045040542863
0.755, 2.41,-2.41,,,0.06143925,1.866488,1.364577,,,0.06241706,1.854529,1.363317,,45.0005259245515,49.9396746325643,7.79560801773117
0.766, 3.12,-3.12,,,0.06635985,1.864816,1.368626,,,0.06761433,1.849331,1.367083,,45.0005259245515,49.8695354219292,7.51285100056577
0.777, 3.69,-3.69,,,0.07058787,1.863244,1.371503,,,0.07202284,1.844923,1.369751,,45.0005259245515,49.6992280748088,7.24218341789487
0.789, 4.01,-4.01,,,0.07357742,1.86183,1.37401,,,0.07502457,1.841921,1.37214,,45.0005259245515,49.3729055510084,6.97167292957051
0.8, 4.26,-4.26,,,0.07625726,1.860487,1.37437,,,0.07763487,1.839311,1.372347,,45.0005259245515,48.9489181549838,6.80305093158086
0.811, 4.6,-4.6,,,0.07931094,1.859213,1.374787,,,0.08061138,1.836334,1.372566,,45.0005259245515,48.4913467197448,6.63595718837547
0.822, 4.93,-4.93,,,0.08227611,1.857982,1.375239,,,0.08346599,1.83348,1.372831,,45.0005259245515,48.028430661629,6.48104594098944
0.833, 5.41,-5.41,,,0.08594038,1.856804,1.375732,,,0.08702692,1.829919,1.373099,,45.0005259245515,47.5651730940642,6.2811322859618
0.844, 5.67,-5.67,,,0.08922803,1.854996,1.376317,,,0.09014961,1.826796,1.373563,,45.0005259245515,47.1250323011021,6.11702418911427
0.856, 5.86,-5.86,,,0.09334803,1.852054,1.376616,,,0.09404573,1.8229,1.373756,,45.0005259245515,46.6311618265291,6.00997762543927
0.866, 6.07,-6.07,,,0.09760937,1.849082,1.376566,,,0.09807506,1.818871,1.373557,,45.0005259245515,46.1559104471156,6.0021446793397
0.878, 6.41,-6.41,,,0.1032196,1.845338,1.377001,,,0.1034983,1.813447,1.373769,,45.0005259245515,45.7870665818205,6.05754220772198
