経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.52,-0.52,,,-0.1192083,1.81414,1.156323,,,-0.1198342,1.811821,1.15727,,45.7999961295596,27.4535996803472,25.8708297427409
0.01, 0.18,0.18,,,-0.118598,1.810817,1.157412,,,-0.1183811,1.811628,1.157084,,45.7999961295596,27.5520534393986,25.6864487912273
0.022, 0.78,0.78,,,-0.1180848,1.807683,1.158071,,,-0.1171522,1.811189,1.156661,,45.7999961295596,27.6212722820686,25.542669898105
0.033, 1.32,1.32,,,-0.1172574,1.804546,1.158374,,,-0.1156897,1.810496,1.155992,,45.7999961295596,27.6524947834432,25.3999548069162
0.043, 1.65,1.65,,,-0.1167448,1.802964,1.158891,,,-0.1147928,1.810415,1.155915,,45.7999961295596,27.654437972208,25.3273481905122
0.054, 2.05,2.05,,,-0.1166217,1.801136,1.159608,,,-0.1141978,1.810402,1.155902,,45.7999961295596,27.6284371503086,25.3314275208805
0.066, 1.9,1.9,,,-0.1172047,1.801392,1.158881,,,-0.114953,1.809944,1.15546,,45.7999961295596,27.6658921991273,25.378408975779
0.077, 2.02,2.02,,,-0.1176974,1.80077,1.159062,,,-0.1152806,1.809902,1.15542,,45.7999961295596,27.7510902689159,25.3671237960369
0.088, 2.06,2.06,,,-0.1174937,1.799485,1.158015,,,-0.1150264,1.808767,1.154326,,45.7999961295596,27.8383237350205,25.3445397761747
0.101, 2.15,2.15,,,-0.1175045,1.79888,1.158014,,,-0.1149232,1.80859,1.154155,,45.7999961295596,27.8398075935764,25.3452893894153
0.11, 2.38,2.38,,,-0.1166265,1.797604,1.158159,,,-0.1137851,1.808322,1.153897,,45.7999961295596,27.8089095261784,25.3373185588757
0.121, 2.79,2.79,,,-0.1156333,1.795509,1.15871,,,-0.1123063,1.808119,1.153701,,45.7999961295596,27.8005630352449,25.2865719623019
0.132, 3.54,3.54,,,-0.113475,1.791743,1.15968,,,-0.1092979,1.807753,1.153348,,45.7999961295596,27.8086465639027,25.1437783239399
0.144, 4.06,4.06,,,-0.1121785,1.789138,1.160347,,,-0.1074186,1.807525,1.153128,,45.7999961295596,27.8926476430725,24.9778440053139
0.155, 4.32,4.32,,,-0.1115631,1.787422,1.160235,,,-0.1064991,1.806987,1.15261,,45.7999961295596,28.0218833563093,24.8629977927106
0.165, 4.47,4.47,,,-0.111075,1.785873,1.15965,,,-0.105827,1.806139,1.151793,,45.7999961295596,28.1153374170274,24.7882550347031
0.176, 4.68,4.68,,,-0.1102641,1.784502,1.159597,,,-0.1047843,1.805713,1.151382,,45.7999961295596,28.1186568888717,24.7576028541083
0.187, 4.82,4.82,,,-0.1092128,1.783701,1.159686,,,-0.1035959,1.80555,1.151224,,45.7999961295596,28.0926321613108,24.7217136261132
0.199, 4.85,4.85,,,-0.108186,1.782863,1.159089,,,-0.1025529,1.804875,1.150574,,45.7999961295596,28.0836368024243,24.6761887090146
0.21, 4.96,4.96,,,-0.1068802,1.782198,1.159079,,,-0.1011343,1.804677,1.150383,,45.7999961295596,28.0787617550398,24.6662644444267
0.221, 5.06,5.06,,,-0.1061642,1.781456,1.158973,,,-0.1003082,1.804395,1.150112,,45.7999961295596,28.0945309538473,24.6379276978962
0.232, 5.15,5.15,,,-0.1047371,1.779938,1.158095,,,-0.09878179,1.80333,1.149085,,45.7999961295596,28.1309870875277,24.5743215630204
0.243, 5.27,5.27,,,-0.1031357,1.778407,1.157342,,,-0.09706697,1.802351,1.148141,,45.7999961295596,28.1459042202599,24.5098035979159
0.254, 5.4,5.4,,,-0.100861,1.776905,1.156684,,,-0.09467128,1.801447,1.147269,,45.7999961295596,28.1473590505127,24.4519416519723
0.266, 5.41,5.41,,,-0.09944321,1.776086,1.155928,,,-0.09325895,1.800665,1.146516,,45.7999961295596,28.1665587117353,24.4075915273782
0.277, 5.38,5.38,,,-0.09820782,1.774612,1.154342,,,-0.0920462,1.799098,1.145005,,45.7999961295596,28.2389877432259,24.3467174680945
0.288, 5.32,5.32,,,-0.09672366,1.773154,1.152478,,,-0.09061325,1.79734,1.14331,,45.7999961295596,28.3655306544573,24.2837926445695
0.306, 5.18,5.18,,,-0.09573705,1.772571,1.151101,,,-0.08975843,1.79616,1.142172,,45.7999961295596,28.4092609394014,24.2829439935887
0.311, 4.99,4.99,,,-0.09448299,1.772058,1.149443,,,-0.08872685,1.794771,1.140834,,45.7999961295596,28.3824473250134,24.3050499002223
0.321, 5,5,,,-0.09374656,1.7714,1.148868,,,-0.08798863,1.794156,1.140241,,45.7999961295596,28.3706772018537,24.2970415036433
