1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointBall2, 14.85,14.85,,,-0.1389344,1.647986,1.005696,,,-0.1220525,1.718583,0.9899872,,50.3214651210708,50.4033727473183,17.9200099493086, 2.396
PointBall1, 16.2,16.2,,,0.2445126,1.702824,1.110413,,,0.275121,1.775386,1.091371,,39.4056790744639,13.5230681095061,26.2865884685919, 2.654
PointPlane3, 10.05,10.05,,,0.1532883,1.594994,0.9810721,,,0.1673593,1.639227,0.9617952,,59.7499809323891,39.4492590952504,28.1476698241113, 2.459
PointPlane1, 20.78,20.78,,,0.07127187,1.575489,1.079775,,,0.0991715,1.67134,1.051034,,44.750001422956,31.9983698615635,22.5011372264652, 2.81
PointBall3, 15.56,15.56,,,0.05489964,1.797848,1.270942,,,0.08066151,1.870398,1.282172,,4.5081949461155,17.7857899056637,21.2755605593014, 1.847
PointPlane2, 4.31,4.31,,,-0.1117229,1.793356,1.282536,,,-0.1047889,1.813782,1.282893,,29.7499911776726,35.7417812905187,18.788010855447, 2.023
PointPyramid, 0.25,0.25,,,0.06726269,1.844364,1.287047,,,0.06784046,1.845458,1.287144,,48.7770808455319,50.049623599669,28.199691958477, 1.815
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPyramid, 0.42,-0.42,,,0.06335493,1.841609,1.292252,,,0.06250674,1.839681,1.29225,,48.7770808455319,52.6322375812935,23.7558531873646, 4.2
PointPlane1, 12.56,12.56,,,0.07033123,1.612707,1.058522,,,0.09195283,1.671165,1.050859,,44.750001422956,41.8821416740565,21.342810599998, 2.045
