経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.81,-0.81,,,0.3831367,1.648172,1.300258,,,0.3812621,1.644591,1.300637,,45.0005395849294,18.1451876195995,28.060152905164
0.011, 0.7,-0.7,,,0.3829885,1.647557,1.300617,,,0.3813611,1.644492,1.300935,,45.0005395849294,17.7908971794735,28.3693538527389
0.022, 0.6,-0.6,,,0.3829083,1.646977,1.300531,,,0.3814966,1.644357,1.300798,,45.0005395849294,17.4335109561923,28.6889725460554
0.033, 0.66,-0.66,,,0.3839917,1.64631,1.301263,,,0.3824217,1.643432,1.301556,,45.0005395849294,17.1474831322791,28.9788013701359
0.044, 0.37,-0.37,,,0.3825723,1.645787,1.29981,,,0.3816779,1.644175,1.299966,,45.0005395849294,16.6685946772337,29.3453024806108
0.055, 0.36,-0.36,,,0.3830544,1.645271,1.301462,,,0.3821655,1.643688,1.301617,,45.0005395849294,16.4045566467415,29.6381639085984
0.066, 0.3,-0.3,,,0.3837527,1.644118,1.301416,,,0.3830235,1.64283,1.30154,,45.0005395849294,16.1879576938095,29.8190443882598
0.077, 0.44,-0.44,,,0.3848191,1.644048,1.301978,,,0.3837212,1.642132,1.302161,,45.0005395849294,15.8910186430008,30.1098943255928
0.089, 0.54,-0.54,,,0.3858697,1.64367,1.301758,,,0.3845187,1.641335,1.301975,,45.0005395849294,15.6224163387227,30.3339859958359
0.099, 0.58,-0.58,,,0.3867013,1.643112,1.301893,,,0.3852424,1.640611,1.302122,,45.0005395849294,15.4104243482577,30.5172297208843
0.11, 0.51,-0.51,,,0.3869357,1.642367,1.301778,,,0.3856562,1.640197,1.301972,,45.0005395849294,15.1115557690622,30.7825928080387
0.121, 0.57,-0.57,,,0.3878749,1.641863,1.302228,,,0.386427,1.639426,1.302445,,45.0005395849294,14.9200970342181,30.9642348537713
0.133, 0.54,-0.54,,,0.3874974,1.64202,1.301976,,,0.3861259,1.639727,1.302179,,45.0005395849294,14.7432993000195,31.1342826537106
0.144, 0.61,-0.61,,,0.3879991,1.642062,1.302006,,,0.3864186,1.639435,1.302239,,45.0005395849294,14.6145263320861,31.2706644521676
0.155, 0.48,-0.48,,,0.3873256,1.641809,1.301433,,,0.3860897,1.639764,1.301611,,45.0005395849294,14.4907906285254,31.3660685318395
0.166, 0.43,-0.43,,,0.3871995,1.641632,1.300894,,,0.3860742,1.639779,1.301053,,45.0005395849294,14.3462057731034,31.4830730841604
0.177, 0.42,-0.42,,,0.3874437,1.641301,1.300776,,,0.3863493,1.639504,1.300929,,45.0005395849294,14.2668509299871,31.5555652948991
0.188, 0.26,-0.26,,,0.3867725,1.640892,1.299205,,,0.3860854,1.639768,1.299298,,45.0005395849294,14.1397889243932,31.6328181473568
0.2, 0.06,-0.06,,,0.3856598,1.640625,1.297611,,,0.3854955,1.640358,1.297632,,45.0005395849294,13.9323902360172,31.7610686058332
0.211, 0.01,-0.01,,,0.3853263,1.640566,1.296867,,,0.3853112,1.640542,1.296868,,45.0005395849294,13.7621315539932,31.8993935930551
0.222, 0.02,0.02,,,0.3848922,1.640855,1.29524,,,0.3849328,1.640921,1.295235,,45.0005395849294,13.5847071499557,32.0042028429523
0.233, 0.26,-0.26,,,0.3874803,1.640181,1.299311,,,0.3867925,1.639061,1.299403,,45.0005395849294,14.026964447728,31.7511033601115
0.244, 0.1,-0.1,,,0.3863144,1.640204,1.298162,,,0.3860612,1.639792,1.298195,,45.0005395849294,13.9598945532658,31.7668879268441
0.255, 0.23,-0.23,,,0.3868193,1.640621,1.298797,,,0.386216,1.639637,1.298877,,45.0005395849294,14.0410056087235,31.7141759433914
0.266, 0.22,-0.22,,,0.3867567,1.640611,1.298637,,,0.3861811,1.639672,1.298713,,45.0005395849294,14.0331910187568,31.71448671699
0.278, 0.16,-0.16,,,0.3860174,1.640902,1.298915,,,0.385613,1.64024,1.298969,,45.0005395849294,14.1155417535144,31.6426365440154
0.289, 0.24,-0.24,,,0.3858218,1.641708,1.299432,,,0.3851867,1.640667,1.299517,,45.0005395849294,14.1950989409792,31.555766785474
0.3, 0.18,-0.18,,,0.3847247,1.642371,1.300288,,,0.3842555,1.641598,1.300351,,45.0005395849294,14.3245233381866,31.4335576291503
0.311, 0.18,-0.18,,,0.3841229,1.642939,1.300663,,,0.3836678,1.642185,1.300724,,45.0005395849294,14.4313713994943,31.3082783028802
0.322, 0.03,0.03,,,0.3819226,1.643707,1.300538,,,0.3820063,1.643847,1.300527,,45.0005395849294,14.5859129629018,31.1089631431619
0.334, 0.19,0.19,,,0.3799947,1.644529,1.299795,,,0.3804906,1.645363,1.299732,,45.0005395849294,14.7052483172122,30.9228370783639
0.344, 0.36,0.36,,,0.3779998,1.64536,1.300232,,,0.3789246,1.646929,1.300115,,45.0005395849294,14.9203224304544,30.698035068467
0.355, 0.34,0.34,,,0.375849,1.647655,1.300917,,,0.3767166,1.649137,1.300806,,45.0005395849294,15.1015051459782,30.5193436643736
0.366, 0.46,0.46,,,0.3741255,1.648578,1.301312,,,0.375278,1.650575,1.30116,,45.0005395849294,15.4726695679792,30.1618549882578
0.378, 0.53,0.53,,,0.3719883,1.650262,1.301768,,,0.3732954,1.652558,1.301594,,45.0005395849294,15.7925614688549,29.8361813324105
0.389, 0.71,0.71,,,0.3691145,1.651938,1.301292,,,0.3708416,1.655012,1.301063,,45.0005395849294,16.0942765293078,29.5153741862114
0.4, 0.79,0.79,,,0.3661719,1.654343,1.301545,,,0.3680787,1.657775,1.301292,,45.0005395849294,16.3523091161394,29.2385910230826
0.411, 0.77,0.77,,,0.3628766,1.657735,1.301637,,,0.3647436,1.66111,1.301386,,45.0005395849294,16.4599938755972,29.1424629433789
0.422, 0.62,0.62,,,0.3586752,1.662998,1.301458,,,0.3601661,1.665687,1.301257,,45.0005395849294,16.4211027795454,29.1872450774259
0.433, 0.48,0.48,,,0.3536741,1.668888,1.301163,,,0.3548538,1.671,1.301005,,45.0005395849294,16.2298591956542,29.3805428406528
0.444, 0.43,0.43,,,0.3487341,1.674221,1.301483,,,0.349775,1.676078,1.301344,,45.0005395849294,16.1585434849673,29.4512455418787
0.455, 0.25,0.25,,,0.3444858,1.679641,1.301585,,,0.3451071,1.680746,1.301502,,45.0005395849294,16.0906548216012,29.5348538851822
