経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.99,-0.99,,,-0.2921274,1.539443,1.341936,,,-0.2895622,1.535389,1.340808,,45.0005634905908,18.2414949917639,34.7540983979792
0.01, 0.4,-0.4,,,-0.2899517,1.537715,1.343285,,,-0.2888961,1.536055,1.342825,,45.0005634905908,18.094763749455,34.8387654205746
0.021, 0.16,0.16,,,-0.288007,1.535881,1.344863,,,-0.2884212,1.53653,1.345041,,45.0005634905908,17.9456419410031,34.8769700826339
0.032, 0.56,0.56,,,-0.2867076,1.534503,1.347172,,,-0.288167,1.536784,1.347787,,45.0005634905908,17.7362044412165,34.866202289707
0.043, 0.67,0.67,,,-0.2868846,1.533543,1.349281,,,-0.2886472,1.536304,1.350012,,45.0005634905908,17.6267677382854,34.7518341903323
0.055, 0.84,0.84,,,-0.2866902,1.532617,1.351526,,,-0.2888854,1.536065,1.352429,,45.0005634905908,17.587635878072,34.63647912865
0.066, 0.86,0.86,,,-0.2867722,1.532379,1.35239,,,-0.2890224,1.535928,1.353316,,45.0005634905908,17.6451853428698,34.5314854636503
0.077, 0.71,0.71,,,-0.287013,1.533133,1.350717,,,-0.2888767,1.536074,1.351494,,45.0005634905908,17.7547262061829,34.5616578234692
0.088, 0.62,0.62,,,-0.287428,1.533327,1.349395,,,-0.289057,1.535894,1.350078,,45.0005634905908,17.7908749813593,34.6294611094731
0.099, 0.79,0.79,,,-0.2868452,1.53276,1.349753,,,-0.2889208,1.53603,1.350626,,45.0005634905908,17.8164984353175,34.6416359213299
0.11, 0.89,0.89,,,-0.2861839,1.532785,1.349699,,,-0.2885069,1.536444,1.350677,,45.0005634905908,17.8156275862226,34.6516353179965
