経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.53,-0.53,,,0.3958035,1.795117,1.318585,,,0.3940924,1.793115,1.318766,,36.6011522528809,6.29740521120652,40.6470829970414
0.011, 0.12,-0.12,,,0.3955972,1.792709,1.31901,,,0.3952209,1.792268,1.31905,,36.8044186769241,6.12579927440626,40.563788842431
0.022, 0.33,0.33,,,0.3948164,1.79052,1.319341,,,0.3958793,1.791771,1.319228,,36.9233527576319,6.06960133325289,40.5057322361014
0.033, 0.51,0.51,,,0.3948644,1.78937,1.319819,,,0.3964967,1.791296,1.319643,,37.036713404132,6.04665872846925,40.4059021939705
0.044, 0.39,0.39,,,0.3950555,1.789966,1.319628,,,0.3963059,1.791444,1.319492,,37.0015037799404,6.0865342255078,40.385985362905
0.055, 0.36,0.36,,,0.3942947,1.790686,1.319492,,,0.3954704,1.792074,1.319364,,36.8510586223737,6.15122123778961,40.4010390994168
0.079, 0.44,0.44,,,0.3934778,1.790817,1.318658,,,0.3949124,1.79251,1.318502,,36.7459010328384,6.10043237942155,40.4229230249086
0.089, 0.7,0.7,,,0.3921144,1.790239,1.318996,,,0.3943753,1.792905,1.318753,,36.651524896608,6.16430617232794,40.4346948556155
0.1, 0.86,0.86,,,0.3910357,1.790038,1.318933,,,0.3938171,1.793322,1.318635,,36.5512611374769,6.1821858995302,40.4005814767552
0.123, 1.03,1.03,,,0.39028,1.789569,1.319706,,,0.3935819,1.79348,1.31935,,36.513944399985,6.25074947094495,40.3128237936463
0.135, 1.28,1.28,,,0.3900963,1.788054,1.322372,,,0.394193,1.792957,1.321915,,36.6423075565796,6.41707353722965,40.0224451393529
0.146, 1.29,1.29,,,0.3898871,1.788159,1.322096,,,0.394016,1.793097,1.321641,,36.6084468947115,6.38285172911926,40.0451862535617
0.156, 1.26,1.26,,,0.3888441,1.78915,1.321846,,,0.3928692,1.793952,1.321406,,36.4024176592259,6.47944212723959,40.1155508604331
0.167, 1.23,1.23,,,0.3879477,1.789947,1.322159,,,0.3918992,1.794654,1.321731,,36.2328513876098,6.60672526020174,40.1492407675766
0.178, 1.15,1.15,,,0.3854774,1.792214,1.322139,,,0.3891881,1.79662,1.321746,,35.7536760646273,6.89281455581574,40.2359329412046
0.189, 1.13,1.13,,,0.3847787,1.792863,1.322007,,,0.3884152,1.797179,1.321624,,35.6164814736816,6.96108570976478,40.2466631680921
0.2, 1,1,,,0.3842381,1.794006,1.322627,,,0.3874635,1.797837,1.322287,,35.4549782401563,7.1320410710647,40.2295603748863
0.211, 0.99,0.99,,,0.3817908,1.795804,1.323156,,,0.384968,1.799579,1.322821,,35.0229312211353,7.46737047969556,40.2117130910817
0.222, 0.9,0.9,,,0.3798986,1.797652,1.323047,,,0.3827931,1.801093,1.322741,,34.6432444308347,7.71350146222962,40.2010477509895
0.233, 0.57,0.57,,,0.3774661,1.801305,1.322439,,,0.3793023,1.80349,1.322244,,34.034015479485,8.0954353847047,40.1673544287515
0.243, 0.43,0.43,,,0.3751171,1.803717,1.322596,,,0.3764952,1.805359,1.322448,,33.5528798922652,8.47678874111648,40.1328790498752
0.255, 0.25,0.25,,,0.372022,1.806796,1.32255,,,0.3728284,1.807758,1.322463,,32.9260802797645,8.95982141332547,40.1177126152452
0.265, 0.06,0.06,,,0.3689787,1.809837,1.322547,,,0.3691856,1.810083,1.322524,,32.3082179695442,9.44889111881911,40.0899205762858
0.276, 0.14,-0.14,,,0.3659248,1.812918,1.322603,,,0.3654819,1.812389,1.322651,,31.6850281119195,9.96906379738017,40.0697441980391
0.288, 0.24,-0.24,,,0.3628938,1.815331,1.322594,,,0.3621374,1.814426,1.322677,,31.1250721438711,10.4247347325355,40.0412349892368
0.299, 0.2,-0.2,,,0.3597843,1.817008,1.322152,,,0.3591354,1.816232,1.322222,,30.6205602348674,10.7671517428935,40.0061687990137
0.31, 0.24,-0.24,,,0.35606,1.8194,1.322516,,,0.3552821,1.818468,1.3226,,29.9862474144889,11.3170664793677,39.978653382708
