経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.94,-0.94,,,-0.1211646,1.79236,1.133565,,,-0.1221251,1.787766,1.134081,,45.7999961295596,41.0607807133677,13.2398645687362
0.011, 1.91,1.91,,,-0.1217435,1.780096,1.13665,,,-0.1198495,1.789385,1.135641,,45.7999961295596,41.2043137196868,12.8907275061956
0.022, 4.64,4.64,,,-0.1229998,1.768886,1.140055,,,-0.1184638,1.791488,1.137669,,45.7999961295596,41.3249826683955,12.6618658027237
0.033, 6.93,6.93,,,-0.1235394,1.759042,1.142428,,,-0.1168174,1.792858,1.138989,,45.7999961295596,41.5124064690997,12.475139535069
0.044, 9.23,9.23,,,-0.1240496,1.749184,1.144777,,,-0.1151769,1.794283,1.140363,,45.7999961295596,41.6957184960379,12.2843057625166
0.055, 11.25,11.25,,,-0.1238721,1.740589,1.146793,,,-0.1131831,1.795546,1.14158,,45.7999961295596,41.834490860638,12.1028430092447
0.066, 13.3,13.3,,,-0.1232168,1.732615,1.149733,,,-0.110783,1.79766,1.143619,,45.7999961295596,41.8416864647283,11.9170891897461
0.078, 15.26,15.26,,,-0.120838,1.725226,1.15288,,,-0.1068968,1.799909,1.145787,,45.7999961295596,41.7365288751931,11.7178474545593
0.088, 16.84,16.84,,,-0.1187333,1.719784,1.155923,,,-0.1036501,1.802235,1.148029,,45.7999961295596,41.6519028337316,11.5522384236835
0.1, 18.23,18.23,,,-0.1165998,1.714603,1.158277,,,-0.1004616,1.803916,1.14965,,45.7999961295596,41.5800116796232,11.4631719056113
0.111, 19.19,19.19,,,-0.1152269,1.710933,1.15974,,,-0.0982637,1.804932,1.150629,,45.7999961295596,41.5590395843602,11.4602673677476
0.121, 19.82,19.82,,,-0.1144167,1.708616,1.160693,,,-0.09676757,1.805711,1.15138,,45.7999961295596,41.6290285308377,11.499476067587
0.132, 20.15,20.15,,,-0.113804,1.706254,1.159893,,,-0.09569219,1.804954,1.15065,,45.7999961295596,41.7732616315272,11.5295528047602
0.144, 19.94,19.94,,,-0.1131746,1.706523,1.158713,,,-0.09494421,1.804141,1.149867,,45.7999961295596,41.9761899612159,11.6196771483506
0.155, 19.42,19.42,,,-0.1127284,1.70765,1.156901,,,-0.09462453,1.802649,1.148428,,45.7999961295596,42.0981088345079,11.7784645279827
0.166, 18.94,18.94,,,-0.1126499,1.708752,1.155424,,,-0.09469929,1.801391,1.147216,,45.7999961295596,42.1675308753001,11.9261161382567
0.177, 18.18,18.18,,,-0.1115938,1.71097,1.153622,,,-0.09418258,1.799846,1.145726,,45.7999961295596,42.1794427248811,12.0388928035991
0.188, 17.61,17.61,,,-0.1107627,1.713088,1.152766,,,-0.09381245,1.799124,1.14503,,45.7999961295596,42.1342678549678,12.1177217221639
0.199, 16.78,16.78,,,-0.1090717,1.716473,1.151952,,,-0.09287891,1.798434,1.144365,,45.7999961295596,41.9961272828484,12.2037411221773
0.21, 16.12,16.12,,,-0.1075269,1.719466,1.151675,,,-0.09188835,1.798149,1.14409,,45.7999961295596,41.8011561233213,12.3494478361392
0.221, 15.39,15.39,,,-0.1050475,1.72295,1.151523,,,-0.0900988,1.798035,1.14398,,45.7999961295596,41.5839936797985,12.4606655108469
0.233, 14.58,14.58,,,-0.1035195,1.726488,1.15092,,,-0.0892801,1.797597,1.143558,,45.7999961295596,41.4311203900493,12.5907336533656
0.244, 13.84,13.84,,,-0.1014614,1.729969,1.150562,,,-0.08785307,1.797468,1.143434,,45.7999961295596,41.3353201594166,12.7074965877514
0.255, 13.05,13.05,,,-0.09968653,1.733489,1.149823,,,-0.08672924,1.797067,1.143047,,45.7999961295596,41.3100074790569,12.837947220853
0.267, 12.16,12.16,,,-0.0979843,1.736249,1.147801,,,-0.08578641,1.795481,1.141518,,45.7999961295596,41.3647138776918,12.9295528616784
0.277, 11.28,11.28,,,-0.09623735,1.738999,1.145818,,,-0.08482231,1.793914,1.140008,,45.7999961295596,41.4038474454524,13.0174778844173
0.288, 10.64,10.64,,,-0.09442472,1.741126,1.144513,,,-0.0835674,1.792912,1.139042,,45.7999961295596,41.434986277012,13.1014038315083
0.299, 9.95,9.95,,,-0.09241043,1.743269,1.14302,,,-0.08219336,1.791691,1.137864,,45.7999961295596,41.4074742758008,13.1867957079092
0.311, 9.41,9.41,,,-0.09012785,1.744692,1.141619,,,-0.08043319,1.790486,1.136703,,45.7999961295596,41.3698843307496,13.2411921867192
0.322, 9.14,9.14,,,-0.08710869,1.745484,1.140985,,,-0.07768314,1.789924,1.136162,,45.7999961295596,41.3102772715216,13.2891162076969
0.333, 8.93,8.93,,,-0.0845357,1.74545,1.139879,,,-0.07532993,1.78889,1.135164,,45.7999961295596,41.3090239318438,13.2799167969146
0.344, 8.74,8.74,,,-0.08150116,1.745119,1.13856,,,-0.0725478,1.787659,1.133978,,45.7999961295596,41.3329159328957,13.1905079156198
0.355, 8.47,8.47,,,-0.07716985,1.744201,1.136233,,,-0.0685572,1.785414,1.131813,,45.7999961295596,41.3392953294029,13.1066758836272
0.366, 8.26,8.26,,,-0.07357886,1.74266,1.133621,,,-0.06522822,1.78286,1.129351,,45.7999961295596,41.3798461613769,13.0204490166235
0.377, 8.12,8.12,,,-0.06966168,1.741217,1.131457,,,-0.06146999,1.780746,1.127314,,45.7999961295596,41.4486329945939,12.9632094716507
0.388, 7.84,7.84,,,-0.06661819,1.739923,1.128739,,,-0.05869431,1.778117,1.12478,,45.7999961295596,41.5136393182105,12.9475196737902
0.4, 7.67,7.67,,,-0.06370002,1.737491,1.125485,,,-0.05592679,1.774862,1.121642,,45.7999961295596,41.5663103205294,12.954544523156
0.411, 7.64,7.64,,,-0.06001486,1.734979,1.12283,,,-0.05227163,1.772169,1.119045,,45.7999961295596,41.6270238703721,12.9399424328905
0.423, 7.6,7.6,,,-0.05617887,1.732362,1.120073,,,-0.04848357,1.769376,1.116353,,45.7999961295596,41.6912003260277,12.8962983790823
0.433, 7.57,7.57,,,-0.05223081,1.729091,1.116749,,,-0.04458341,1.765984,1.113083,,45.7999961295596,41.7453671397331,12.8397145322516
0.444, 7.68,7.68,,,-0.04817557,1.725775,1.114064,,,-0.04045193,1.76319,1.11039,,45.7999961295596,41.798700670383,12.7705605763769
0.455, 7.64,7.64,,,-0.0434717,1.721779,1.109973,,,-0.03581744,1.759031,1.10638,,45.7999961295596,41.8808985796622,12.6844677518319
0.466, 7.85,7.85,,,-0.0388097,1.717238,1.10665,,,-0.03097253,1.755531,1.103006,,45.7999961295596,41.9417623936625,12.6151029138725
0.477, 7.97,7.97,,,-0.03403841,1.713277,1.103412,,,-0.02612206,1.75216,1.099757,,45.7999961295596,41.9912710184836,12.5364114528609
0.489, 8.1,8.1,,,-0.02863187,1.708728,1.099686,,,-0.02062561,1.748267,1.096003,,45.7999961295596,42.0245681897609,12.4625805250822
0.5, 8.36,8.36,,,-0.02315348,1.704152,1.096599,,,-0.01493503,1.74498,1.092835,,45.7999961295596,42.0617961347961,12.3819638045519
0.511, 8.59,8.59,,,-0.01715265,1.698954,1.092692,,,-0.008751053,1.740888,1.088891,,45.7999961295596,42.1339639115582,12.3013240321338
0.522, 8.66,8.66,,,-0.01126517,1.694373,1.088604,,,-0.00281807,1.736692,1.084845,,45.7999961295596,42.2253552552043,12.2244357410129
0.533, 8.83,8.83,,,-0.005426109,1.68916,1.084344,,,0.003160447,1.732303,1.080614,,45.7999961295596,42.3476941851186,12.1455743790504
0.544, 9,9,,,0.0009847991,1.683991,1.080168,,,0.009724107,1.727994,1.07646,,45.7999961295596,42.4618710392019,12.0792190931103
0.555, 9.31,9.31,,,0.007468872,1.678193,1.076057,,,0.01648355,1.7237,1.072321,,45.7999961295596,42.5747808932293,12.0092036796505
0.566, 9.61,9.61,,,0.01445981,1.672455,1.071976,,,0.02375686,1.719441,1.068216,,45.7999961295596,42.6846888792001,11.9569143141409
0.577, 9.87,9.87,,,0.02077172,1.666675,1.067605,,,0.03031713,1.71494,1.063876,,45.7999961295596,42.8352296594126,11.8988167266775
0.588, 9.97,9.97,,,0.02752481,1.660941,1.062483,,,0.03718802,1.709734,1.058858,,45.7999961295596,43.0015618365467,11.8576366635438
0.6, 10.2,10.2,,,0.03359338,1.655246,1.057974,,,0.04349934,1.70513,1.05442,,45.7999961295596,43.1741163158416,11.8313318982347
0.61, 10.45,10.45,,,0.04056668,1.64942,1.053496,,,0.0507116,1.700557,1.050011,,45.7999961295596,43.3423780213626,11.7679861643139
0.622, 10.84,10.84,,,0.04709736,1.642923,1.049092,,,0.0575922,1.696009,1.045627,,45.7999961295596,43.4915698392515,11.6847423823471
0.633, 11.04,11.04,,,0.05395606,1.636905,1.044165,,,0.0645607,1.69098,1.040779,,45.7999961295596,43.6198817694288,11.5589721362441
0.644, 11.48,11.48,,,0.06098794,1.630169,1.039731,,,0.07189904,1.686411,1.036375,,45.7999961295596,43.7576740019102,11.4027161954026
0.655, 11.8,11.8,,,0.06767124,1.623297,1.034611,,,0.07873063,1.681178,1.03133,,45.7999961295596,43.8906031398379,11.2027342384852
0.666, 12.02,12.02,,,0.07462129,1.617273,1.029786,,,0.08577777,1.676247,1.026576,,45.7999961295596,43.9944254274275,11.0697316760259
0.678, 12.25,12.25,,,0.08070957,1.611432,1.025217,,,0.09201197,1.671542,1.022041,,45.7999961295596,44.0693150344981,10.9863939789607
0.688, 12.42,12.42,,,0.08692071,1.606394,1.021118,,,0.0983956,1.667363,1.018012,,45.7999961295596,44.1758147561679,10.9705957518501
0.7, 12.44,12.44,,,0.09222921,1.601468,1.01631,,,0.103775,1.662504,1.013328,,45.7999961295596,44.3012648371626,10.9949206161286
0.711, 12.2,12.2,,,0.09746004,1.597176,1.010834,,,0.1088476,1.657019,1.00804,,45.7999961295596,44.4331762769323,11.0289084902664
0.722, 12.2,12.2,,,0.1022903,1.592149,1.005844,,,0.1137083,1.651995,1.003197,,45.7999961295596,44.5743323774863,11.0273016883089
0.733, 12.2,12.2,,,0.107324,1.586999,1.00073,,,0.1187376,1.646859,0.9982462,,45.7999961295596,44.7241115916276,10.9911059555833
0.744, 12.11,12.11,,,0.1119775,1.582379,0.9957199,,,0.1232715,1.641835,0.9934025,,45.7999961295596,44.855589314397,10.9267399621835
経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.3,0.3,,,-0.1157673,1.804331,1.151809,,,-0.1153488,1.805673,1.151343,,45.7999961295596,31.1824457313026,24.8381068765204
0.011, 2.43,2.43,,,-0.118942,1.794518,1.154966,,,-0.1154869,1.805561,1.151235,,45.7999961295596,31.6433263931024,24.5411080615582
0.022, 4.26,4.26,,,-0.1226475,1.785194,1.156632,,,-0.116535,1.804595,1.150305,,45.7999961295596,32.2284960037703,24.2136346509147
0.033, 5.44,5.44,,,-0.1259905,1.7781,1.156539,,,-0.1180494,1.802894,1.148664,,45.7999961295596,32.7455447246466,24.1020669290218
0.044, 6.64,6.64,,,-0.1284725,1.772098,1.15766,,,-0.1186757,1.802361,1.148151,,45.7999961295596,32.9819683010929,24.108821985923
0.055, 7.58,7.58,,,-0.1303274,1.767509,1.158645,,,-0.1190769,1.802024,1.147825,,45.7999961295596,33.0695688898552,24.161766195801
0.066, 8.43,8.43,,,-0.1316595,1.762306,1.158545,,,-0.1191218,1.800745,1.146592,,45.7999961295596,33.1906476499027,24.0867826736319
0.078, 9.04,9.04,,,-0.1331785,1.758203,1.157995,,,-0.1197179,1.799425,1.14532,,45.7999961295596,33.3597699592352,23.9864813484614
0.088, 9.23,9.23,,,-0.1341716,1.754925,1.155894,,,-0.1203931,1.797051,1.143031,,45.7999961295596,33.4716655301991,23.9359772235965
0.099, 9.48,9.48,,,-0.135584,1.752417,1.154928,,,-0.1214125,1.795711,1.14174,,45.7999961295596,33.5109527772118,23.9219411852427
0.11, 9.56,9.56,,,-0.135618,1.751022,1.154095,,,-0.1214022,1.794687,1.140752,,45.7999961295596,33.4247113960565,23.8907938159469
0.122, 9.62,9.62,,,-0.1340051,1.750826,1.154351,,,-0.1198231,1.794769,1.140832,,45.7999961295596,33.2628120115703,23.8588148711428
0.132, 9.64,9.64,,,-0.1324368,1.749691,1.153457,,,-0.1184309,1.793724,1.139824,,45.7999961295596,33.06284115371,23.7613788102494
0.144, 9.69,9.69,,,-0.1308761,1.74901,1.153241,,,-0.1169007,1.793302,1.139417,,45.7999961295596,32.8870320893662,23.7571167723259
0.155, 9.37,9.37,,,-0.1294489,1.750661,1.153036,,,-0.1159503,1.793447,1.139557,,45.7999961295596,32.7505751588304,23.853714427522
0.167, 8.81,8.81,,,-0.129429,1.752992,1.152013,,,-0.1166598,1.793194,1.139313,,45.7999961295596,32.7608238573948,23.9553459319964
0.177, 8.21,8.21,,,-0.1290788,1.754801,1.150202,,,-0.1170838,1.792212,1.138367,,45.7999961295596,32.8110086709249,24.0724870880969
0.188, 7.35,7.35,,,-0.1273316,1.756947,1.147247,,,-0.1164451,1.790416,1.136635,,45.7999961295596,32.8882137120597,24.2557752093738
0.2, 6.39,6.39,,,-0.1261421,1.759609,1.144173,,,-0.1165617,1.788668,1.13495,,45.7999961295596,32.978700055666,24.4188784146676
0.211, 5.79,5.79,,,-0.1245812,1.761529,1.142522,,,-0.1158213,1.787838,1.13415,,45.7999961295596,33.0208184160109,24.5579017887127
0.222, 5.29,5.29,,,-0.1223568,1.762589,1.140611,,,-0.1143393,1.786581,1.132939,,45.7999961295596,32.978023866957,24.6505242739225
0.233, 5.1,5.1,,,-0.1198176,1.762532,1.139526,,,-0.1121168,1.785694,1.132083,,45.7999961295596,32.8662956356231,24.6424407452647
0.244, 5.12,5.12,,,-0.1171082,1.761587,1.138762,,,-0.1094321,1.784851,1.131271,,45.7999961295596,32.7751911599141,24.5775078461796
0.256, 4.95,4.95,,,-0.1128949,1.760328,1.136556,,,-0.1055539,1.782824,1.129316,,45.7999961295596,32.696213684739,24.4480142933088
0.266, 4.99,4.99,,,-0.1078879,1.757664,1.134231,,,-0.1005767,1.780362,1.126944,,45.7999961295596,32.6301520969249,24.2793239934294
0.278, 5.07,5.07,,,-0.1039398,1.755252,1.132425,,,-0.09655592,1.77837,1.125023,,45.7999961295596,32.6052389826206,24.159054610776
0.289, 4.98,4.98,,,-0.1000237,1.7526,1.129298,,,-0.09278944,1.775289,1.122053,,45.7999961295596,32.6323923989104,24.1109888633769
0.3, 4.84,4.84,,,-0.09587289,1.750206,1.126187,,,-0.08881998,1.772279,1.119151,,45.7999961295596,32.6738721365856,24.1154182409304
0.311, 4.66,4.66,,,-0.09199116,1.74726,1.122258,,,-0.08517236,1.768502,1.11551,,45.7999961295596,32.7595875931894,24.1294235434337
0.322, 4.58,4.58,,,-0.08792933,1.743423,1.118041,,,-0.08121102,1.764297,1.111457,,45.7999961295596,32.8836613911046,24.082691390433
0.333, 4.52,4.52,,,-0.08287913,1.739233,1.11364,,,-0.07624723,1.759874,1.107193,,45.7999961295596,33.01091464199,23.9635882625479
0.344, 4.53,4.53,,,-0.07747363,1.734395,1.108974,,,-0.07086394,1.755068,1.10256,,45.7999961295596,33.0705934182022,23.8403853137277
0.356, 4.84,4.84,,,-0.0714438,1.728823,1.105423,,,-0.06444137,1.750944,1.098584,,45.7999961295596,33.0473195492531,23.6940775431355
0.367, 5.1,5.1,,,-0.06446005,1.72319,1.101541,,,-0.05716672,1.746535,1.094334,,45.7999961295596,32.9715215270481,23.5373554418962
0.378, 5.44,5.44,,,-0.05701743,1.717602,1.098159,,,-0.04931948,1.742535,1.090478,,45.7999961295596,32.9177747699649,23.388573435346
0.389, 5.69,5.69,,,-0.04941979,1.711878,1.094086,,,-0.04147345,1.737968,1.086075,,45.7999961295596,32.870581579208,23.2104796727884
0.4, 5.97,5.97,,,-0.04221449,1.706233,1.090305,,,-0.03394023,1.73367,1.081932,,45.7999961295596,32.8893202026745,23.0445675522766
0.412, 6.16,6.16,,,-0.0347943,1.699848,1.085225,,,-0.02629948,1.728215,1.076673,,45.7999961295596,33.0163822082684,22.845766364279
0.422, 6.11,6.11,,,-0.0277302,1.69428,1.079496,,,-0.01932623,1.72244,1.071106,,45.7999961295596,33.1608099693438,22.68969483854
0.433, 6.11,6.11,,,-0.01994522,1.689532,1.074877,,,-0.01156513,1.717707,1.066544,,45.7999961295596,33.2409690672125,22.5803366827821
0.445, 6.03,6.03,,,-0.01217419,1.685017,1.070058,,,-0.003918365,1.712842,1.061854,,45.7999961295596,33.2696865967787,22.5229545576144
0.456, 6.09,6.09,,,-0.004206784,1.679904,1.065481,,,0.004096761,1.708014,1.057199,,45.7999961295596,33.2503878978158,22.4708846119257
0.467, 6.07,6.07,,,0.004599635,1.675248,1.060875,,,0.01282593,1.703277,1.052633,,45.7999961295596,33.2354878405561,22.3848720421013
0.478, 6.05,6.05,,,0.01299471,1.670362,1.056068,,,0.02113684,1.698345,1.047879,,45.7999961295596,33.2482022373422,22.2480138379629
0.489, 6.13,6.13,,,0.02215007,1.664599,1.050926,,,0.03031527,1.692968,1.042695,,45.7999961295596,33.2999579943378,22.0517483576241
0.5, 6.07,6.07,,,0.03107054,1.659557,1.045718,,,0.03909847,1.687702,1.037619,,45.7999961295596,33.357949713872,21.879721510428
0.511, 6.04,6.04,,,0.03943438,1.654652,1.040812,,,0.04736255,1.682691,1.032788,,45.7999961295596,33.3823710545698,21.7374196456726
0.523, 6,6,,,0.04753627,1.649992,1.036065,,,0.05536762,1.677848,1.028119,,45.7999961295596,33.3926573191736,21.6488355096972
0.534, 5.8,5.8,,,0.05578656,1.646131,1.03116,,,0.06335157,1.673065,1.023508,,45.7999961295596,33.4425655100501,21.5998681773527
0.545, 5.75,5.75,,,0.06324181,1.641519,1.0264,,,0.07075436,1.668254,1.018871,,45.7999961295596,33.5650512890274,21.5176651454318
0.556, 5.61,5.61,,,0.07082047,1.636767,1.020903,,,0.0781372,1.66283,1.013642,,45.7999961295596,33.7043632385569,21.4048048102744
