経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.98,-0.98,,,-0.08825935,1.783437,1.526681,,,-0.08734202,1.778611,1.526564,,46.050527461344,35.3106802526715,10.8819501441739
0.01, 0.83,-0.83,,,-0.0884551,1.782332,1.528062,,,-0.08768255,1.778258,1.527978,,46.050527461344,35.3288451402636,10.8302917173713
0.022, 1.75,-1.75,,,-0.09054749,1.785541,1.527663,,,-0.08894944,1.776944,1.527488,,46.050527461344,35.5352568663321,10.6218223968727
0.033, 3.14,-3.14,,,-0.09650747,1.787358,1.528838,,,-0.09383598,1.771875,1.528547,,46.050527461344,36.274344785663,9.87629360933368
0.044, 3.75,-3.75,,,-0.09784568,1.789429,1.528497,,,-0.09474421,1.770933,1.528161,,46.050527461344,36.5439391748904,9.60314239919495
0.055, 2.66,-2.66,,,-0.09295083,1.788309,1.527966,,,-0.09061541,1.775216,1.527711,,46.050527461344,35.9507679978326,10.2026468689845
0.066, 2.55,-2.55,,,-0.09166744,1.78901,1.529262,,,-0.08942375,1.776452,1.529062,,46.050527461344,35.9301442422076,10.1940450997378
0.077, 1.4,-1.4,,,-0.08600067,1.788222,1.532443,,,-0.08470751,1.781344,1.532372,,46.050527461344,35.4056881813825,10.6809667107973
0.088, 2.07,-2.07,,,-0.08657559,1.791496,1.533621,,,-0.08471113,1.78134,1.533531,,46.050527461344,35.6505846072584,10.4291128836716
0.099, 1.94,-1.94,,,-0.08466314,1.792774,1.53569,,,-0.08289576,1.783224,1.535633,,46.050527461344,35.5668225847029,10.5010484340084
0.111, 1.38,-1.38,,,-0.08168456,1.792614,1.535779,,,-0.08039761,1.785815,1.535736,,46.050527461344,35.3326051592971,10.7359386330287
0.122, 0.92,-0.92,,,-0.07982091,1.791841,1.535236,,,-0.07895085,1.787316,1.5352,,46.050527461344,35.1680863973371,10.9071390273583
0.133, 0.52,-0.52,,,-0.07823797,1.791103,1.53352,,,-0.07774737,1.788564,1.533493,,46.050527461344,35.117727413988,10.9695182895385
0.143, 0.23,-0.23,,,-0.07719744,1.790476,1.5344,,,-0.0769791,1.789361,1.53439,,46.050527461344,34.97177652077,11.1049293473868
0.155, 0.27,-0.27,,,-0.07744959,1.790491,1.533712,,,-0.07718679,1.789146,1.533701,,46.050527461344,34.9983971823194,11.0773242848508
0.166, 0.51,-0.51,,,-0.07813539,1.791173,1.533829,,,-0.07764991,1.788665,1.533809,,46.050527461344,35.0959869224648,10.9792777758173
0.177, 0.61,-0.61,,,-0.07865076,1.791216,1.533797,,,-0.07807544,1.788224,1.533772,,46.050527461344,35.1682708124396,10.9076623905889
0.188, 0.52,-0.52,,,-0.07870368,1.790615,1.533845,,,-0.07821617,1.788078,1.533825,,46.050527461344,35.1749814731124,10.9003327440398
0.199, 0.42,-0.42,,,-0.07812133,1.790625,1.533319,,,-0.07772908,1.788583,1.533303,,46.050527461344,35.1785365864765,10.8958709230887
0.21, 0.12,-0.12,,,-0.07691891,1.790119,1.533882,,,-0.07680756,1.789539,1.533879,,46.050527461344,35.1806539450602,10.8835057197141
0.221, 0.27,-0.27,,,-0.07712349,1.790783,1.533656,,,-0.07687241,1.789472,1.533651,,46.050527461344,35.2060793235381,10.8549640675141
0.233, 0.21,-0.21,,,-0.07683348,1.790724,1.53329,,,-0.07663926,1.789714,1.533285,,46.050527461344,35.166614491612,10.8970627910657
0.244, 0.13,-0.13,,,-0.07636707,1.790748,1.532798,,,-0.07624678,1.790121,1.532795,,46.050527461344,35.1886794171117,10.8744949929023
0.255, 0.07,-0.07,,,-0.07656593,1.790188,1.532546,,,-0.07650241,1.789855,1.532545,,46.050527461344,35.221928777066,10.8395935809884
0.266, 0.02,0.02,,,-0.07603018,1.790213,1.532139,,,-0.07605127,1.790323,1.53214,,46.050527461344,35.2346636644192,10.8258742926486
0.277, 0.08,0.08,,,-0.07574779,1.790188,1.531532,,,-0.07581991,1.790564,1.531533,,46.050527461344,35.1967151344466,10.863954303759
0.288, 0.23,0.23,,,-0.07548184,1.78955,1.530885,,,-0.0757007,1.790687,1.530889,,46.050527461344,35.1596647743249,10.9011634657745
0.299, 0.26,0.26,,,-0.07532854,1.789537,1.529671,,,-0.07557552,1.790817,1.529676,,46.050527461344,35.134922414745,10.9253884385391
