経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.75,-0.75,,,0.488062,1.573425,1.402081,,,0.4859893,1.570343,1.401525,,46.050527461344,14.7851103018602,34.9061896310901
0.011, 0.42,-0.42,,,0.4899278,1.5692,1.400836,,,0.4887769,1.567451,1.400519,,46.050527461344,15.3085794003777,34.3884066648984
0.022, 0.28,-0.28,,,0.4905754,1.567562,1.400447,,,0.4898101,1.566379,1.400238,,46.050527461344,15.5747125913395,33.9201152480554
0.033, 0.05,-0.05,,,0.4872013,1.569446,1.397586,,,0.4870612,1.569231,1.397547,,46.050527461344,15.5950136205352,34.0498820084854
0.044, 0.16,-0.16,,,0.487402,1.569963,1.398679,,,0.4869796,1.569315,1.398564,,46.050527461344,15.4296632830669,34.1233714268151
0.055, 0.43,0.43,,,0.4868948,1.566451,1.397773,,,0.4880337,1.568222,1.398082,,46.050527461344,15.6587461139071,33.7515052028965
0.066, 0.92,0.92,,,0.4872229,1.562708,1.397251,,,0.4896452,1.56655,1.397916,,46.050527461344,16.0931922368072,33.2457604447819
0.077, 1.42,1.42,,,0.4874514,1.559048,1.396842,,,0.491141,1.564999,1.397859,,46.050527461344,16.4313429403736,32.8133445955561
0.089, 1.55,1.55,,,0.4879994,1.557525,1.397177,,,0.4920272,1.564079,1.398274,,46.050527461344,16.5548600778869,32.5618433769365
0.099, 1.86,1.86,,,0.4852836,1.558215,1.396298,,,0.4901393,1.566038,1.397615,,46.050527461344,16.3454294082893,32.8124054445713
0.111, 1.73,1.73,,,0.4842893,1.560107,1.395002,,,0.4888514,1.567374,1.396258,,46.050527461344,16.1855073635129,33.1395919872776
0.122, 2.05,2.05,,,0.4812114,1.561099,1.393052,,,0.486656,1.569651,1.394557,,46.050527461344,15.9395761640065,33.5126842301182
0.133, 2.17,2.17,,,0.479923,1.561567,1.392174,,,0.4857324,1.570609,1.393794,,46.050527461344,15.8057812996256,33.7711522414973
0.144, 1.64,1.64,,,0.4786408,1.566537,1.394638,,,0.4831097,1.57333,1.395828,,46.050527461344,15.1537065728047,34.3122056615436
0.155, 1.91,1.91,,,0.4746039,1.568835,1.390306,,,0.4798635,1.576697,1.391755,,46.050527461344,15.006823358791,34.8236741180234
