経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.93,-0.93,,,-0.1998819,1.633371,1.371935,,,-0.1991995,1.628778,1.371946,,45.0005395849294,36.5486007788692,8.45235886268247
0.011, 0.16,-0.16,,,-0.1982397,1.630626,1.372268,,,-0.1981222,1.629856,1.372268,,45.0005395849294,36.3235119010351,8.68018750007115
0.022, 2.62,-2.62,,,-0.205177,1.637564,1.373224,,,-0.2034017,1.624576,1.373209,,45.0005395849294,37.2161595441077,7.79029413070477
0.034, 3.08,-3.08,,,-0.2056465,1.639631,1.375838,,,-0.2036068,1.624371,1.375835,,45.0005395849294,37.3865693440628,7.61787881651039
0.044, 1.75,-1.75,,,-0.2007515,1.637174,1.376441,,,-0.199483,1.628495,1.376459,,45.0005395849294,36.6848186527908,8.31630491329644
0.056, 1.06,-1.06,,,-0.1986149,1.635378,1.379297,,,-0.1978281,1.63015,1.379344,,45.0005395849294,36.4464177366347,8.56027072592387
0.066, 1.24,-1.24,,,-0.1989214,1.636106,1.380605,,,-0.1980046,1.629973,1.380667,,45.0005395849294,36.5009192296002,8.50886160101906
0.077, 1.91,-1.91,,,-0.2014336,1.637362,1.377974,,,-0.2000667,1.627911,1.37802,,45.0005395849294,36.771930883041,8.22884092831375
0.088, 1.96,-1.96,,,-0.2011302,1.637918,1.377659,,,-0.1997389,1.628239,1.377681,,45.0005395849294,36.8200905455386,8.18095703469622
0.1, 1.78,-1.78,,,-0.20078,1.637255,1.377612,,,-0.1995091,1.628469,1.377632,,45.0005395849294,36.7693456565121,8.23170363126997
0.11, 1.79,-1.79,,,-0.2003671,1.637767,1.376592,,,-0.1990751,1.628903,1.376604,,45.0005395849294,36.7078398047477,8.29389164815875
0.121, 1.81,-1.81,,,-0.2005706,1.637675,1.376225,,,-0.1992558,1.628722,1.376232,,45.0005395849294,36.6462110095816,8.35632555185081
0.133, 1.77,-1.77,,,-0.2003647,1.637657,1.375711,,,-0.1990743,1.628904,1.375721,,45.0005395849294,36.6147853100849,8.38731070415833
0.144, 1.74,-1.74,,,-0.2002023,1.63765,1.375243,,,-0.1989305,1.629047,1.375256,,45.0005395849294,36.5909650260173,8.41066738914888
0.155, 1.82,-1.82,,,-0.2007025,1.637633,1.374609,,,-0.1993661,1.628612,1.374623,,45.0005395849294,36.5740842139534,8.42750807385256
0.166, 1.81,-1.81,,,-0.2006537,1.637629,1.374017,,,-0.199323,1.628655,1.374032,,45.0005395849294,36.5656694211301,8.43579992327421
0.177, 1.82,-1.82,,,-0.2006966,1.63764,1.374073,,,-0.1993594,1.628618,1.37409,,45.0005395849294,36.5694943269589,8.43174791366186
0.188, 1.94,-1.94,,,-0.2013483,1.63767,1.373087,,,-0.1999231,1.628055,1.373114,,45.0005395849294,36.5691562326044,8.43156179101215
0.199, 1.97,-1.97,,,-0.2020599,1.637097,1.37271,,,-0.2006179,1.62736,1.372746,,45.0005395849294,36.5766591951988,8.42387270576798
0.21, 2.01,-2.01,,,-0.2022445,1.637126,1.372141,,,-0.2007779,1.6272,1.372182,,45.0005395849294,36.5958247054766,8.4047584219076
0.222, 2.01,-2.01,,,-0.2022664,1.637114,1.372003,,,-0.2007991,1.627179,1.37204,,45.0005395849294,36.5995539886596,8.40099584155328
