経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.92,-0.92,,,0.3143905,1.791792,1.528381,,,0.3123853,1.787738,1.527634,,38.0447878258712,16.7133870565642,27.9168965214986
0.01, 0.71,-0.71,,,0.3138442,1.789671,1.530485,,,0.3122962,1.78651,1.529917,,38.3317138196352,17.3303289988195,27.6347636128512
0.022, 0.41,-0.41,,,0.3121575,1.788509,1.530949,,,0.3112644,1.786674,1.530623,,38.2945575915843,17.5156576390541,27.4781166436907
0.032, 0.26,-0.26,,,0.3111162,1.787767,1.53166,,,0.3105458,1.786593,1.531451,,38.3139587433818,17.6572474566084,27.439345075946
0.044, 0.1,0.1,,,0.3091838,1.786164,1.532405,,,0.3094043,1.786619,1.532485,,38.3089931959934,17.8311799265299,27.3505304210925
0.055, 0.52,0.52,,,0.3081024,1.784317,1.532261,,,0.309209,1.786617,1.532672,,38.3096932903639,17.7731062447279,27.2548582565032
0.066, 1,1,,,0.3064781,1.782998,1.530963,,,0.3086057,1.787452,1.531774,,38.1153880742624,17.4594588441271,27.1657055072952
0.077, 1.36,1.36,,,0.3048145,1.782339,1.529849,,,0.3076876,1.788397,1.530968,,37.8948788381393,17.189504162431,27.0643420877383
0.088, 1.73,1.73,,,0.3029402,1.781867,1.528493,,,0.3065728,1.789568,1.529926,,37.6198407882949,16.9245013677453,26.9804793198953
0.099, 2.06,2.06,,,0.3012384,1.780707,1.528613,,,0.3055425,1.789888,1.530315,,37.5451048604763,17.0052956731891,26.8479582857592
0.11, 2.36,2.36,,,0.3000513,1.779194,1.529197,,,0.3049486,1.789737,1.531134,,37.5813355979204,17.223733654504,26.6339479744505
0.122, 2.61,2.61,,,0.2984305,1.778168,1.529782,,,0.3038141,1.789885,1.531912,,37.5474578605799,17.4294401635603,26.3898797089884
0.133, 2.9,2.9,,,0.2971352,1.777341,1.529417,,,0.3030573,1.790355,1.531767,,37.4366926858921,17.4637157594089,26.1786065959135
0.144, 3.24,3.24,,,0.2951487,1.776574,1.528978,,,0.3017142,1.791136,1.531591,,37.251966809835,17.4720195616612,25.978167870108
0.154, 3.52,3.52,,,0.2929187,1.776596,1.527893,,,0.3000234,1.792467,1.530728,,36.9349538336143,17.3432090276884,25.8260646841664
0.166, 3.68,3.68,,,0.2903867,1.77746,1.526981,,,0.297766,1.794031,1.529916,,36.559737402001,17.2433294666875,25.7002423578723
0.177, 3.83,3.83,,,0.2874258,1.778226,1.526529,,,0.2950794,1.795535,1.529543,,36.1961049708977,17.2926963650873,25.5108360948167
0.188, 4.14,4.14,,,0.2854983,1.777682,1.52597,,,0.2936613,1.796424,1.529151,,35.9795469990996,17.4420128339251,25.1443657201922
0.199, 4.62,4.62,,,0.2845922,1.775763,1.52511,,,0.2935328,1.796764,1.528635,,35.8958430331503,17.4664683255678,24.6821360960689
0.21, 5.33,5.33,,,0.2828233,1.773378,1.52333,,,0.2929534,1.797689,1.527427,,35.6681142872755,17.2504482311518,24.2969919847732
0.221, 6.09,6.09,,,0.2801776,1.771561,1.520699,,,0.2915894,1.799369,1.525464,,35.2511346651443,16.7761394178175,24.0726783333884
0.232, 6.57,6.57,,,0.2772578,1.770983,1.518906,,,0.2894953,1.801026,1.524133,,34.8363031374473,16.3898461272259,23.9890102259313
0.244, 6.91,6.91,,,0.2730094,1.771941,1.516834,,,0.2859179,1.803525,1.522388,,34.2028270152188,15.9455064755883,24.0859715886906
