経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.2,-0.2,,,0.05854864,1.635027,1.018441,,,0.05836162,1.634086,1.018706,,44.7499911776726,31.0515929708248,18.8138033565825
0.01, 0.9,0.9,,,0.05865194,1.630577,1.020624,,,0.05948621,1.63481,1.01943,,44.7499911776726,30.9950253456929,18.7821471382077
0.022, 1.81,1.81,,,0.05848499,1.626515,1.022101,,,0.06016183,1.635078,1.019698,,44.7499911776726,31.0450394044986,18.6856621811298
0.033, 2.56,2.56,,,0.05752509,1.622205,1.022293,,,0.05988288,1.634313,1.018933,,44.7499911776726,31.1844777125242,18.5227468060329
0.045, 3.46,3.46,,,0.05697178,1.617222,1.022751,,,0.06012779,1.63362,1.018239,,44.7499911776726,31.2669351689846,18.3563565722924
0.055, 4.43,4.43,,,0.05612094,1.612956,1.024331,,,0.06009582,1.633951,1.01857,,44.7499911776726,31.2543437156,18.2309867460183
0.066, 5.55,5.55,,,0.05666707,1.608933,1.027152,,,0.06152574,1.635253,1.019873,,44.7499911776726,31.0680810470224,18.1848522345532
0.077, 6.9,6.9,,,0.05840048,1.605313,1.031903,,,0.06424689,1.638041,1.022661,,44.7499911776726,30.6787978412049,18.2659077947255
0.088, 8.25,8.25,,,0.06020239,1.601767,1.036797,,,0.06694844,1.640883,1.025503,,44.7499911776726,30.261555256798,18.3747605164989
0.099, 9.61,9.61,,,0.06137611,1.596413,1.039868,,,0.06893693,1.641966,1.026586,,44.7499911776726,30.0207296235541,18.3296061371525
0.11, 10.91,10.91,,,0.06314994,1.589934,1.041317,,,0.07137737,1.641766,1.026385,,44.7499911776726,30.0939458343247,17.987823480596
0.121, 11.92,11.92,,,0.06368473,1.583971,1.041363,,,0.07237469,1.640715,1.025335,,44.7499911776726,30.3035984850641,17.5928012084881
