経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.41,-0.41,,,-0.1724791,1.802053,1.348656,,,-0.1725329,1.800031,1.348768,,45.8734855478893,44.9812203953996,3.29176091378822
0.01, 0.36,0.36,,,-0.1720209,1.798836,1.34914,,,-0.1719752,1.800639,1.34904,,45.8734855478893,44.9237887513618,3.26134778980776
0.022, 0.71,0.71,,,-0.1721876,1.796456,1.348488,,,-0.1720909,1.800012,1.348301,,45.8734855478893,45.1137602125555,3.16526773487028
0.032, 1.81,1.81,,,-0.1722868,1.793779,1.352602,,,-0.1720346,1.80283,1.352085,,45.8734855478893,44.9704526024728,3.41122262659471
0.043, 2.51,2.51,,,-0.1724914,1.790859,1.353639,,,-0.1721355,1.803364,1.352914,,45.8734855478893,44.9622153945629,3.47158484859179
0.054, 1.8,1.8,,,-0.1737783,1.792084,1.351625,,,-0.1735098,1.801048,1.351132,,45.8734855478893,45.1371911758512,3.36836681928345
0.065, 3.25,3.25,,,-0.1725403,1.784299,1.349743,,,-0.1720609,1.800519,1.348961,,45.8734855478893,45.3813260356559,3.02497992209031
0.077, 3.78,3.78,,,-0.1719536,1.781596,1.34904,,,-0.1713973,1.800459,1.348216,,45.8734855478893,45.5506532506577,2.81264663561966
0.087, 4.85,4.85,,,-0.1706834,1.778301,1.35065,,,-0.1700057,1.80251,1.349621,,45.8734855478893,45.532512268727,2.70826598008089
0.099, 5.44,5.44,,,-0.1705596,1.777224,1.353189,,,-0.1698005,1.80438,1.351965,,45.8734855478893,45.4325114718716,2.82535398877345
0.11, 5.96,5.96,,,-0.1704659,1.775426,1.354251,,,-0.1696389,1.805173,1.352884,,45.8734855478893,45.3915781493148,2.86272792909808
0.122, 6.91,6.91,,,-0.1692031,1.772102,1.355024,,,-0.1683017,1.80659,1.35348,,45.8734855478893,45.3653502236318,2.75555564725717
0.132, 6.67,6.67,,,-0.1707199,1.772268,1.354856,,,-0.1696233,1.805571,1.353411,,45.8734855478893,45.7074948802042,2.92234992936446
0.143, 6.5,6.5,,,-0.1718281,1.773077,1.355749,,,-0.1705665,1.805542,1.354315,,45.8734855478893,45.9303980975647,3.1834612238788
0.155, 6.29,6.29,,,-0.1725872,1.774404,1.356723,,,-0.1712061,1.805804,1.355311,,45.8734855478893,46.120171483278,3.42394043847537
0.165, 6.24,6.24,,,-0.1730016,1.774969,1.357377,,,-0.1715007,1.806079,1.355982,,45.8734855478893,46.3060653216507,3.60353342751405
0.176, 6.49,6.49,,,-0.1726388,1.774448,1.358015,,,-0.1710517,1.806841,1.356571,,45.8734855478893,46.3485969084288,3.62633644031041
0.188, 6.47,6.47,,,-0.1732209,1.774543,1.35848,,,-0.171589,1.80684,1.357107,,45.8734855478893,46.4923553109842,3.62217642833481
0.199, 6.66,6.66,,,-0.1720197,1.774185,1.357972,,,-0.1703894,1.807395,1.356664,,45.8734855478893,46.5490663700847,3.4503141460044
0.21, 6.73,6.73,,,-0.1714333,1.774821,1.358713,,,-0.1697763,1.808385,1.357401,,45.8734855478893,46.5733067107745,3.45264003879547
0.221, 6.58,6.58,,,-0.1714952,1.775688,1.358891,,,-0.1698186,1.808496,1.357595,,45.8734855478893,46.6309159397259,3.54817538616181
0.232, 5.87,5.87,,,-0.1719437,1.777354,1.356662,,,-0.170331,1.806624,1.355555,,45.8734855478893,46.8661237425338,3.68727069063456
0.243, 6.3,6.3,,,-0.1716448,1.775526,1.357037,,,-0.1700827,1.806967,1.355774,,45.8734855478893,46.5452243887835,3.50358449740624
0.255, 6.65,6.65,,,-0.1706238,1.774844,1.357541,,,-0.1690108,1.808038,1.356162,,45.8734855478893,46.445752931574,3.50134846428893
0.265, 6.9,6.9,,,-0.1699538,1.77411,1.357693,,,-0.1683393,1.808554,1.356194,,45.8734855478893,46.2975685665596,3.49463161375737
0.277, 6.07,6.07,,,-0.1722234,1.776332,1.357112,,,-0.170586,1.806599,1.355775,,45.8734855478893,46.5830602206379,3.84175547809615
0.288, 4.73,4.73,,,-0.1738207,1.77996,1.354426,,,-0.1724119,1.803565,1.353465,,45.8734855478893,46.9534238029809,3.99659799670557
0.299, 4.91,4.91,,,-0.1727898,1.777877,1.351723,,,-0.1714391,1.802352,1.350839,,45.8734855478893,46.9340738776007,3.6424450141328
0.31, 5.82,5.82,,,-0.1709109,1.775202,1.352501,,,-0.1694889,1.804236,1.351457,,45.8734855478893,46.6751823945049,3.33489547818722
0.321, 6.27,6.27,,,-0.1701155,1.773764,1.352921,,,-0.1686464,1.805076,1.351759,,45.8734855478893,46.5444764830902,3.27327180566291
0.332, 6.21,6.21,,,-0.1706731,1.773868,1.353225,,,-0.1692217,1.804839,1.352011,,45.8734855478893,46.4615409134012,3.34111265770622
0.344, 6.18,6.18,,,-0.1708204,1.773268,1.352322,,,-0.1693655,1.804089,1.351133,,45.8734855478893,46.5004798207758,3.33513026593341
0.354, 6.03,6.03,,,-0.1706288,1.772447,1.350001,,,-0.1692285,1.802556,1.348906,,45.8734855478893,46.5540865589849,3.23052720236598
0.366, 5.81,5.81,,,-0.1711366,1.77169,1.347925,,,-0.1697993,1.800683,1.346924,,45.8734855478893,46.6072800707608,3.15430143957616
0.377, 5.74,5.74,,,-0.170762,1.7716,1.346996,,,-0.1694673,1.800241,1.345989,,45.8734855478893,46.5443672000665,3.13031573686925
0.388, 5.8,5.8,,,-0.1707471,1.771018,1.346642,,,-0.1694403,1.799976,1.345601,,45.8734855478893,46.5116266891911,3.15188013758277
0.399, 5.56,5.56,,,-0.171424,1.771087,1.345779,,,-0.1701673,1.798824,1.344758,,45.8734855478893,46.4854978012483,3.18966623712367
0.41, 5.34,5.34,,,-0.1714748,1.770535,1.343641,,,-0.1702636,1.797199,1.342637,,45.8734855478893,46.459211818959,3.22257878338397
0.421, 4.99,4.99,,,-0.1720813,1.769896,1.340995,,,-0.1709528,1.794804,1.340062,,45.8734855478893,46.4610525548891,3.21095444207032
0.432, 4.63,4.63,,,-0.172316,1.768493,1.336917,,,-0.1712925,1.791625,1.336068,,45.8734855478893,46.4444381201954,3.13656343879525
0.444, 4.32,4.32,,,-0.1734039,1.766632,1.333373,,,-0.1724596,1.7882,1.332566,,45.8734855478893,46.398412891754,3.13887182922706
0.454, 4.38,4.38,,,-0.1720201,1.761204,1.325066,,,-0.1712169,1.78308,1.324343,,45.8734855478893,46.2655691311886,2.66697065750814
0.466, 4.8,4.8,,,-0.1713116,1.756583,1.320995,,,-0.1705896,1.780543,1.320257,,45.8734855478893,46.0738184057656,2.29516078264859
0.477, 5.72,5.72,,,-0.1698619,1.750244,1.317424,,,-0.1691964,1.778832,1.316531,,45.8734855478893,45.7689358451733,2.03605500237349
0.488, 6.39,6.39,,,-0.1688755,1.74474,1.313745,,,-0.1683156,1.776657,1.312685,,45.8734855478893,45.4515574538421,1.93310057567109
0.499, 6.06,6.06,,,-0.1704159,1.742459,1.309955,,,-0.1698649,1.772742,1.308897,,45.8734855478893,45.4114915652858,2.03740033615913
0.51, 6.1,6.1,,,-0.172406,1.74185,1.311642,,,-0.1717293,1.772306,1.310167,,45.8734855478893,45.0597163422517,2.82473052058562
0.521, 5.82,5.82,,,-0.1715073,1.739711,1.305978,,,-0.170937,1.76877,1.304554,,45.8734855478893,44.9277263553087,2.79091852381402
0.532, 5.45,5.45,,,-0.1734069,1.739485,1.305145,,,-0.1727779,1.766683,1.30355,,45.8734855478893,44.7083406852729,3.37556647879852
0.543, 4.64,4.64,,,-0.1728471,1.737283,1.295797,,,-0.1723206,1.760423,1.294558,,45.8734855478893,44.8857070327041,3.10154057758355
0.555, 3.78,3.78,,,-0.1741448,1.73631,1.289737,,,-0.1736565,1.755198,1.28877,,45.8734855478893,45.1081799481589,3.06145355813003
0.566, 3.26,3.26,,,-0.172526,1.732067,1.278589,,,-0.1721817,1.748331,1.277934,,45.8734855478893,45.3311139013698,2.38425184671235
0.576, 3.6,3.6,,,-0.1707843,1.726134,1.271164,,,-0.1705148,1.744132,1.270543,,45.8734855478893,45.2922945223023,1.92894547289383
0.588, 4.47,4.47,,,-0.1682055,1.718763,1.264727,,,-0.1680912,1.741102,1.263989,,45.8734855478893,44.9392386388344,1.66894301687171
0.599, 5.37,5.37,,,-0.1665768,1.712805,1.261495,,,-0.1665913,1.73964,1.260495,,45.8734855478893,44.5392320363184,1.88315161710416
0.61, 6.77,6.77,,,-0.1641426,1.706632,1.260977,,,-0.1643571,1.740425,1.259331,,45.8734855478893,43.8482047417449,2.56300045363838
0.621, 7.29,7.29,,,-0.1635972,1.702507,1.258925,,,-0.1639306,1.738918,1.25685,,45.8734855478893,43.4066159487189,3.05716633388468
0.632, 6.41,6.41,,,-0.1655631,1.701554,1.253166,,,-0.1656567,1.733534,1.251236,,45.8734855478893,43.5377965582678,3.20778245961935
0.644, 2.64,2.64,,,-0.1727441,1.709412,1.243873,,,-0.1724875,1.722588,1.243144,,45.8734855478893,44.6791689481395,3.12104610320643
0.655, 3.19,3.19,,,-0.170158,1.704025,1.237829,,,-0.169899,1.719967,1.236983,,45.8734855478893,44.6286972666722,2.93751636399443
0.666, 4.22,4.22,,,-0.1653703,1.696087,1.229556,,,-0.1652915,1.717167,1.228558,,45.8734855478893,44.3223223097878,2.46934106036407
