経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.54,-0.54,,,-0.1459067,1.782985,1.505608,,,-0.1459167,1.780355,1.504915,,39.7048140310295,32.9434050541122,15.0086828777408
0.01, 1.06,-1.06,,,-0.1511325,1.784101,1.501724,,,-0.1512022,1.778974,1.500333,,40.0090613840467,34.0074699500144,15.4408272269547
0.022, 0.5,-0.5,,,-0.1517413,1.782078,1.498648,,,-0.1517736,1.779684,1.497984,,39.8483470373486,33.8984874546504,15.7789403644817
0.033, 0.51,-0.51,,,-0.153915,1.780193,1.499567,,,-0.1539502,1.777748,1.498894,,40.2801106035269,34.4010049484719,15.6525579626912
0.044, 0.29,0.29,,,-0.1524624,1.775271,1.502899,,,-0.152451,1.776693,1.503281,,40.5174084441626,34.1138535584715,15.3199072688009
0.055, 0.97,0.97,,,-0.1517891,1.772645,1.501711,,,-0.1517679,1.777315,1.50298,,40.3799064947129,33.7552993728748,15.4473159064856
0.066, 1.66,1.66,,,-0.1502917,1.768677,1.504173,,,-0.1502958,1.776694,1.506317,,40.5201507650381,33.4838608326228,15.2214261889936
0.077, 2.03,2.03,,,-0.1488658,1.764098,1.511026,,,-0.1489281,1.773942,1.513549,,41.1299432069786,33.5925291392937,14.6295971440703
0.088, 2.88,2.88,,,-0.1459104,1.760015,1.513665,,,-0.1460793,1.773985,1.517152,,41.1241580369126,33.1942095934558,14.2796498503619
0.1, 3.21,3.21,,,-0.1456714,1.75782,1.514616,,,-0.1458935,1.773403,1.518465,,41.2519781934833,33.2040518957759,14.1443600283681
0.112, 4.03,4.03,,,-0.1438786,1.754016,1.515402,,,-0.1442729,1.773562,1.520194,,41.2191454750567,32.7988304439737,14.0707177845599
0.122, 4.94,4.94,,,-0.1426351,1.751553,1.511974,,,-0.1432041,1.775496,1.517956,,40.7947755884492,32.1651528311703,14.3369969708112
0.133, 5.4,5.4,,,-0.1415658,1.749992,1.511297,,,-0.1422982,1.776143,1.517877,,40.6526837520049,31.7532377941677,14.4543601080536
0.143, 5.96,5.96,,,-0.1395168,1.74827,1.511021,,,-0.1404285,1.777189,1.51823,,40.4224961380973,31.3369002098006,14.3540058489185
0.154, 6.19,6.19,,,-0.1389526,1.748374,1.509151,,,-0.1399078,1.778371,1.516646,,40.1589669566841,31.1028945202532,14.3843899445958
0.166, 6.33,6.33,,,-0.1379877,1.749135,1.507332,,,-0.1389511,1.779836,1.515036,,39.8310120177175,30.8248375268796,14.4404675036684
0.177, 5.79,5.79,,,-0.1388192,1.75308,1.504698,,,-0.1395183,1.781121,1.511822,,39.5395200426204,30.9601264950999,14.5702820754212
0.188, 5.57,5.57,,,-0.1392282,1.753704,1.505338,,,-0.139867,1.780717,1.512175,,39.6307918579594,31.1284940685501,14.5102822803269
0.2, 5.51,5.51,,,-0.1385575,1.754228,1.505823,,,-0.1391903,1.780957,1.512562,,39.5773217235299,31.0595911221204,14.4590251271269
0.21, 5.72,5.72,,,-0.1347134,1.756431,1.504104,,,-0.1353763,1.784161,1.511014,,38.8498212198035,30.3654902425059,14.3018419881314
0.222, 5.81,5.81,,,-0.1310084,1.759038,1.502422,,,-0.1317214,1.787251,1.509323,,38.1368553582263,29.6689851363704,14.0636784210424
0.233, 5.77,5.77,,,-0.1273848,1.761674,1.501977,,,-0.1281292,1.789711,1.508697,,37.5619925027292,29.0757661479897,13.8055758247738
0.243, 5.65,5.65,,,-0.1239253,1.765013,1.500621,,,-0.12468,1.792495,1.507091,,36.9012844170377,28.4489306769969,13.5820903338027
0.255, 5.01,5.01,,,-0.1217009,1.770724,1.4988,,,-0.1222814,1.795096,1.50446,,36.273494427135,28.1362736537982,13.3892681224835
0.266, 5.4,5.4,,,-0.1164643,1.772733,1.495956,,,-0.1171955,1.799012,1.50204,,35.3118789508374,26.9729814799426,13.3737593246309
0.278, 5.26,5.26,,,-0.1128142,1.776244,1.494176,,,-0.1135221,1.801865,1.500032,,34.5962561457471,26.3310564139459,13.2136255439961
0.288, 4.9,4.9,,,-0.1093026,1.781214,1.49143,,,-0.1099137,1.805114,1.496845,,33.7643869393126,25.7057850562295,13.0921950292161
0.3, 4.97,4.97,,,-0.1051546,1.784992,1.486446,,,-0.1057696,1.809217,1.491971,,32.6862347786393,24.7385210136456,13.1741547356546
0.311, 5.22,5.22,,,-0.09964199,1.788393,1.481078,,,-0.1003725,1.81382,1.486894,,31.4381816670898,23.423485946317,13.2293033890259
0.322, 4.5,4.5,,,-0.09649809,1.794971,1.477932,,,-0.09699848,1.816897,1.482883,,30.5777520254356,23.0507164299058,13.0349016965051
0.333, 4.36,4.36,,,-0.09174013,1.799,1.474658,,,-0.09225031,1.82028,1.47941,,29.6070455676058,22.1239417475949,12.9066845351999
0.344, 4.21,4.21,,,-0.08696537,1.803282,1.470547,,,-0.08745469,1.823831,1.475121,,28.5549283797767,21.2049825090244,12.8659970994464
0.356, 4.09,4.09,,,-0.08148724,1.806476,1.46971,,,-0.08198416,1.826443,1.474028,,27.7608284108541,20.3641042833253,12.5280384949451
0.366, 3.75,3.75,,,-0.07622018,1.810568,1.468935,,,-0.07665831,1.828931,1.472818,,26.9840310181649,19.6369555343314,12.2634856389585
0.377, 4.08,4.08,,,-0.06808735,1.813313,1.464316,,,-0.06873022,1.833259,1.468474,,25.5776148524736,17.8473777196959,12.1597367759004
0.389, 4.16,4.16,,,-0.06184165,1.815783,1.461963,,,-0.06256381,1.836136,1.466079,,24.602128969905,16.7530755771794,11.8488410876848
0.4, 4.14,4.14,,,-0.05451415,1.818769,1.460218,,,-0.05531689,1.839056,1.464212,,23.5747490190141,15.4809631249481,11.6004339446732
0.411, 3.78,3.78,,,-0.04924703,1.823134,1.457254,,,-0.04993962,1.841681,1.460849,,22.6104236652388,14.7033768454317,11.4124201863959
0.422, 3.95,3.95,,,-0.0432776,1.825521,1.45164,,,-0.04402505,1.844892,1.455429,,21.373276657943,13.493769160103,11.520800771356
0.433, 4.06,4.06,,,-0.03676629,1.827665,1.44797,,,-0.03758191,1.847573,1.451841,,20.2869846195528,12.2973488621474,11.4827958923243
0.444, 4.13,4.13,,,-0.03020435,1.829999,1.443675,,,-0.03105486,1.850266,1.447624,,19.1353481631914,11.1286113201275,11.5184580165359
0.455, 3.47,3.47,,,-0.02605423,1.835307,1.439956,,,-0.02668182,1.852333,1.44326,,18.2023426409836,10.6403159873095,11.4195628565216
0.466, 4.29,4.29,,,-0.01603649,1.834426,1.434429,,,-0.01702476,1.855467,1.438527,,16.6953024236926,8.55003141886931,11.5736544812301
0.477, 4.22,4.22,,,-0.009675128,1.836663,1.431316,,,-0.01066364,1.857386,1.435251,,15.7022885686542,7.55356575707522,11.3211372719998
0.489, 4.25,4.25,,,-0.002478259,1.838006,1.430143,,,-0.003519997,1.858891,1.433969,,14.8819828721628,6.42675276878786,10.993236974545
0.5, 4.37,4.37,,,0.005394761,1.838717,1.429523,,,0.004275654,1.860225,1.4333,,14.1170401262219,5.27072407402559,10.6184867033296
0.511, 4.49,4.49,,,0.01192852,1.839791,1.425432,,,0.0107609,1.861888,1.429282,,13.093762557587,4.18502370075576,10.5567238657048
0.522, 4.64,4.64,,,0.01886638,1.840859,1.419977,,,0.01761579,1.863663,1.423987,,11.9038343542569,2.9833407421911,10.6774833144175
0.533, 4.43,4.43,,,0.02546092,1.843491,1.414675,,,0.02430577,1.865252,1.418522,,10.7265855429943,2.27752608847599,10.7001492965475
0.544, 4.8,4.8,,,0.03531845,1.843471,1.407543,,,0.03387729,1.867035,1.411757,,9.22749993454402,1.96313825270106,10.9386424202547
0.556, 4.58,4.58,,,0.04188325,1.845184,1.405673,,,0.04052077,1.867724,1.409582,,8.58105499098984,2.06269914269745,10.6435517893388
0.566, 4.26,4.26,,,0.04948333,1.847433,1.403142,,,0.04821295,1.868416,1.406685,,7.87576711559981,2.75107675083357,10.4035184580165
0.577, 4,4,,,0.05663038,1.849158,1.401119,,,0.05545773,1.868865,1.40433,,7.38049303719152,3.46481058178411,10.0744664199451
0.589, 3.61,3.61,,,0.0631716,1.851752,1.396041,,,0.06215128,1.869521,1.398923,,6.58001623308248,4.58453981032565,9.99851301094082
0.6, 3.31,3.31,,,0.07031057,1.853768,1.389717,,,0.06940513,1.870086,1.392371,,5.79068373606784,5.9191062299292,9.9889089114614
0.611, 3.11,3.11,,,0.07784065,1.855108,1.382984,,,0.07700478,1.870421,1.385495,,5.24698959420709,7.39947754746128,10.0459230601979
0.622, 2.87,2.87,,,0.08583919,1.856331,1.376554,,,0.08506528,1.870448,1.378879,,5.15882807617482,8.92612126089842,10.0848278166276
0.633, 2.24,2.24,,,0.09238787,1.859181,1.3725,,,0.09183969,1.870213,1.374298,,5.49083587852737,9.80862692710936,9.90954809192979
0.644, 1.96,1.96,,,0.1026668,1.859915,1.364949,,,0.102131,1.869558,1.36654,,6.3530153292208,11.9770078763463,10.1139824782885
0.656, 1.42,1.42,,,0.1089746,1.861932,1.360312,,,0.1086046,1.868934,1.361455,,7.08878078849978,12.9805991327937,9.97768093455199
0.667, 1.09,1.09,,,0.1179904,1.862388,1.357107,,,0.1177042,1.867755,1.357978,,8.33135523471375,14.2981220964582,9.92687713514553
0.678, 0.88,0.88,,,0.1242853,1.862428,1.353496,,,0.1240596,1.866788,1.354195,,9.22451770328065,15.2210232078438,9.79528671425791
0.689, 0.61,0.61,,,0.1317797,1.862418,1.347317,,,0.1316234,1.865422,1.347805,,10.3517618472474,16.7354963782923,9.91433007798937
0.7, 0.57,0.57,,,0.1389921,1.861088,1.34179,,,0.1388431,1.863898,1.342248,,11.4855066235758,18.1244938545375,9.96365684902892
0.711, 0.19,0.19,,,0.1455551,1.861267,1.334864,,,0.1455075,1.862196,1.335016,,12.6306211032349,19.4714754232725,9.95467258919942
0.722, 0.05,0.05,,,0.1522342,1.860044,1.328387,,,0.1522225,1.860271,1.328424,,13.8184934196821,20.8099158406881,9.89735620460059
0.733, 0.2,-0.2,,,0.1582443,1.85941,1.323984,,,0.158294,1.858436,1.323828,,14.8678273055018,21.8284831402477,9.75525924551456
0.744, 0.23,-0.23,,,0.1643789,1.857523,1.319155,,,0.164436,1.856399,1.318979,,15.9544796363607,22.88672188495,9.60586508327708
0.756, 0.26,-0.26,,,0.1697555,1.855696,1.31426,,,0.1698206,1.854401,1.314057,,16.9537345765795,23.915531052885,9.55565551031188
0.767, 0.36,-0.36,,,0.1749985,1.853934,1.308412,,,0.1750857,1.852167,1.308133,,18.0065467361373,25.0950432180208,9.6203843575012
0.777, 0.39,-0.39,,,0.1804519,1.851515,1.30195,,,0.1805454,1.849614,1.301648,,19.142140786132,26.3789753122819,9.67954745444549
0.789, 0.45,-0.45,,,0.1853539,1.849079,1.294365,,,0.185464,1.846847,1.29401,,20.3023935258915,27.7122589370177,9.70224929506758
0.8, 0.52,-0.52,,,0.1897035,1.846606,1.286819,,,0.1898309,1.844039,1.286414,,21.4186598486202,28.9403064250449,9.64140938672871
0.811, 0.66,-0.66,,,0.1945539,1.84416,1.279824,,,0.194715,1.840915,1.279315,,22.6008016365133,30.1862626685776,9.58342876625158
0.822, 0.64,-0.64,,,0.1985281,1.841155,1.273059,,,0.1986833,1.837989,1.272568,,23.6570476735807,31.2532064891349,9.48350651656947
0.833, 0.58,-0.58,,,0.2017094,1.838193,1.266933,,,0.2018454,1.835352,1.266497,,24.5723339780273,32.1480671134369,9.37785715342767
