経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.87,-0.87,,,-0.1021246,1.579952,0.9721726,,,-0.1027138,1.575783,0.9732304,,45.8734855478893,43.8259178351033,15.9747806655564
0.011, 0.02,-0.02,,,-0.101254,1.57663,0.972785,,,-0.1012671,1.576535,0.9728087,,45.8734855478893,43.8119944948677,15.7253267960836
0.022, 0.89,0.89,,,-0.1001968,1.573921,0.9744531,,,-0.09961026,1.57818,0.9733943,,45.8734855478893,43.7879453994693,15.6489618681933
0.033, 1.46,1.46,,,-0.0999234,1.572499,0.9763222,,,-0.09894713,1.579525,0.974565,,45.8734855478893,43.8088765135983,15.7479910706663
0.044, 1.55,1.55,,,-0.0998939,1.572243,0.9765488,,,-0.09884794,1.579683,0.9746817,,45.8734855478893,43.8650070066355,15.8299123572917
0.056, 1.6,1.6,,,-0.100092,1.571578,0.9761804,,,-0.09900908,1.579256,0.9742606,,45.8734855478893,43.9105268010924,15.800954063564
0.066, 2.29,2.29,,,-0.09993281,1.568627,0.9769003,,,-0.09838586,1.579651,0.9741759,,45.8734855478893,43.9536696897842,15.6474045851059
0.077, 2.87,2.87,,,-0.1000659,1.565445,0.976779,,,-0.09814881,1.579267,0.9734149,,45.8734855478893,43.9764210492764,15.4332440096397
0.088, 3.21,3.21,,,-0.09964682,1.563572,0.9761868,,,-0.09752537,1.579033,0.9724723,,45.8734855478893,43.9904570876302,15.248548869433
0.1, 3.5,3.5,,,-0.09943169,1.562527,0.9766368,,,-0.09715912,1.579389,0.9725919,,45.8734855478893,43.8833016678183,15.166895667725
0.111, 3.3,3.3,,,-0.09934682,1.564347,0.9776829,,,-0.09720229,1.580244,0.9738003,,45.8734855478893,43.7711533798621,15.3716920540997
0.122, 3.37,3.37,,,-0.09929174,1.564687,0.9786212,,,-0.09710134,1.580917,0.9746171,,45.8734855478893,43.7071306034586,15.4876157290145
0.133, 3.29,3.29,,,-0.1000007,1.565711,0.9801739,,,-0.09785612,1.581545,0.9762278,,45.8734855478893,43.6627309599944,15.6172151498145
0.144, 3.22,3.22,,,-0.1002632,1.565719,0.9798911,,,-0.09815717,1.581191,0.9760461,,45.8734855478893,43.7146813773759,15.6015791396922
0.156, 3.15,3.15,,,-0.1003321,1.566215,0.9801302,,,-0.098269,1.581356,0.9763832,,45.8734855478893,43.7491123600238,15.5571385150941
0.166, 2.97,2.97,,,-0.1015006,1.567181,0.9813673,,,-0.09955473,1.581489,0.9778499,,45.8734855478893,43.7809854368987,15.4745137190037
0.177, 2.75,2.75,,,-0.1019683,1.568245,0.9817402,,,-0.1001702,1.581507,0.9784896,,45.8734855478893,43.7803160783787,15.4297025566536
0.189, 2.67,2.67,,,-0.1025205,1.56894,0.9826372,,,-0.1007802,1.581785,0.9794793,,45.8734855478893,43.7558161905076,15.4613758505008
0.201, 2.28,2.28,,,-0.1032473,1.57155,0.9841536,,,-0.1017578,1.582513,0.9814493,,45.8734855478893,43.7522405865766,15.5095081922425
0.211, 1.57,1.57,,,-0.1055685,1.575547,0.9868844,,,-0.104532,1.583094,0.9850161,,45.8734855478893,43.7985970791835,15.5868549597986
0.222, 1.04,1.04,,,-0.1073464,1.578127,0.9884237,,,-0.1066516,1.583133,0.9871879,,45.8734855478893,43.8862454792687,15.5974895640404
0.233, 0.52,0.52,,,-0.1088575,1.581077,0.990265,,,-0.1085091,1.583577,0.9896511,,45.8734855478893,43.9489500291991,15.5534826564426
0.243, 0.45,0.45,,,-0.1091362,1.582163,0.9915264,,,-0.1088374,1.584322,0.9909958,,45.8734855478893,43.9015246120168,15.5323773724946
0.255, 0.41,0.41,,,-0.1096762,1.585226,0.9960096,,,-0.1094033,1.587222,0.9955152,,45.8734855478893,43.7685271721993,15.577384902778
0.266, 0.52,0.52,,,-0.1101393,1.591128,1.005319,,,-0.109802,1.593651,1.004678,,45.8734855478893,43.4536452149404,15.7873397893797
0.278, 0.67,0.67,,,-0.1106057,1.593895,1.010634,,,-0.1101782,1.597132,1.009799,,45.8734855478893,43.2753123957685,15.9287656823985
0.288, 0.72,0.72,,,-0.111633,1.596503,1.015531,,,-0.1111793,1.599947,1.014639,,45.8734855478893,43.217730487573,15.9917724681912
0.3, 0.71,0.71,,,-0.1130078,1.59889,1.020111,,,-0.1125563,1.602304,1.019229,,45.8734855478893,43.2723378484677,15.9510133154534
0.31, 0.61,0.61,,,-0.1135777,1.600642,1.022334,,,-0.1131863,1.60357,1.021584,,45.8734855478893,43.4005404956213,15.8840450200523
0.322, 0.62,0.62,,,-0.1143291,1.602323,1.025465,,,-0.113928,1.605314,1.024705,,45.8734855478893,43.4641090644576,15.8156833660993
0.333, 0.7,0.7,,,-0.116277,1.605432,1.03219,,,-0.115825,1.608789,1.031338,,45.8734855478893,43.5037309907303,15.8072122242169
0.344, 0.77,0.77,,,-0.117005,1.609329,1.038747,,,-0.116504,1.613034,1.037804,,45.8734855478893,43.512357519412,15.8600317831461
0.356, 0.87,0.87,,,-0.1183898,1.611896,1.044368,,,-0.1178188,1.616098,1.043298,,45.8734855478893,43.5383327281027,15.8805001519717
0.367, 0.86,0.86,,,-0.120161,1.614422,1.049452,,,-0.1195941,1.618545,1.048408,,45.8734855478893,43.6516489783745,15.8590687264999
0.378, 0.82,0.82,,,-0.1216381,1.616793,1.053871,,,-0.1210948,1.620725,1.052881,,45.8734855478893,43.7229015098133,15.8124253659558
0.389, 0.72,0.72,,,-0.1225868,1.619747,1.058125,,,-0.1221073,1.623196,1.057262,,45.8734855478893,43.808644287173,15.7561685144225
0.4, 0.47,0.47,,,-0.1240679,1.623504,1.062948,,,-0.1237544,1.625747,1.062387,,45.8734855478893,43.8454692510584,15.7705614301505
0.411, 0.08,0.08,,,-0.1258523,1.628329,1.068567,,,-0.1257983,1.62871,1.068471,,45.8734855478893,43.8703584597013,15.9158566252264
0.422, 0.67,-0.67,,,-0.1283759,1.634168,1.073723,,,-0.1288461,1.630932,1.074548,,45.8734855478893,43.9848426722887,16.1418590408366
0.434, 1.39,-1.39,,,-0.1303694,1.639928,1.078568,,,-0.131361,1.633288,1.080274,,45.8734855478893,44.1257016596221,16.3387665589394
0.444, 2.12,-2.12,,,-0.1335006,1.645417,1.084052,,,-0.1350549,1.635264,1.086663,,45.8734855478893,44.3041130259672,16.4457648844047
0.455, 2.81,-2.81,,,-0.136288,1.650567,1.08909,,,-0.1383812,1.637128,1.09253,,45.8734855478893,44.4623514291601,16.4681986401094
0.466, 3.59,-3.59,,,-0.1397686,1.65582,1.094274,,,-0.1425002,1.638608,1.098667,,45.8734855478893,44.6238922287248,16.5177482460644
0.478, 4.56,-4.56,,,-0.1428765,1.661834,1.098926,,,-0.1464213,1.640002,1.104488,,45.8734855478893,44.8132318974379,16.6002125327138
