経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.62,-0.62,,,-0.2035353,1.627849,1.350482,,,-0.2031878,1.62479,1.35008,,45.0005395849294,39.1227965525759,10.0413408571659
0.01, 0,0,,,-0.2014872,1.626504,1.351097,,,-0.2014857,1.626492,1.351096,,45.0005395849294,39.0190903781989,10.1210201342587
0.022, 0.1,0.1,,,-0.2010066,1.626442,1.352276,,,-0.2010619,1.626916,1.352337,,45.0005395849294,38.9320054687046,10.0418112864319
0.033, 0.79,0.79,,,-0.1978594,1.625747,1.354685,,,-0.1983211,1.629657,1.355173,,45.0005395849294,38.8111896709329,9.92731341346663
0.043, 1.25,1.25,,,-0.1959583,1.625144,1.355879,,,-0.1966846,1.631293,1.356629,,45.0005395849294,38.7881719340705,9.81748312089548
0.055, 1.07,1.07,,,-0.196318,1.625792,1.354915,,,-0.196934,1.631044,1.355567,,45.0005395849294,38.8519078425368,9.87991617081392
0.066, 1.4,1.4,,,-0.1951112,1.625172,1.353963,,,-0.1959191,1.632059,1.354834,,45.0005395849294,38.8719749377599,9.97667518922469
0.077, 2.23,2.23,,,-0.191806,1.623899,1.352212,,,-0.1931009,1.634877,1.35365,,45.0005395849294,38.875509560557,10.1845656512073
0.088, 2.94,2.94,,,-0.1885884,1.623168,1.350827,,,-0.1903246,1.637653,1.352776,,45.0005395849294,38.8027373120702,10.4035372410362
0.099, 3.58,3.58,,,-0.1852275,1.62295,1.350875,,,-0.1874066,1.640571,1.353244,,45.0005395849294,38.5910800008652,10.5370025487989
0.11, 4.23,4.23,,,-0.181158,1.623347,1.353436,,,-0.1838109,1.644167,1.356143,,45.0005395849294,38.3427240842709,10.4979748489674
0.122, 4.74,4.74,,,-0.1777572,1.623852,1.356269,,,-0.1807773,1.647201,1.359193,,45.0005395849294,38.1925862852082,10.3826949193639
0.134, 4.8,4.8,,,-0.174938,1.626355,1.358721,,,-0.1779732,1.650005,1.361593,,45.0005395849294,38.2156620786769,10.1930991185641
0.144, 4.6,4.6,,,-0.173485,1.629019,1.359506,,,-0.1762989,1.651679,1.362256,,45.0005395849294,38.4458531076791,10.0263853046207
0.155, 4.21,4.21,,,-0.1724507,1.632333,1.358793,,,-0.174922,1.653056,1.361375,,45.0005395849294,38.7468253850804,9.96586726893755
0.166, 3.8,3.8,,,-0.1719882,1.635123,1.356325,,,-0.1741087,1.653869,1.358767,,45.0005395849294,39.1373755909536,9.97868582610567
0.177, 3.56,3.56,,,-0.1706869,1.637818,1.354572,,,-0.1726,1.655378,1.356932,,45.0005395849294,39.40597277259,10.0108380869551
0.188, 3.51,3.51,,,-0.168477,1.640387,1.353759,,,-0.1703226,1.657655,1.356115,,45.0005395849294,39.53948930677,10.0303271774358
0.199, 3.53,3.53,,,-0.1658721,1.642899,1.354484,,,-0.1677063,1.660272,1.356855,,45.0005395849294,39.6122171590284,9.99030739265504
0.21, 3.44,3.44,,,-0.162636,1.646633,1.355936,,,-0.1644026,1.663575,1.358221,,45.0005395849294,39.67026010498,9.87334638278884
0.222, 3.27,3.27,,,-0.1603871,1.649824,1.358688,,,-0.1620293,1.665949,1.360813,,45.0005395849294,39.7780814682174,9.65644690154169
0.233, 2.89,2.89,,,-0.157968,1.654319,1.361044,,,-0.1593713,1.668607,1.36288,,45.0005395849294,39.950557400339,9.38422630465147
