1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointPyramid, 6.26,6.26,,,0.07104125,1.812195,1.280741,,,0.0825043,1.840542,1.274089,,48.527550136433,29.0264248627986,24.9319485504631, 1.53
PointPlane1, 7.45,7.45,,,0.0657469,1.637155,1.066018,,,0.07516702,1.668431,1.048125,,44.750001422956,21.0093215004104,32.6630633625248, 1.488
PointBall2, 9.95,9.95,,,-0.1321732,1.668854,1.02371,,,-0.1450831,1.691323,0.9812508,,54.9935773456292,19.187850118333,62.9074133732824, 1.845
PointBall1, 10.68,10.68,,,0.2203565,1.740031,1.08303,,,0.2433327,1.788096,1.079545,,36.5770075348368,21.1693220923601,25.7669886721316, 1.123
PointPlane2, 9.51,9.51,,,-0.1389507,1.774199,1.292516,,,-0.1222716,1.81872,1.291446,,29.7499911776726,34.7119493017839,20.5616931127789, 1.2
PointPlane3, 5.89,5.89,,,0.1517681,1.624465,0.9777647,,,0.1647532,1.648741,0.9672883,,59.7499809323891,43.9399068589896,34.3430371345991, 1.033
PointBall3, 9.84,9.84,,,0.05292984,1.822606,1.274841,,,0.06081258,1.870804,1.280812,,3.72473086209507,10.2942072598079,11.746986748295, 1
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPyramid, 9.91,9.91,,,0.06015185,1.805101,1.274526,,,0.06955999,1.853429,1.280098,,48.7770808455319,43.0968907841398,12.8774035150429, 1.022
PointBall3, 11.59,11.59,,,0.04619353,1.814647,1.263027,,,0.05526073,1.871166,1.271957,,2.75804098227224,12.2008007258214,12.8665033872046, 0.945
PointPlane2, 10.34,10.34,,,-0.1208836,1.769529,1.296515,,,-0.1110377,1.820196,1.294001,,29.7499911776726,29.1394200941883,11.2813693504376, 0.944
PointPlane1, 9.47,9.47,,,0.04668592,1.613372,1.045819,,,0.06148306,1.657533,1.037227,,44.750001422956,38.035300693378,21.0556523798086, 0.923
PointPlane3, 9.97,9.97,,,0.1449019,1.606275,0.9815829,,,0.1612731,1.651611,0.9689451,,59.7499809323891,47.5818421702698,24.3693971106024, 0.922
PointBall1, 13.43,13.43,,,0.2172454,1.728297,1.087284,,,0.2465285,1.788628,1.083903,,36.4594975485313,21.3766114977125,26.0124520036929, 0.867
PointBall2, 8.18,8.18,,,-0.1336581,1.680838,1.024346,,,-0.1462685,1.701381,0.9913167,,53.3082350450166,15.9871484302518,59.6072299827082, 1.122
3順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall2, 9.87,9.87,,,-0.1374028,1.66256,1.022677,,,-0.1515519,1.68597,0.9816302,,55.8806105733602,17.3064079694645,61.430439647881, 1.522
PointPlane3, 5.35,5.35,,,0.1435052,1.627772,0.9739486,,,0.1501733,1.653346,0.9699469,,59.7499809323891,52.5534650117878,16.7862293144881, 1.156
PointPlane1, 8.92,8.92,,,0.05829332,1.626784,1.056474,,,0.06929599,1.669393,1.049087,,44.750001422956,37.603622504562,17.1381104054514, 0.967
PointBall3, 10.99,10.99,,,0.05066598,1.817286,1.266107,,,0.05936013,1.871221,1.272212,,2.60165761571763,10.5791055412185,11.2882627186657, 0.989
PointPlane2, 7.48,7.48,,,-0.1252602,1.773642,1.274028,,,-0.1190857,1.810397,1.277029,,29.7499911776726,35.7900673115124,10.6919795367538, 1.055
PointBall1, 10.86,10.86,,,0.2254689,1.729284,1.071076,,,0.2543768,1.775101,1.067214,,39.4440749818146,22.6256788923255,32.4463243907187, 0.865
PointPyramid, 7.83,7.83,,,0.05168779,1.809733,1.283731,,,0.05796508,1.848358,1.28458,,48.7770808455319,47.9492892619184,9.34962542105269, 1.156
4順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPyramid, 9.14,9.14,,,0.05232549,1.800216,1.281458,,,0.0580724,1.845159,1.287408,,48.7770808455319,41.5069354877267,10.609550254823, 1.078
PointBall2, 12.62,12.62,,,-0.137614,1.650522,1.031418,,,-0.152539,1.680993,0.9782158,,56.6944514959821,19.5435253792747,60.884475321958, 1.488
PointPlane1, 6.43,6.43,,,0.05851366,1.626803,1.040312,,,0.06520531,1.658126,1.03782,,44.750001422956,41.9041382976665,12.7566952927476, 1.156
PointBall1, 11.36,11.36,,,0.2313505,1.732383,1.079625,,,0.2476306,1.786774,1.081467,,36.8804523406488,28.8267511181589,16.7935461544329, 1.078
