経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.89,-0.89,,,0.0004169066,1.813865,1.247904,,,0.0006625205,1.809412,1.247916,,44.8235181620417,42.6924479738814,3.15895279827151
0.011, 1.65,-1.65,,,-0.001110248,1.817676,1.249325,,,-0.0007242188,1.809448,1.249354,,44.8235181620417,42.983922873506,2.68685995437434
0.024, 1.3,-1.3,,,-0.0008416735,1.817087,1.250767,,,-0.0005434901,1.810585,1.250781,,44.8235181620417,43.0816150664862,2.62934762872914
0.033, 0.72,-0.72,,,-0.0003531203,1.814126,1.250337,,,-0.0001724511,1.810534,1.250337,,44.8235181620417,43.0016062327751,2.89089861665906
0.044, 0.8,0.8,,,0.003123106,1.812694,1.255987,,,0.002901584,1.816691,1.255971,,44.8235181620417,42.635514933639,3.17298969039892
0.055, 2.59,2.59,,,0.006634537,1.808626,1.260074,,,0.005809098,1.821568,1.25996,,44.8235181620417,42.1092420425452,3.65821506671387
0.067, 3.86,3.86,,,0.00825014,1.805366,1.263312,,,0.006950155,1.824604,1.263113,,44.8235181620417,41.8986160898762,3.88065340433694
0.077, 2.27,2.27,,,-0.0004842505,1.808911,1.265014,,,-0.0009550899,1.820263,1.264879,,44.8235181620417,42.8500955657275,2.41419155321912
0.088, 2.04,2.04,,,-0.002008136,1.806259,1.261004,,,-0.002450794,1.816457,1.260992,,44.8235181620417,43.2195882989756,2.491907577867
0.099, 5.64,5.64,,,0.00612339,1.796893,1.266346,,,0.004392654,1.825026,1.266267,,44.8235181620417,42.4500309066051,3.52147745809964
0.11, 7.73,7.73,,,0.009320509,1.789989,1.269119,,,0.006576084,1.828516,1.26902,,44.8235181620417,42.0867058340059,4.07558913225864
0.121, 9.26,9.26,,,0.009544971,1.784622,1.272954,,,0.006174952,1.830788,1.272633,,44.8235181620417,41.834142521,4.17752970278433
0.132, 8.35,8.35,,,0.00391243,1.787089,1.274726,,,0.001504704,1.828747,1.274417,,44.8235181620417,42.3994294515472,3.31233472365625
0.143, 6.37,6.37,,,-0.003691968,1.79091,1.272367,,,-0.004898652,1.822744,1.272331,,44.8235181620417,43.4396501577205,2.17861513364972
0.155, 6.05,6.05,,,-0.005063619,1.792823,1.273777,,,-0.005952537,1.82304,1.273804,,44.8235181620417,43.8582997610572,1.71166488844594
0.166, 8.48,8.48,,,0.0009216182,1.785294,1.275292,,,-0.0009676814,1.827652,1.275341,,44.8235181620417,43.2723276031842,2.57336569230226
0.177, 11.13,11.13,,,0.008402234,1.778216,1.27809,,,0.004861176,1.83374,1.278121,,44.8235181620417,42.5054373996105,3.66008781915481
0.188, 11.4,11.4,,,0.008507445,1.777005,1.278311,,,0.004859924,1.833865,1.2783,,44.8235181620417,42.4590740768146,3.67823178929322
0.199, 8.59,8.59,,,0.0002154894,1.785638,1.277231,,,-0.001590386,1.828526,1.2772,,44.8235181620417,43.2910047549499,2.42002197328713
0.211, 7.64,7.64,,,-0.001805583,1.787218,1.274274,,,-0.003181852,1.825403,1.274375,,44.8235181620417,43.6698411867226,2.1029165760718
0.221, 8.34,8.34,,,0.001015048,1.785818,1.274809,,,-0.0008269623,1.82748,1.274957,,44.8235181620417,43.3877509667563,2.57184405426357
0.233, 8.3,8.3,,,0.001943754,1.786356,1.274558,,,7.927418E-06,1.827812,1.274592,,44.8235181620417,43.1763975989609,2.6899179580467
0.244, 8.21,8.21,,,0.002586413,1.787739,1.275479,,,0.0006018281,1.828722,1.275284,,44.8235181620417,42.8760366234733,2.77248149587969
0.255, 7.88,7.88,,,0.002454408,1.789008,1.275009,,,0.0005680174,1.82837,1.274821,,44.8235181620417,42.8946830393886,2.74380964320231
0.266, 7.36,7.36,,,0.001578461,1.790299,1.273869,,,-0.0001611784,1.827049,1.273681,,44.8235181620417,42.9035383794011,2.71036114055049
0.277, 7.17,7.17,,,0.001564585,1.790937,1.273426,,,-0.0001343563,1.82674,1.273218,,44.8235181620417,42.8697050382889,2.71793368569519
0.288, 6.91,6.91,,,0.00112446,1.791507,1.2728,,,-0.0005299076,1.826021,1.272597,,44.8235181620417,42.8481455467737,2.745521245872
0.3, 6.86,6.86,,,0.0013093,1.791469,1.272209,,,-0.0003501475,1.825728,1.272003,,44.8235181620417,42.8226245456501,2.77473994055459
0.31, 6.32,6.32,,,0.0005064346,1.792707,1.27081,,,-0.001011297,1.824289,1.270628,,44.8235181620417,42.8481250562068,2.75242827447797
0.322, 6.17,6.17,,,0.0001611654,1.792608,1.269925,,,-0.001343861,1.823441,1.269763,,44.8235181620417,42.8396248860212,2.79491333059367
0.333, 6.55,6.55,,,0.001914408,1.790046,1.267452,,,7.686019E-05,1.822727,1.267331,,44.8235181620417,42.616626046015,3.21832336220606
0.344, 6.61,6.61,,,0.001527574,1.788566,1.26624,,,-0.0004004985,1.82156,1.266158,,44.8235181620417,42.5828746671706,3.34614821453168
0.355, 6.19,6.19,,,-0.0001278892,1.790297,1.267071,,,-0.001757301,1.821182,1.266981,,44.8235181620417,42.7832519212752,3.02109461177775
