経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.99,0.99,,,-0.1228435,1.566171,0.9868586,,,-0.1231029,1.571093,0.9872252,,45.8734855478893,47.147691453043,5.41916713244761
0.01, 0.55,0.55,,,-0.1226498,1.567336,0.9852902,,,-0.1227943,1.57005,0.9854943,,45.8734855478893,47.1610205668374,5.47120676917262
0.022, 0.1,0.1,,,-0.1227855,1.568569,0.9841044,,,-0.1228107,1.569045,0.9841408,,45.8734855478893,47.2265391546275,5.52304150022824
0.033, 1.06,-1.06,,,-0.1227957,1.571717,0.9807141,,,-0.1225233,1.566432,0.9802908,,45.8734855478893,47.4343749750983,5.65204626770015
0.043, 1.66,-1.66,,,-0.1232293,1.573638,0.9797888,,,-0.1228111,1.565362,0.9791209,,45.8734855478893,47.4986607137775,5.65277410971333
0.054, 1.48,-1.48,,,-0.1229197,1.573591,0.9806243,,,-0.1225429,1.566237,0.980045,,45.8734855478893,47.3889951995155,5.57987763716442
0.065, 1.41,-1.41,,,-0.1224814,1.574121,0.981311,,,-0.1221136,1.567082,0.9807677,,45.8734855478893,47.2811635909946,5.53438473657669
0.077, 1.95,-1.95,,,-0.1209044,1.577609,0.9808719,,,-0.1203744,1.567909,0.9801563,,45.8734855478893,47.0455493919424,5.44805541673829
0.088, 2.27,-2.27,,,-0.1201874,1.579942,0.9811244,,,-0.1195499,1.568644,0.9803333,,45.8734855478893,46.8150202685858,5.33538718064598
0.099, 2.76,-2.76,,,-0.1200966,1.581764,0.9802101,,,-0.1193167,1.56803,0.9792638,,45.8734855478893,46.7535588130498,5.29764569077685
0.11, 3.26,-3.26,,,-0.1205691,1.58305,0.9790981,,,-0.1196634,1.566804,0.9779393,,45.8734855478893,46.8974162533454,5.37220830255005
0.121, 3.71,-3.71,,,-0.1203761,1.584957,0.9785733,,,-0.1193662,1.566505,0.9772334,,45.8734855478893,46.9910547291659,5.39731821167439
