経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.01,-0.01,,,-0.181643,1.803533,1.31655,,,-0.1816398,1.803506,1.316551,,34.0199555354697,27.3198611650253,6.99369687393634
0.01, 0.62,0.62,,,-0.1821527,1.79986,1.31536,,,-0.1825125,1.802918,1.315261,,34.1687546174923,27.5144122679301,6.89344037188102
0.022, 1.4,1.4,,,-0.1831143,1.795018,1.315107,,,-0.1839246,1.801955,1.314886,,34.4131934207066,27.8013177711272,6.84039883181001
0.033, 0.89,0.89,,,-0.1870982,1.795009,1.314368,,,-0.1875764,1.799422,1.314232,,35.0492479392751,28.9051753480266,6.36618051847965
0.044, 2.78,2.78,,,-0.1832056,1.787505,1.314607,,,-0.1848567,1.801313,1.314167,,34.5747649561217,27.8004981484496,6.99406143527314
0.055, 4.11,4.11,,,-0.1822108,1.780968,1.313951,,,-0.1847625,1.801374,1.313336,,34.5583929931368,27.4640362091085,7.27550961747527
0.066, 4.65,4.65,,,-0.1830751,1.777478,1.315508,,,-0.1859482,1.800559,1.314719,,34.7651564739377,27.7270462961593,7.29350118902206
0.076, 5.14,5.14,,,-0.1835349,1.774514,1.31743,,,-0.1867182,1.800021,1.316485,,34.9020129705289,27.8739619535707,7.34972303583686
0.088, 5.85,5.85,,,-0.1834804,1.770677,1.317866,,,-0.1871937,1.799687,1.316756,,34.9856998610057,27.7859225251664,7.54157962918904
0.098, 4.76,4.76,,,-0.1855169,1.775228,1.317133,,,-0.1884182,1.798829,1.316274,,35.1989827571879,28.270521018199,7.2387153894403
0.11, 4.86,4.86,,,-0.1903106,1.77136,1.315207,,,-0.1930997,1.795477,1.314395,,36.0215833971766,29.4736246560715,6.80233034664347
