経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.59,-0.59,,,0.048522,1.621693,1.00239,,,0.04795215,1.619167,1.003787,,44.7499911776726,19.4739547818722,30.6165133478968
0.01, 0.24,-0.24,,,0.04856233,1.620594,1.003603,,,0.04833322,1.619563,1.004182,,44.7499911776726,19.0258534036539,30.9336526826136
0.022, 0.28,0.28,,,0.04878294,1.618534,1.005011,,,0.04904102,1.619717,1.004336,,44.7499911776726,18.6227629708135,31.175004240409
0.033, 0.84,0.84,,,0.05002627,1.61638,1.006631,,,0.05078612,1.619947,1.004567,,44.7499911776726,18.1697455640768,31.4172266472993
0.044, 1.43,1.43,,,0.05169731,1.614026,1.008301,,,0.0529524,1.620111,1.004731,,44.7499911776726,17.6860828069345,31.6381354494777
0.055, 2.09,2.09,,,0.05322581,1.611102,1.009851,,,0.05499757,1.619963,1.004582,,44.7499911776726,17.2239180696065,31.8614587234604
0.066, 2.91,2.91,,,0.05433744,1.607072,1.011391,,,0.05671034,1.619382,1.004002,,44.7499911776726,16.8258085520796,31.9880118799754
0.077, 3.63,3.63,,,0.05627653,1.603291,1.012538,,,0.05911267,1.618645,1.003265,,44.7499911776726,16.4776294235434,32.0364891462605
0.088, 4.19,4.19,,,0.05810153,1.599858,1.012935,,,0.06127125,1.617561,1.002181,,44.7499911776726,16.2040701096131,32.1057267719502
0.1, 4.58,4.58,,,0.05965747,1.597552,1.013337,,,0.06306637,1.61689,1.00151,,44.7499911776726,15.9812932507488,32.235401324829
0.111, 4.68,4.68,,,0.05988732,1.596559,1.013041,,,0.06339312,1.616272,1.000892,,44.7499911776726,15.8465916787808,32.4375646733519
0.122, 4.77,4.77,,,0.06011222,1.596068,1.013183,,,0.06370943,1.616122,1.000742,,44.7499911776726,15.7381112023068,32.6117174168681
0.133, 5.04,5.04,,,0.06020309,1.593988,1.012893,,,0.06399248,1.615163,0.9997823,,44.7499911776726,15.7706246093986,32.561324282574
0.144, 5.34,5.34,,,0.06085454,1.591529,1.012514,,,0.06482859,1.614021,0.998641,,44.7499911776726,15.7992857899057,32.4434283905912
0.155, 5.75,5.75,,,0.06138377,1.588372,1.012113,,,0.06557301,1.612645,0.9972649,,44.7499911776726,15.8856535295571,32.1975552476911
0.166, 5.98,5.98,,,0.0624775,1.585949,1.011229,,,0.06674425,1.611241,0.9958605,,44.7499911776726,15.9417515791966,31.9950947859476
0.177, 6.16,6.16,,,0.06284211,1.584166,1.010687,,,0.06720777,1.610259,0.994879,,44.7499911776726,15.9759844863641,31.9087509519576
0.189, 6.07,6.07,,,0.06322162,1.584474,1.010348,,,0.06753542,1.610131,0.9947508,,44.7499911776726,15.9181857196686,31.9991177672568
0.2, 5.97,5.97,,,0.06338485,1.585838,1.011107,,,0.067668,1.611058,0.9956777,,44.7499911776726,15.8133406112791,32.1717405484414
0.211, 5.91,5.91,,,0.06389631,1.586968,1.011803,,,0.06813993,1.611873,0.9964926,,44.7499911776726,15.7169324938272,32.2941067991116
0.222, 5.86,5.86,,,0.06460894,1.58856,1.013055,,,0.06880757,1.613217,0.9978368,,44.7499911776726,15.6248769143028,32.3872876522705
0.233, 5.92,5.92,,,0.0655533,1.590154,1.01511,,,0.06977295,1.615052,0.9996716,,44.7499911776726,15.4985457389297,32.4913933927029
0.244, 6.07,6.07,,,0.06666093,1.591424,1.017428,,,0.07094989,1.61695,1.00157,,44.7499911776726,15.4175670183835,32.5235943186488
0.255, 6.25,6.25,,,0.06801337,1.59329,1.020533,,,0.07236981,1.619558,1.004177,,44.7499911776726,15.3126023816869,32.5548390181376
0.266, 6.38,6.38,,,0.06890267,1.594592,1.022714,,,0.07332651,1.621392,1.006012,,44.7499911776726,15.2721505874532,32.5695034338775
0.277, 6.26,6.26,,,0.06913142,1.59729,1.024608,,,0.07350726,1.623593,1.008213,,44.7499911776726,15.3018909378191,32.5849840572006
0.288, 5.94,5.94,,,0.06968276,1.600753,1.025881,,,0.07388918,1.625703,1.010323,,44.7499911776726,15.347467081335,32.6187251907615
0.299, 5.48,5.48,,,0.06939346,1.606733,1.028678,,,0.07338265,1.629697,1.014316,,44.7499911776726,15.4098318293637,32.7445270264886
0.311, 5.1,5.1,,,0.06910861,1.611531,1.030907,,,0.07292788,1.632884,1.017504,,44.7499911776726,15.4580836994125,32.8908979763288
0.322, 4.64,4.64,,,0.06888628,1.616883,1.03309,,,0.07244951,1.636267,1.020887,,44.7499911776726,15.5208326455712,33.0189264536634
0.333, 4.2,4.2,,,0.06857224,1.621694,1.034918,,,0.07185408,1.639249,1.023869,,44.7499911776726,15.6102876306416,33.0477327756863
0.344, 3.89,3.89,,,0.06862523,1.626333,1.037416,,,0.07169326,1.642578,1.027197,,44.7499911776726,15.6738083881551,33.0573189459197
0.355, 3.68,3.68,,,0.0687829,1.630359,1.039996,,,0.07170819,1.645716,1.030336,,44.7499911776726,15.7195296731868,33.0737626258889
0.366, 3.47,3.47,,,0.06893206,1.634521,1.042762,,,0.07171775,1.649015,1.033634,,44.7499911776726,15.7386781079921,33.123646911104
0.377, 3.19,3.19,,,0.06853539,1.638814,1.045158,,,0.07111512,1.652126,1.036746,,44.7499911776726,15.705695125408,33.2249283683931
0.389, 2.92,2.92,,,0.06877132,1.643177,1.047668,,,0.07114581,1.655332,1.039952,,44.7499911776726,15.6491275002761,33.3512595437661
0.4, 2.76,2.76,,,0.06902814,1.647336,1.050761,,,0.07128765,1.6588,1.04342,,44.7499911776726,15.5038749938813,33.5824341199814
0.412, 2.62,2.62,,,0.06943941,1.651493,1.053968,,,0.07159086,1.662338,1.046958,,44.7499911776726,15.3333832316584,33.8233519607765
0.422, 2.48,2.48,,,0.07008482,1.655272,1.056838,,,0.07212517,1.66554,1.050159,,44.7499911776726,15.2025031504247,33.9823041187178
0.433, 2.46,2.46,,,0.07044338,1.658662,1.060045,,,0.0724496,1.668802,1.053422,,44.7499911776726,15.0873820227149,34.0717078773708
0.444, 2.51,2.51,,,0.07139388,1.661435,1.063224,,,0.07343714,1.671806,1.056425,,44.7499911776726,14.9809113293483,34.1541619187367
0.456, 2.47,2.47,,,0.07169864,1.664144,1.065672,,,0.07370124,1.674346,1.058965,,44.7499911776726,14.9003338824046,34.2114774495619
0.467, 2.5,2.5,,,0.0718027,1.666861,1.068574,,,0.07382448,1.677167,1.061786,,44.7499911776726,14.8546194275619,34.2570006591132
0.477, 2.4,2.4,,,0.07219039,1.669665,1.070715,,,0.07414132,1.679564,1.064184,,44.7499911776726,14.8400642948456,34.3128306238353
0.489, 2.2,2.2,,,0.07235143,1.672692,1.072357,,,0.07415144,1.681745,1.066364,,44.7499911776726,14.8184621146493,34.4126026093599
0.5, 1.99,1.99,,,0.07235963,1.675866,1.074069,,,0.07400112,1.684026,1.068646,,44.7499911776726,14.8024436139441,34.5320762749971
0.51, 1.97,1.97,,,0.07259785,1.678178,1.076239,,,0.07423243,1.686246,1.070866,,44.7499911776726,14.79609324574,34.6040084102394
0.522, 1.89,1.89,,,0.07261543,1.680756,1.078267,,,0.07418345,1.688493,1.073112,,44.7499911776726,14.7915597078045,34.6119041087002
0.533, 2.1,2.1,,,0.07241277,1.681019,1.079969,,,0.07414528,1.689628,1.074248,,44.7499911776726,14.8062394914697,34.5319669919734
0.544, 2.22,2.22,,,0.07286556,1.681839,1.081634,,,0.07468762,1.690966,1.075585,,44.7499911776726,14.818822407118,34.4471633655984
0.555, 2.23,2.23,,,0.07303033,1.682219,1.082071,,,0.07485446,1.691386,1.076006,,44.7499911776726,14.8359303229655,34.4001101937155
0.567, 2.21,2.21,,,0.07277155,1.682498,1.082234,,,0.07458918,1.691589,1.076208,,44.7499911776726,14.8249234734243,34.454270177232
0.577, 2.3,2.3,,,0.0731016,1.684363,1.084697,,,0.07499954,1.693796,1.078416,,44.7499911776726,14.7587645554173,34.5837910508587
0.589, 2.23,2.23,,,0.07315528,1.685904,1.08578,,,0.07499588,1.69505,1.07967,,44.7499911776726,14.6922197317329,34.660002299497
0.6, 2.28,2.28,,,0.07350743,1.687379,1.087625,,,0.07538163,1.696735,1.081355,,44.7499911776726,14.590361123475,34.7338503027481
0.611, 2.35,2.35,,,0.07330146,1.68964,1.090354,,,0.07521848,1.699256,1.083876,,44.7499911776726,14.4495431172755,34.8495844399188
0.622, 2.27,2.27,,,0.07344618,1.689971,1.090101,,,0.0752897,1.699246,1.083866,,44.7499911776726,14.4778474204084,34.7905306259982
0.633, 2.17,2.17,,,0.07356562,1.690183,1.089671,,,0.07532954,1.699086,1.083705,,44.7499911776726,14.5309026208573,34.7040057920003
0.644, 2.17,2.17,,,0.07299978,1.690691,1.090181,,,0.07476299,1.699598,1.084218,,44.7499911776726,14.5448481592072,34.6797859418774
