経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.89,-0.89,,,0.3875464,1.521477,1.02322,,,0.3867402,1.517211,1.024209,,44.8235181620417,28.4715898289379,16.4611737907435
0.011, 0.09,0.09,,,0.3886409,1.515355,1.02426,,,0.388718,1.51578,1.024163,,44.8235181620417,28.9671115016967,15.984716882975
0.021, 0.97,0.97,,,0.3883737,1.510019,1.024142,,,0.3892036,1.514687,1.023103,,44.8235181620417,29.2338645323085,15.714108210684
0.033, 1.53,1.53,,,0.3873326,1.506789,1.023382,,,0.3886335,1.514148,1.021771,,44.8235181620417,29.4129315967957,15.5190704568144
0.045, 2.02,2.02,,,0.3857497,1.504374,1.022625,,,0.3874702,1.514096,1.020533,,44.8235181620417,29.5335527341816,15.3785973751584
0.055, 2.11,2.11,,,0.3858174,1.502709,1.021063,,,0.3875918,1.512871,1.018923,,44.8235181620417,29.7911703870327,15.1108881180894
0.067, 2.17,2.17,,,0.3867208,1.502287,1.021906,,,0.3885103,1.512768,1.019696,,44.8235181620417,29.9363562990849,14.9871063107531
0.077, 2.25,2.25,,,0.388834,1.501329,1.023289,,,0.390631,1.51218,1.020984,,44.8235181620417,30.0863779849349,14.876889258731
0.089, 2.61,2.61,,,0.3890765,1.499843,1.024572,,,0.3911369,1.512463,1.021891,,44.8235181620417,30.1793266116685,14.8000906138405
0.1, 2.98,2.98,,,0.3889436,1.498142,1.025181,,,0.3912746,1.512547,1.022147,,44.8235181620417,30.3029462020165,14.6744475800071
0.111, 3.29,3.29,,,0.3870578,1.497848,1.025546,,,0.3896767,1.51372,1.022209,,44.8235181620417,30.1864914799084,14.7676096501463
0.124, 3.88,3.88,,,0.3860066,1.49475,1.025179,,,0.3891167,1.513491,1.021324,,44.8235181620417,30.3112243910602,14.6116576527145
0.134, 4.11,4.11,,,0.3856163,1.493824,1.025505,,,0.388939,1.513716,1.021465,,44.8235181620417,30.3628264688037,14.5412162062171
0.145, 4.03,4.03,,,0.3831593,1.494592,1.02348,,,0.3865309,1.514088,1.019583,,44.8235181620417,30.2499097845872,14.6153664453306
0.155, 3.9,3.9,,,0.3834306,1.495702,1.024232,,,0.3867137,1.514553,1.020424,,44.8235181620417,30.1235683639307,14.7447626680084
0.166, 3.54,3.54,,,0.384886,1.496997,1.024369,,,0.3878293,1.51409,1.020885,,44.8235181620417,30.1324749303605,14.7508125078974
0.177, 3.52,3.52,,,0.3853365,1.496978,1.024646,,,0.388248,1.513993,1.021166,,44.8235181620417,30.1515311576146,14.7393804790922
0.188, 3.52,3.52,,,0.3853637,1.497002,1.024713,,,0.3882743,1.514019,1.02123,,44.8235181620417,30.1473271762974,14.7447490076305
0.199, 3.7,3.7,,,0.3852716,1.496415,1.025305,,,0.3883321,1.514276,1.02165,,44.8235181620417,30.1376692890798,14.7526908098669
0.211, 3.84,3.84,,,0.3861293,1.495527,1.026152,,,0.3893036,1.514102,1.022375,,44.8235181620417,30.2027336693027,14.6839893540121
0.222, 4.1,4.1,,,0.3860353,1.493982,1.026053,,,0.389426,1.513796,1.022066,,44.8235181620417,30.2699017477315,14.6073648789406
0.233, 4.1,4.1,,,0.3856912,1.49384,1.025528,,,0.3891004,1.513673,1.021565,,44.8235181620417,30.2908226165771,14.5781402078427
0.244, 4.27,4.27,,,0.3855905,1.493159,1.025926,,,0.3891488,1.513813,1.021813,,44.8235181620417,30.3007946924878,14.5643756695008
0.255, 4.27,4.27,,,0.3855342,1.493096,1.025759,,,0.389094,1.513742,1.021657,,44.8235181620417,30.3129216930217,14.5501364330249
0.266, 4.34,4.34,,,0.3848552,1.493129,1.025776,,,0.3884792,1.514136,1.0216,,44.8235181620417,30.3048893907813,14.5582370371551
0.277, 4.27,4.27,,,0.3849685,1.493136,1.025261,,,0.3885247,1.513787,1.02115,,44.8235181620417,30.3073209380582,14.5578016126076
0.288, 4.16,4.16,,,0.3853157,1.493723,1.02546,,,0.3887603,1.51383,1.021448,,44.8235181620417,30.3242939576733,14.5458948856683
0.3, 4.21,4.21,,,0.3850868,1.493692,1.025668,,,0.3885573,1.514074,1.021589,,44.8235181620417,30.3451362793456,14.5311758284165
0.31, 4.27,4.27,,,0.3847142,1.493616,1.025684,,,0.3882177,1.514284,1.021547,,44.8235181620417,30.3724809409268,14.5071864971717
0.322, 4.42,4.42,,,0.3846116,1.492832,1.025693,,,0.388202,1.514202,1.021415,,44.8235181620417,30.4318250378791,14.4543601080536
0.333, 4.53,4.53,,,0.3839272,1.492679,1.025762,,,0.3875786,1.514611,1.02137,,44.8235181620417,30.4865963233093,14.4070832474817
0.344, 4.67,4.67,,,0.3838135,1.491845,1.025663,,,0.3875428,1.514471,1.021136,,44.8235181620417,30.5599081567255,14.3408713955101
0.355, 4.85,4.85,,,0.3830185,1.491394,1.025665,,,0.3868553,1.514868,1.02101,,44.8235181620417,30.678449501567,14.2208257015458
0.366, 4.87,4.87,,,0.382733,1.49163,1.025941,,,0.3866064,1.51521,1.021245,,44.8235181620417,30.6151712157623,14.2840800816891
0.377, 4.94,4.94,,,0.3820868,1.491654,1.025963,,,0.3860222,1.515588,1.021195,,44.8235181620417,30.6074906682543,14.2911100536967
0.389, 5.13,5.13,,,0.3818158,1.491331,1.026774,,,0.3858712,1.516162,1.021857,,44.8235181620417,30.6940872192365,14.2044682527124
0.4, 5.03,5.03,,,0.3819029,1.492025,1.027001,,,0.3858702,1.516378,1.02216,,44.8235181620417,30.6826056715613,14.221632517619
0.411, 5.1,5.1,,,0.3814152,1.492109,1.027253,,,0.3854322,1.516805,1.022327,,44.8235181620417,30.6679719916717,14.2408859665799
0.422, 4.95,4.95,,,0.380674,1.494848,1.029159,,,0.3846146,1.518772,1.024291,,44.8235181620417,30.4420190949317,14.475948627872
0.433, 4.85,4.85,,,0.3805588,1.495482,1.029128,,,0.3844366,1.518946,1.024359,,44.8235181620417,30.4278806037432,14.4859992509559
0.444, 4.81,4.81,,,0.3797055,1.496887,1.029933,,,0.3835655,1.52015,1.02519,,44.8235181620417,30.3788432619617,14.5347275266861
