経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.23,-0.23,,,-0.1788236,1.789512,1.338763,,,-0.1786743,1.788404,1.339059,,45.8734855478893,30.5938268751999,16.4134905339273
0.011, 0.61,0.61,,,-0.1756696,1.788597,1.341484,,,-0.1760848,1.791499,1.340689,,45.8734855478893,30.0081006041302,16.9592977655037
0.022, 1.13,1.13,,,-0.1740205,1.787418,1.342751,,,-0.1748278,1.792825,1.34124,,45.8734855478893,29.5768732077869,17.361153641686
0.033, 1.28,1.28,,,-0.1742367,1.786436,1.342852,,,-0.1751614,1.792508,1.34114,,45.8734855478893,29.3760963876269,17.5447508290142
0.045, 1.02,1.02,,,-0.1764827,1.784949,1.340858,,,-0.1772097,1.789801,1.339499,,45.8734855478893,29.5345294512057,17.4031183227788
0.055, 0.69,0.69,,,-0.1782817,1.784758,1.339583,,,-0.1787652,1.788049,1.338666,,45.8734855478893,29.705232949287,17.2617641467443
0.066, 0.27,0.27,,,-0.1796609,1.785645,1.338562,,,-0.179844,1.786924,1.33821,,45.8734855478893,29.9592135265063,17.031293079994
0.077, 0.22,0.22,,,-0.1799388,1.785579,1.338359,,,-0.1800897,1.786639,1.338068,,45.8734855478893,30.0018031698907,16.9938124179666
0.088, 0.19,0.19,,,-0.1804645,1.784983,1.337798,,,-0.1805938,1.785888,1.337548,,45.8734855478893,29.9762172819718,17.0176224567507
0.099, 0.23,0.23,,,-0.1809351,1.78398,1.337211,,,-0.1810913,1.785057,1.336912,,45.8734855478893,29.8155370862186,17.1691075105896
0.111, 0.16,0.16,,,-0.1806079,1.783864,1.336153,,,-0.1807204,1.784617,1.335941,,45.8734855478893,29.4927696757823,17.4762508637343
0.122, 0.15,0.15,,,-0.1793483,1.784962,1.336345,,,-0.1794603,1.785685,1.336138,,45.8734855478893,29.1411583772837,17.7987194534027
0.133, 0.36,0.36,,,-0.1779616,1.784918,1.33669,,,-0.1782354,1.786625,1.336194,,45.8734855478893,28.7596820774703,18.1526752142687
0.145, 0.38,0.38,,,-0.1771863,1.785409,1.336734,,,-0.1774791,1.78719,1.336209,,45.8734855478893,28.4719484138594,18.4294788679645
0.156, 0.05,0.05,,,-0.1777107,1.786411,1.335822,,,-0.1777511,1.786654,1.335749,,45.8734855478893,28.2860187169945,18.6221004424824
0.168, 0.16,-0.16,,,-0.178419,1.786616,1.334994,,,-0.1782941,1.785866,1.335219,,45.8734855478893,28.2267446294793,18.7031457573712
0.177, 0.69,-0.69,,,-0.1808223,1.786413,1.332536,,,-0.1802873,1.78315,1.333508,,45.8734855478893,28.394837287823,18.5642624022002
0.188, 0.97,-0.97,,,-0.1822488,1.786042,1.331017,,,-0.1815028,1.781431,1.33238,,45.8734855478893,28.5572352761047,18.4023237441275
0.201, 1.3,-1.3,,,-0.184614,1.784824,1.328943,,,-0.1836354,1.778663,1.33074,,45.8734855478893,28.7988190603254,18.1538039029977
0.212, 1.6,-1.6,,,-0.1863539,1.783726,1.326616,,,-0.1851569,1.776131,1.32881,,45.8734855478893,28.9380592928705,17.9935625468864
0.222, 1.41,-1.41,,,-0.1864385,1.783283,1.327677,,,-0.1853715,1.776571,1.329623,,45.8734855478893,28.8436524207897,18.0819930036098
0.234, 1.34,-1.34,,,-0.1862955,1.782853,1.32759,,,-0.1852735,1.776509,1.329441,,45.8734855478893,28.7070281506239,18.2056552826389
0.244, 0.93,-0.93,,,-0.1859716,1.780573,1.32761,,,-0.1852391,1.776145,1.32891,,45.8734855478893,28.4612523379168,18.4077315462523
0.255, 0.72,-0.72,,,-0.1855153,1.779368,1.327344,,,-0.1849353,1.775957,1.32835,,45.8734855478893,28.2343039411329,18.5752111951351
0.267, 0.48,-0.48,,,-0.1853058,1.777267,1.326331,,,-0.1849125,1.774984,1.327001,,45.8734855478893,28.1709641836274,18.5885864127051
0.278, 0.54,-0.54,,,-0.1864996,1.775485,1.324576,,,-0.1860566,1.772914,1.325323,,45.8734855478893,28.2693462256945,18.446398953615
0.289, 0.58,-0.58,,,-0.187242,1.774518,1.323705,,,-0.1867759,1.771778,1.324494,,45.8734855478893,28.4333561385754,18.2804048708354
0.3, 0.95,-0.95,,,-0.1894752,1.773388,1.321217,,,-0.1887215,1.768887,1.322498,,45.8734855478893,28.6543161671712,18.0542556061622
0.311, 1.14,-1.14,,,-0.1912439,1.771875,1.319281,,,-0.1903452,1.766459,1.320811,,45.8734855478893,28.7819553237339,17.9226293267824
0.322, 1.19,-1.19,,,-0.191155,1.771108,1.317747,,,-0.1902181,1.765469,1.319335,,45.8734855478893,28.7979038150021,17.8917175990064
0.333, 1.05,-1.05,,,-0.1911201,1.769791,1.31706,,,-0.19028,1.764788,1.318468,,45.8734855478893,28.7279524345639,17.9331683083785
0.344, 1.19,-1.19,,,-0.1912098,1.769839,1.316038,,,-0.1902534,1.764193,1.317631,,45.8734855478893,28.6450271101584,18.0029011227692
0.355, 1.21,-1.21,,,-0.19132,1.768661,1.314389,,,-0.1903421,1.762938,1.316008,,45.8734855478893,28.5634575782654,18.0717033239115
0.366, 1.33,-1.33,,,-0.1916142,1.767403,1.311928,,,-0.1905329,1.761111,1.313708,,45.8734855478893,28.5183493026946,18.1042713725151
0.377, 1.57,-1.57,,,-0.1925858,1.766576,1.309688,,,-0.1913022,1.759136,1.311785,,45.8734855478893,28.5228982085553,18.0762044184493
0.389, 1.76,-1.76,,,-0.1933315,1.765161,1.306813,,,-0.1918887,1.756784,1.309166,,45.8734855478893,28.5704704748006,18.0191159914076
0.4, 2.21,-2.21,,,-0.1947617,1.763491,1.302161,,,-0.1929595,1.753003,1.305081,,45.8734855478893,28.6632432241679,17.9013430428264
0.411, 2.61,-2.61,,,-0.196487,1.761963,1.298361,,,-0.1943699,1.749556,1.301792,,45.8734855478893,28.7699171156567,17.7888412925905
0.422, 2.83,-2.83,,,-0.1972023,1.760272,1.294893,,,-0.1949096,1.746802,1.298578,,45.8734855478893,28.8819356300223,17.6464250221697
0.433, 2.95,-2.95,,,-0.197131,1.759486,1.292696,,,-0.1947355,1.745426,1.296528,,45.8734855478893,28.9060735178775,17.6078549449999
0.444, 2.9,-2.9,,,-0.1969352,1.759732,1.293263,,,-0.1945754,1.745925,1.297047,,45.8734855478893,28.8360435902661,17.6891956655621
0.455, 2.86,-2.86,,,-0.1968719,1.759225,1.292884,,,-0.1945456,1.745633,1.29662,,45.8734855478893,28.8021351170751,17.7286024408819
0.466, 2.97,-2.97,,,-0.1967232,1.759333,1.291924,,,-0.1943021,1.74522,1.295813,,45.8734855478893,28.7642958701262,17.7695374709859
0.477, 2.83,-2.83,,,-0.1963328,1.75757,1.290311,,,-0.194012,1.74412,1.294024,,45.8734855478893,28.705293282623,17.8214417845918
0.489, 2.91,-2.91,,,-0.1958651,1.756456,1.287572,,,-0.1934579,1.742608,1.291408,,45.8734855478893,28.6251239394709,17.8950302406617
0.5, 2.83,-2.83,,,-0.1956534,1.755268,1.28646,,,-0.1933081,1.741823,1.290188,,45.8734855478893,28.5878328151876,17.9284315723209
0.511, 2.81,-2.81,,,-0.1953398,1.753981,1.284544,,,-0.1929985,1.740625,1.288245,,45.8734855478893,28.5578004742428,17.9446993749239
0.522, 2.73,-2.73,,,-0.1950475,1.752613,1.28306,,,-0.1927614,1.739628,1.286649,,45.8734855478893,28.5489058606437,17.9350312424228
0.533, 2.77,-2.77,,,-0.1942686,1.751828,1.280885,,,-0.1919451,1.738659,1.284512,,45.8734855478893,28.5648355688921,17.9023761089096
0.544, 2.67,-2.67,,,-0.1936381,1.750365,1.27915,,,-0.1913986,1.737677,1.282627,,45.8734855478893,28.6078606368241,17.8427639270399
0.555, 2.74,-2.74,,,-0.1930579,1.749489,1.276741,,,-0.1907568,1.736438,1.280295,,45.8734855478893,28.6695884697303,17.7641877254674
0.566, 2.64,-2.64,,,-0.1923317,1.748782,1.275943,,,-0.1901144,1.73622,1.279356,,45.8734855478893,28.682306281611,17.7416976207037
0.577, 2.58,-2.58,,,-0.1913175,1.748819,1.275483,,,-0.1891386,1.736544,1.278821,,45.8734855478893,28.6316228642853,17.783407877257
0.589, 2.28,-2.28,,,-0.1893659,1.747687,1.274578,,,-0.1874229,1.736857,1.277532,,45.8734855478893,28.5276178691404,17.8729226264809
0.601, 1.98,-1.98,,,-0.1870079,1.746643,1.273318,,,-0.1852901,1.737224,1.275901,,45.8734855478893,28.3585928900009,18.0222168972045
0.611, 1.66,-1.66,,,-0.1849482,1.745558,1.272521,,,-0.1834905,1.737661,1.274696,,45.8734855478893,28.2308376202256,18.1359292984371
0.622, 1.55,-1.55,,,-0.1842127,1.744981,1.272002,,,-0.1828545,1.737636,1.274027,,45.8734855478893,28.2100601853486,18.1553833841993
0.633, 1.6,-1.6,,,-0.1837726,1.745596,1.271987,,,-0.1823755,1.738022,1.274074,,45.8734855478893,28.2310476485367,18.1391992514113
0.644, 1.63,-1.63,,,-0.1839741,1.745514,1.271779,,,-0.1825502,1.737772,1.273908,,45.8734855478893,28.2733828673816,18.0971269948421
0.655, 1.64,-1.64,,,-0.18355,1.744798,1.270302,,,-0.1821214,1.737009,1.272439,,45.8734855478893,28.3157539447187,18.0532532759294
0.666, 1.57,-1.57,,,-0.182425,1.744009,1.268683,,,-0.1810564,1.736533,1.270725,,45.8734855478893,28.3685052017581,17.9919369619092
0.677, 1.61,-1.61,,,-0.1813996,1.743886,1.267165,,,-0.1800014,1.736226,1.269251,,45.8734855478893,28.4161867510271,17.9418511861192
0.689, 1.6,-1.6,,,-0.1813807,1.743961,1.267329,,,-0.1799906,1.736347,1.269405,,45.8734855478893,28.3998421087981,17.9622597907913
0.7, 1.47,-1.47,,,-0.1799152,1.743425,1.266308,,,-0.1786394,1.736462,1.26821,,45.8734855478893,28.3575495786343,18.0025698586037
0.711, 1.3,-1.3,,,-0.1782575,1.742882,1.2653,,,-0.1771158,1.736688,1.266996,,45.8734855478893,28.2924681229389,18.0602268988779
0.722, 1,-1,,,-0.1757259,1.741684,1.263723,,,-0.1748315,1.736922,1.26503,,45.8734855478893,28.1320508894614,18.1882553762125
0.733, 0.61,-0.61,,,-0.1736883,1.739747,1.262482,,,-0.1731377,1.736874,1.263271,,45.8734855478893,27.9750197221707,18.3041141643321
0.744, 0.62,-0.62,,,-0.1739516,1.73902,1.261673,,,-0.1733895,1.736104,1.262472,,45.8734855478893,27.9407680319835,18.3241112501181
0.755, 0.85,-0.85,,,-0.1743977,1.739503,1.260725,,,-0.1736231,1.735461,1.26183,,45.8734855478893,28.0109413935635,18.2578430490874
0.766, 0.93,-0.93,,,-0.1749151,1.739438,1.26051,,,-0.1740781,1.73504,1.26171,,45.8734855478893,28.0842037081096,18.1934411971955
0.778, 1.25,-1.25,,,-0.1756543,1.739288,1.258244,,,-0.1745351,1.733346,1.259859,,45.8734855478893,28.1955426186717,18.0917618813983
0.788, 1.39,-1.39,,,-0.1761508,1.739254,1.257484,,,-0.1749138,1.732643,1.259278,,45.8734855478893,28.2589387252363,18.03866911491
0.8, 1.46,-1.46,,,-0.1761777,1.739356,1.25709,,,-0.1748836,1.73244,1.258971,,45.8734855478893,28.2370326016304,18.0672551633383
0.811, 1.58,-1.58,,,-0.1761069,1.739487,1.256162,,,-0.1747052,1.732008,1.258204,,45.8734855478893,28.1945232129664,18.1157973164188
0.822, 1.88,-1.88,,,-0.175744,1.740347,1.254313,,,-0.1740612,1.731425,1.256765,,45.8734855478893,28.0842037081096,18.2320556705936
0.833, 1.87,-1.87,,,-0.1753304,1.73973,1.253139,,,-0.1736471,1.730859,1.255579,,45.8734855478893,28.0313978095584,18.2742628233952
0.844, 1.98,-1.98,,,-0.1749638,1.739581,1.251654,,,-0.1731765,1.730211,1.254225,,45.8734855478893,28.0155432333887,18.2726952950243
0.855, 2.18,-2.18,,,-0.1741969,1.739426,1.248901,,,-0.1722192,1.729084,1.251732,,45.8734855478893,28.0166411862672,18.2594771718009
0.866, 2.29,-2.29,,,-0.1744912,1.739425,1.248245,,,-0.1724214,1.728559,1.251219,,45.8734855478893,28.0493560839339,18.2338895763348
0.877, 2.54,-2.54,,,-0.1755166,1.73874,1.246191,,,-0.1732339,1.726689,1.249482,,45.8734855478893,28.1095966431898,18.1796544607395
0.889, 2.86,-2.86,,,-0.176282,1.737831,1.242985,,,-0.1737367,1.724255,1.246666,,45.8734855478893,28.2506861494013,18.0405422942377
0.9, 3.05,-3.05,,,-0.1773836,1.736282,1.240361,,,-0.1746859,1.721794,1.24426,,45.8734855478893,28.3709128433735,17.913649335821
0.911, 2.91,-2.91,,,-0.1771599,1.734965,1.239578,,,-0.1745806,1.721157,1.243287,,45.8734855478893,28.361569144849,17.9122610999109
0.922, 2.87,-2.87,,,-0.177236,1.734407,1.239164,,,-0.1746672,1.720764,1.242837,,45.8734855478893,28.2801737827749,17.9841181030744
0.933, 2.69,-2.69,,,-0.1771237,1.732594,1.238094,,,-0.1746889,1.719801,1.241546,,45.8734855478893,28.1796436462736,18.0691044370046
0.944, 2.46,-2.46,,,-0.1765261,1.730836,1.237121,,,-0.1742857,1.719167,1.240279,,45.8734855478893,28.0861759251776,18.1529928180563
0.955, 2.34,-2.34,,,-0.1766133,1.729632,1.236624,,,-0.1744708,1.718552,1.239626,,45.8734855478893,28.0228942242784,18.2052181505442
0.967, 2.39,-2.39,,,-0.1772464,1.728989,1.235938,,,-0.1750576,1.717665,1.239004,,45.8734855478893,28.0309606774637,18.1959564142874
0.977, 2.4,-2.4,,,-0.1774205,1.728247,1.235018,,,-0.1752263,1.71687,1.238088,,45.8734855478893,28.0749453869473,18.1490910726015
0.988, 2.54,-2.54,,,-0.1783438,1.726087,1.23181,,,-0.1760303,1.714043,1.235037,,45.8734855478893,28.1707558628635,18.0432453415265
1, 2.86,-2.86,,,-0.1792293,1.723585,1.226535,,,-0.1766487,1.709983,1.230121,,45.8734855478893,28.4074816751722,17.7911891700524
1.011, 3.13,-3.13,,,-0.1800301,1.722555,1.223644,,,-0.1772348,1.707653,1.22753,,45.8734855478893,28.5876398623489,17.606545256263
1.022, 3.31,-3.31,,,-0.1803007,1.722541,1.222348,,,-0.177355,1.706777,1.226457,,45.8734855478893,28.6221289016032,17.5771327549681
1.033, 3.11,-3.11,,,-0.1793636,1.724264,1.225445,,,-0.1765642,1.709477,1.229347,,45.8734855478893,28.413753496203,17.79122161345
1.044, 3.15,-3.15,,,-0.178738,1.723359,1.223187,,,-0.1758779,1.708385,1.227171,,45.8734855478893,28.2764325467612,17.9313053743342
1.055, 3.01,-3.01,,,-0.1766098,1.722206,1.220619,,,-0.1738224,1.707923,1.224486,,45.8734855478893,27.9550499571406,18.2545286998849
