経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.74,-0.74,,,0.3313914,1.767489,1.549431,,,0.3304019,1.763979,1.548936,,43.2892869624214,27.1083524104306,17.6132166433492
0.011, 0.22,-0.22,,,0.3327482,1.763684,1.549095,,,0.3324546,1.762628,1.548944,,43.5709810314268,27.3487255436546,17.4890847888276
0.023, 0.2,0.2,,,0.3335416,1.760766,1.548808,,,0.3338064,1.761727,1.548948,,43.7578720773906,27.478509379557,17.4338985694169
0.033, 0.5,0.5,,,0.3333259,1.758984,1.548968,,,0.3339818,1.761359,1.549317,,43.8343189675486,27.4934555405924,17.4847664018451
0.044, 0.83,0.83,,,0.3328546,1.757359,1.548831,,,0.3339522,1.761313,1.549413,,43.8439392887269,27.4428353025148,17.5616572542868
0.054, 0.59,0.59,,,0.3319587,1.759066,1.549393,,,0.332741,1.761858,1.5498,,43.7315758498178,27.3490226568752,17.6462218240475
0.066, 0.62,0.62,,,0.3313438,1.758761,1.550132,,,0.3321763,1.761712,1.550562,,43.7623731719284,27.3573691478087,17.7314181862889
0.077, 0.69,0.69,,,0.3314707,1.757775,1.550786,,,0.3324075,1.761076,1.551267,,43.8946671022809,27.4419081043607,17.8122329822996
0.088, 0.87,0.87,,,0.331221,1.756641,1.551117,,,0.3323959,1.76077,1.551723,,43.9582595767787,27.457836105062,17.8655665129495
0.101, 1.05,1.05,,,0.3312095,1.755962,1.550474,,,0.3326318,1.760962,1.551215,,43.9180639146317,27.3330792882488,17.9021541277678
0.111, 1.31,1.31,,,0.3312654,1.754601,1.550067,,,0.3330366,1.760835,1.551007,,43.9440596138894,27.2448349541751,17.9478480920436
0.122, 1.41,1.41,,,0.33189,1.753923,1.549515,,,0.3337991,1.760647,1.550538,,43.9824657665237,27.2034030278228,17.9734083667538
0.132, 1.37,1.37,,,0.3317011,1.754639,1.549049,,,0.3335546,1.761154,1.550038,,43.8774755166184,27.0928495889934,17.9919694053068
0.143, 1.23,1.23,,,0.3314715,1.755396,1.549384,,,0.3331462,1.761267,1.550271,,43.8542392137086,27.0972670137162,18.0054095096721
0.154, 0.83,0.83,,,0.3306626,1.757455,1.550782,,,0.3318064,1.761406,1.551365,,43.8263652124815,27.1517599689454,18.1171035900612
0.166, 0.39,0.39,,,0.329166,1.760243,1.552136,,,0.3297057,1.762077,1.552397,,43.6883407535747,27.1784933286129,18.2180247548816
0.177, 0.01,-0.01,,,0.3290506,1.762542,1.552463,,,0.3290313,1.762478,1.552454,,43.6053539574684,27.1535853369503,18.2776386442986
0.188, 0.25,-0.25,,,0.3286801,1.764566,1.551939,,,0.3283321,1.763397,1.551775,,43.413565666006,26.9532012526567,18.3196904103008
0.199, 0.11,-0.11,,,0.3288114,1.764438,1.550811,,,0.3286512,1.763899,1.550735,,43.3078036047461,26.7793063487745,18.3182014291032
0.211, 0.03,0.03,,,0.3285237,1.764202,1.550164,,,0.3285618,1.764331,1.550182,,43.2170099026357,26.6429587012623,18.2982948433212
0.221, 0.02,-0.02,,,0.3284832,1.764784,1.549758,,,0.3284565,1.764693,1.549745,,43.1407030313517,26.5183709316264,18.3189288442296
0.233, 0.15,-0.15,,,0.3288822,1.766056,1.548708,,,0.3286661,1.765326,1.548602,,43.0069747613134,26.2991713842403,18.361170147976
0.244, 0.19,-0.19,,,0.3287514,1.766733,1.54812,,,0.3284885,1.765847,1.547992,,42.8969370017519,26.1750002561321,18.3767873750787
0.255, 0.35,-0.35,,,0.3285382,1.768089,1.547767,,,0.328047,1.766436,1.547529,,42.7723475245688,26.0686883646592,18.3886018944667
0.266, 0.47,-0.47,,,0.3283696,1.768809,1.547991,,,0.3277014,1.766564,1.547668,,42.745528787539,26.0665812513589,18.399239913803
0.277, 0.52,-0.52,,,0.3283653,1.769432,1.547465,,,0.3276338,1.766974,1.547112,,42.6583824063439,25.9805703890817,18.3942402154697
0.288, 0.55,-0.55,,,0.3277555,1.770041,1.547461,,,0.326973,1.767411,1.547083,,42.5657650437758,25.9109519803564,18.3896195926248
0.299, 0.58,-0.58,,,0.3278445,1.770598,1.546772,,,0.3270255,1.767843,1.546376,,42.4736497000978,25.8054955700533,18.3774481958625
0.311, 0.59,-0.59,,,0.3279949,1.771107,1.545925,,,0.3271658,1.768313,1.545522,,42.3731981107697,25.673942715205,18.3649643179544
0.322, 0.41,-0.41,,,0.3274393,1.771029,1.54488,,,0.3268674,1.769099,1.5446,,42.2049603109102,25.4594679510458,18.3726380352734
0.333, 0.33,-0.33,,,0.3268147,1.7716,1.543876,,,0.326351,1.770036,1.543647,,42.0039751699863,25.2128520250941,18.3918701398937
0.344, 0.33,-0.33,,,0.3267224,1.772226,1.543001,,,0.3262565,1.770654,1.542771,,41.8705030320347,25.0304740264989,18.4155708956541
0.356, 0.28,-0.28,,,0.3260252,1.772859,1.54222,,,0.325628,1.77152,1.542023,,41.6838032313624,24.8284541119445,18.4283331037631
0.366, 0.11,-0.11,,,0.3247203,1.774068,1.539916,,,0.3245647,1.773543,1.539838,,41.2441029855894,24.3281717974667,18.4523770765197
0.377, 0.11,-0.11,,,0.3241082,1.775274,1.538559,,,0.3239537,1.774752,1.538482,,40.9793648607268,24.0527785777953,18.4447375101457
0.388, 0.08,-0.08,,,0.3227432,1.776584,1.537506,,,0.322625,1.776186,1.537447,,40.664260922326,23.7811966035747,18.4350198587745
0.399, 0.1,-0.1,,,0.3203913,1.779328,1.535455,,,0.3202458,1.778839,1.535383,,40.0756010850894,23.2485084574815,18.457306765416
0.41, 0.03,0.03,,,0.318791,1.781274,1.532383,,,0.3188325,1.781414,1.532404,,39.496220059582,22.557725342164,18.5319146271912
0.422, 0.03,0.03,,,0.3161724,1.784116,1.530019,,,0.3162167,1.784263,1.530041,,38.8477072763142,21.9077013795843,18.6126218477255
0.433, 0.06,0.06,,,0.3138251,1.786779,1.527267,,,0.3139154,1.787078,1.527311,,38.1975245118407,21.2148009056831,18.6798411525716
0.444, 0.15,0.15,,,0.3116765,1.788768,1.524815,,,0.3118951,1.789493,1.524922,,37.6324254114904,20.6693471363864,18.6899037284863
0.455, 0.2,0.2,,,0.3098114,1.790592,1.522767,,,0.3100972,1.79154,1.522907,,37.1474273524025,20.1983390118766,18.67826167137
0.466, 0.07,0.07,,,0.3079826,1.793075,1.521312,,,0.3080854,1.793416,1.521363,,36.6983185213096,19.856067996808,18.6282066314305
0.477, 0.07,0.07,,,0.306305,1.794902,1.519511,,,0.3064029,1.795228,1.519559,,36.2600184642775,19.5500567474868,18.5431502880632
0.488, 0.14,0.14,,,0.3041049,1.796661,1.517486,,,0.3042998,1.797312,1.517579,,35.7501277814522,19.1588166925265,18.4650300016051
0.5, 0.2,0.2,,,0.3018709,1.798375,1.51554,,,0.3021577,1.799337,1.515678,,35.2484162499303,18.7225093431293,18.411667442652
0.511, 0.39,0.39,,,0.299324,1.800212,1.512083,,,0.299881,1.802084,1.512352,,34.5572079553488,18.0269963219432,18.3969996118176
0.522, 0.42,0.42,,,0.295897,1.802845,1.509676,,,0.2964922,1.804842,1.509962,,33.8517416412716,17.4116458137203,18.408272838729
0.533, 0.53,0.53,,,0.2924767,1.804879,1.50739,,,0.2932262,1.807389,1.507748,,33.1887181215159,16.8576338176317,18.4158850843471
0.544, 0.65,0.65,,,0.2892214,1.806809,1.50492,,,0.2901365,1.809873,1.505355,,32.530175205731,16.2872020472353,18.4140033672832
0.556, 0.83,0.83,,,0.2862948,1.808536,1.501513,,,0.2874751,1.812498,1.502079,,31.8201565706987,15.5958895922719,18.3927153757799
0.566, 1.18,1.18,,,0.2830759,1.809487,1.49804,,,0.2847292,1.815071,1.498841,,31.1102369734067,14.9295773365223,18.3230679387514
0.578, 1.39,1.39,,,0.280045,1.810961,1.494613,,,0.2819891,1.817585,1.495566,,30.4019566214698,14.2940700868459,18.2107915847518
0.589, 1.76,1.76,,,0.2763309,1.811848,1.491065,,,0.278769,1.820227,1.492275,,29.6416029087498,13.6166143777755,18.1106336935499
0.6, 1.85,1.85,,,0.2730554,1.814048,1.487558,,,0.275593,1.822831,1.488831,,28.8741082334513,12.926591120982,18.0272165955378
0.61, 2.08,2.08,,,0.2689562,1.815774,1.48372,,,0.2718022,1.82567,1.485152,,28.0152888088492,12.198295754013,17.9602107340973
0.622, 2.15,2.15,,,0.2646485,1.818246,1.480178,,,0.2675898,1.828495,1.481653,,27.1364825437445,11.5156192192411,17.9112160809969
0.633, 2.21,2.21,,,0.2601918,1.820787,1.476591,,,0.263205,1.831294,1.478095,,26.2389069193229,10.8321999014176,17.8841463345222
0.644, 2.24,2.24,,,0.2557477,1.823318,1.47296,,,0.2588101,1.834005,1.474482,,25.3413483703738,10.1685804476734,17.8582052767763
0.655, 2.22,2.22,,,0.2520541,1.825786,1.469409,,,0.2550837,1.836384,1.470909,,24.5277362590827,9.58049520008469,17.8063931707217
0.666, 2.36,2.36,,,0.2472814,1.827592,1.466016,,,0.2504879,1.838856,1.467595,,23.6552018150089,9.07820224872589,17.717047468675
0.678, 2.39,2.39,,,0.2433777,1.829874,1.461945,,,0.2465965,1.841249,1.463526,,22.7789124745433,8.49567250609879,17.6093234356306
0.688, 2.35,2.35,,,0.240242,1.832043,1.458168,,,0.2433948,1.843275,1.459725,,22.0112350916896,7.94119434961233,17.4966065344418
0.7, 2.47,2.47,,,0.2364582,1.833599,1.454191,,,0.2397369,1.845372,1.455825,,21.1885115082993,7.3757059284902,17.3980588602919
0.711, 2.56,2.56,,,0.2327157,1.835145,1.450294,,,0.2360906,1.847362,1.45199,,20.3787123500062,6.86635653814148,17.2933964594577
0.722, 2.5,2.5,,,0.2293296,1.83744,1.445915,,,0.2326087,1.849374,1.447568,,19.5257737181158,6.34044180508234,17.2165346353191
0.733, 2.41,2.41,,,0.2251755,1.839807,1.442102,,,0.2283327,1.851346,1.443697,,18.654863151472,5.99845296219604,17.156724377969
0.744, 2.32,2.32,,,0.2209793,1.842214,1.437854,,,0.2240093,1.853332,1.439382,,17.7351286864522,5.72851066021745,17.0875550541691
0.755, 2.2,2.2,,,0.2165512,1.844747,1.433729,,,0.2194093,1.855247,1.435161,,16.8020668151853,5.64809158828076,17.0463041278247
0.766, 2.06,2.06,,,0.2124012,1.847143,1.429591,,,0.2150737,1.857004,1.430925,,15.8989484924065,5.64278026257523,16.9675144828466
0.777, 1.89,1.89,,,0.2089548,1.849485,1.425365,,,0.2114002,1.858556,1.426585,,15.0556370118834,5.64795285006711,16.8777845826698
0.789, 1.86,1.86,,,0.205173,1.851096,1.421265,,,0.2075562,1.860011,1.422453,,14.2207983807899,5.76078671824218,16.7451832938131
0.8, 1.78,1.78,,,0.2020603,1.852675,1.417733,,,0.2043161,1.861188,1.418859,,13.5075780946732,5.89092358953752,16.6090081085727
0.811, 1.71,1.71,,,0.1991064,1.854171,1.413518,,,0.2012593,1.86238,1.414596,,12.7438673440696,6.00044609671775,16.460403686936
0.822, 1.62,1.62,,,0.1962061,1.855638,1.409872,,,0.1982241,1.863413,1.410889,,12.0438199311745,6.1848808359696,16.3199750015083
0.833, 1.67,1.67,,,0.1926036,1.856528,1.405506,,,0.1946639,1.864545,1.406551,,11.2265272017968,6.49437505478381,16.1915708637798
0.844, 1.52,1.52,,,0.1893073,1.85819,1.401886,,,0.1911746,1.865505,1.402835,,10.4835699804087,6.89622836964527,16.0921335575153
0.856, 1.36,1.36,,,0.185197,1.859988,1.398013,,,0.1868583,1.866528,1.398849,,9.63063732493372,7.4781100980929,15.9908913738128
0.867, 0.99,0.99,,,0.1812691,1.862653,1.394611,,,0.1824827,1.86743,1.395208,,8.81015148220793,8.14866304742542,15.9219952575721
0.877, 0.7,0.7,,,0.1771856,1.864806,1.39201,,,0.1780422,1.868169,1.39242,,8.07693581785252,8.84968546979747,15.8739090196061
0.888, 0.42,0.42,,,0.1726905,1.866845,1.389208,,,0.1732112,1.868887,1.389451,,7.29382391545137,9.59394640350707,15.8234509985167
0.9, 0.29,0.29,,,0.1690992,1.868101,1.385522,,,0.1694582,1.869513,1.385688,,6.52993728748152,10.1724873157699,15.7533886275077
0.911, 0.33,0.33,,,0.1662245,1.868366,1.382104,,,0.1666302,1.869979,1.382291,,5.8933521486067,10.5044771888764,15.584961289904
0.922, 0.56,0.56,,,0.1628007,1.867698,1.378632,,,0.1634693,1.870412,1.378942,,5.23214289779874,10.7761599083844,15.306950400306
0.933, 0.78,0.78,,,0.1601137,1.866986,1.375216,,,0.1610211,1.870752,1.375641,,4.64232662419048,10.9377784013487,15.0085633494336
0.944, 1.01,1.01,,,0.157731,1.866162,1.371359,,,0.1588801,1.871057,1.371901,,4.03429679789357,11.0406666605954,14.6622164190913
0.955, 1.21,1.21,,,0.1544428,1.865488,1.368139,,,0.1557834,1.871329,1.368774,,3.40392563688666,11.3031175259234,14.3597619906813
0.966, 1.36,1.36,,,0.1515219,1.864932,1.364927,,,0.1530081,1.871542,1.365632,,2.802676694143,11.5567224427488,14.0832281294503
0.978, 1.49,1.49,,,0.1484169,1.864495,1.361351,,,0.1500133,1.871727,1.362103,,2.13917975691357,11.8855593298674,13.823225033098
0.988, 1.57,1.57,,,0.1450671,1.864213,1.358696,,,0.1467273,1.871847,1.359464,,1.54952356585953,12.2285799581765,13.5807080743079
1.001, 1.64,1.64,,,0.1422853,1.863945,1.355974,,,0.1439941,1.87192,1.35675,,1.00716536627458,12.5125373810551,13.3486208140902
1.011, 1.72,1.72,,,0.1391149,1.863563,1.35309,,,0.1408823,1.871957,1.353885,,0.452839661740583,12.8409747021184,13.1034674023539
