経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.65,-0.65,,,0.2987013,1.629621,1.084607,,,0.2976258,1.626859,1.08588,,44.8234942563803,14.1886213605053,30.9245719463648
0.011, 0.18,-0.18,,,0.2952462,1.628449,1.083968,,,0.2949368,1.627663,1.084328,,44.8234942563803,14.1060725502673,30.9424807018702
0.022, 0.2,0.2,,,0.2932272,1.627454,1.084306,,,0.2935763,1.628328,1.083907,,44.8234942563803,14.0092708431754,30.9926040436996
0.033, 0.49,0.49,,,0.2915534,1.626918,1.084632,,,0.2923906,1.629008,1.083683,,44.8234942563803,13.9735489548103,31.0111172709297
0.044, 0.61,0.61,,,0.2909473,1.627151,1.085516,,,0.29199,1.62975,1.084332,,44.8234942563803,13.9336529672048,31.0543557822672
0.055, 0.51,0.51,,,0.2914141,1.627946,1.086112,,,0.292278,1.630106,1.085124,,44.8234942563803,13.9253534338206,31.0841524816922
0.066, 0.56,0.56,,,0.2911451,1.627977,1.086425,,,0.2921013,1.630374,1.085326,,44.8234942563803,13.9379636702248,31.0866147648195
0.077, 1.07,1.07,,,0.2897695,1.626101,1.087353,,,0.2915885,1.630682,1.085248,,44.8234942563803,13.9696309876567,31.0741633303091
0.089, 1.61,1.61,,,0.2887317,1.624507,1.089275,,,0.2914309,1.631394,1.086098,,44.8234942563803,14.1005785170066,30.995841553276
0.1, 1.93,1.93,,,0.2884727,1.623435,1.090607,,,0.2916679,1.631706,1.086776,,44.8234942563803,14.2572861040944,30.9013117377936
0.111, 2.22,2.22,,,0.2885906,1.621671,1.09104,,,0.2922257,1.631201,1.086619,,44.8234942563803,14.4138622100442,30.7947334689505
0.123, 2.43,2.43,,,0.2889048,1.620482,1.091708,,,0.292854,1.630931,1.086865,,44.8234942563803,14.5527199520065,30.6839170678454
0.134, 2.57,2.57,,,0.2878129,1.62004,1.091298,,,0.2919744,1.631081,1.086199,,44.8234942563803,14.6288270402628,30.6014937623299
0.144, 2.58,2.58,,,0.2872095,1.620109,1.090905,,,0.2914101,1.631197,1.085798,,44.8234942563803,14.5835941137431,30.6172749139681
0.156, 2.52,2.52,,,0.2870664,1.620575,1.09085,,,0.2911974,1.631394,1.085864,,44.8234942563803,14.4693745709788,30.7072114273615
0.166, 2.65,2.65,,,0.2860835,1.620785,1.091409,,,0.2904377,1.632148,1.086171,,44.8234942563803,14.4180593611724,30.7475675989495
0.177, 2.89,2.89,,,0.2850578,1.619863,1.091424,,,0.2898259,1.632253,1.085707,,44.8234942563803,14.3505753865033,30.8043332995618
0.188, 3.01,3.01,,,0.2843504,1.620114,1.092247,,,0.2893237,1.633015,1.086283,,44.8234942563803,14.3063063704034,30.8510825280351
0.2, 3.09,3.09,,,0.2845838,1.619551,1.092486,,,0.2896858,1.632805,1.086349,,44.8234942563803,14.3101756724606,30.8587733208265
0.21, 3.39,3.39,,,0.2847376,1.618085,1.093418,,,0.2902932,1.632613,1.086683,,44.8234942563803,14.3860804163683,30.8106204885179
0.222, 3.77,3.77,,,0.2857043,1.615421,1.094305,,,0.2918085,1.631622,1.086798,,44.8234942563803,14.5964468218562,30.6506403871351
