経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.93,-0.93,,,-0.1892067,1.788678,1.342225,,,-0.1887075,1.784209,1.343372,,45.8734855478893,31.9060291216491,15.4062596405272
0.011, 0.96,-0.96,,,-0.1889882,1.788794,1.341936,,,-0.1884718,1.784197,1.34312,,45.8734855478893,31.8502708739113,15.4645775015852
0.022, 0.84,-0.84,,,-0.1891358,1.788306,1.34234,,,-0.1886744,1.784246,1.343391,,45.8734855478893,31.7555668886099,15.5516367978708
0.033, 0.6,-0.6,,,-0.1881099,1.787807,1.342705,,,-0.1877811,1.784944,1.343449,,45.8734855478893,31.6684307526982,15.6320639806569
0.044, 0.34,-0.34,,,-0.1879069,1.786665,1.343116,,,-0.1877185,1.785055,1.343536,,45.8734855478893,31.5344361052896,15.7389410702678
0.055, 0.15,-0.15,,,-0.1873539,1.786008,1.343177,,,-0.1872659,1.785265,1.343371,,45.8734855478893,31.4704372345476,15.7744939114557
0.067, 0.09,0.09,,,-0.1869806,1.784683,1.343059,,,-0.1870332,1.785123,1.342944,,45.8734855478893,31.4422251389659,15.7763534304055
0.077, 0.01,0.01,,,-0.1869235,1.784519,1.342112,,,-0.1869302,1.784577,1.342097,,45.8734855478893,31.4679920268927,15.7319145133547
0.088, 0.04,0.04,,,-0.1868176,1.783764,1.341219,,,-0.186841,1.783961,1.341168,,45.8734855478893,31.4792481783317,15.7019607195832
0.1, 0.29,0.29,,,-0.1864519,1.781605,1.34,,,-0.1866205,1.783002,1.33964,,45.8734855478893,31.4865940465796,15.6472901794404
0.111, 0.35,0.35,,,-0.1860907,1.780776,1.339017,,,-0.1862962,1.782465,1.338584,,45.8734855478893,31.4776669895828,15.620362159387
0.122, 0.38,0.38,,,-0.1856156,1.779342,1.336854,,,-0.1858422,1.781184,1.336383,,45.8734855478893,31.4478361392129,15.6107196400946
0.134, 0.45,0.45,,,-0.1853196,1.778705,1.336268,,,-0.1855887,1.780878,1.335712,,45.8734855478893,31.4097510054607,15.6345228486897
0.144, 0.7,0.7,,,-0.1847233,1.776977,1.33544,,,-0.1851485,1.780363,1.33457,,45.8734855478893,31.293702679597,15.7370405701842
0.156, 0.69,0.69,,,-0.184524,1.776054,1.333868,,,-0.1849476,1.779364,1.333008,,45.8734855478893,31.1065964826803,15.9204516348627
0.166, 1.09,1.09,,,-0.1831618,1.774709,1.334061,,,-0.1838497,1.779932,1.332683,,45.8734855478893,30.8156543377961,16.2033000058057
0.177, 1.41,1.41,,,-0.1821104,1.773906,1.334615,,,-0.1830177,1.780639,1.332816,,45.8734855478893,30.577629082034,16.4386939312633
0.188, 1.59,1.59,,,-0.1819663,1.772884,1.334615,,,-0.1830043,1.780472,1.332574,,45.8734855478893,30.4363568682673,16.5684931350909
0.199, 1.53,1.53,,,-0.1826137,1.772287,1.334024,,,-0.1836188,1.779634,1.332047,,45.8734855478893,30.4281845471528,16.579520475199
