経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.61,-0.61,,,-0.1887507,1.643209,1.354384,,,-0.1875098,1.640468,1.353926,,45.0005395849294,22.3075525953011,25.8526033834479
0.01, 0.12,-0.12,,,-0.1877584,1.641032,1.353683,,,-0.1875032,1.640475,1.35359,,45.0005395849294,22.0970393407502,26.0677543363162
0.021, 0.29,0.29,,,-0.186714,1.639376,1.353663,,,-0.1873095,1.640668,1.353879,,45.0005395849294,21.9496199569015,26.207814191539
0.033, 0.38,0.38,,,-0.186686,1.638769,1.353796,,,-0.1874821,1.640496,1.354084,,45.0005395849294,21.9374280695723,26.2056182857819
0.044, 0.13,0.13,,,-0.1872563,1.63989,1.354015,,,-0.187518,1.64046,1.35411,,45.0005395849294,22.0069986669748,26.1194042253826
0.055, 0.18,-0.18,,,-0.188181,1.640956,1.35404,,,-0.1878177,1.64016,1.353908,,45.0005395849294,22.135337917908,25.9954021444517
0.066, 0.21,-0.21,,,-0.1884363,1.640914,1.354069,,,-0.1880068,1.639971,1.353912,,45.0005395849294,22.1688485325908,25.9603171712089
0.077, 0.07,-0.07,,,-0.1888326,1.639627,1.354099,,,-0.188682,1.639296,1.354043,,45.0005395849294,22.2222298745636,25.9064662537438
0.088, 0.02,-0.02,,,-0.1891688,1.638963,1.353393,,,-0.1891206,1.638857,1.353375,,45.0005395849294,22.2728057164128,25.8666189312348
0.101, 0.07,0.07,,,-0.1891974,1.63835,1.353301,,,-0.1893316,1.638646,1.35335,,45.0005395849294,22.2818335186971,25.86713631805
0.11, 0.27,0.27,,,-0.1884861,1.637756,1.353311,,,-0.1890277,1.63895,1.35351,,45.0005395849294,22.269697980427,25.8796099506747
0.122, 0.57,0.57,,,-0.1870548,1.63718,1.352708,,,-0.1882238,1.639754,1.353138,,45.0005395849294,22.2452732246347,25.9061845084484
