1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointPlane2, 0.07,0.07,,,-0.1319785,1.798385,1.256873,,,-0.1318485,1.798723,1.25681,,29.7499911776726,28.1499647676085,23.0205201644254, 1.918
PointBall3, 1.8,1.8,,,0.05472939,1.862658,1.231042,,,0.05845463,1.870828,1.231064,,3.17952297960164,25.4861705748629,24.5143149377371, 1.49
PointBall2, 2.12,2.12,,,-0.1468576,1.665057,0.9690416,,,-0.1447501,1.675389,0.9678592,,57.5971190262883,60.2297812176633,13.0432123289465, 1.645
PointBall1, 0.95,-0.95,,,0.2189,1.786043,1.045957,,,0.2163423,1.782016,1.045813,,37.9143961031495,32.5111667897998,32.4776612977587, 1.389
PointPyramid, 1.85,-1.85,,,0.03655888,1.835982,1.255296,,,0.03283687,1.82753,1.25496,,48.5275603817165,72.3084923154682,23.8787402399445, 1.344
PointPlane1, 1.6,-1.6,,,0.04809311,1.638477,1.010914,,,0.04537084,1.63097,1.010664,,44.750001422956,50.0313357686752,20.0345203442871, 1.501
PointPlane3, 2.42,2.42,,,0.1302763,1.597932,0.944519,,,0.1344479,1.609267,0.9444979,,59.7499809323891,61.9176711787654,20.2057565971088, 1.355
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall2, 4.62,-4.62,,,-0.1617497,1.658045,0.9578103,,,-0.16756,1.635695,0.9573591,,63.8022637523009,74.2363336456248,14.6358706726484, 1.611
PointBall1, 3.6,3.6,,,0.2324749,1.760883,1.055825,,,0.2419918,1.776102,1.05709,,39.2191978398389,32.3812497652123,32.2779841380245, 1.222
PointPlane1, 2.85,2.85,,,0.05566087,1.623506,1.016622,,,0.06110749,1.636675,1.016369,,44.750001422956,48.2518837092024,22.4805493293324, 1.611
PointPyramid, 3.05,3.05,,,0.05013561,1.839566,1.263754,,,0.05667329,1.853329,1.264625,,48.277076861255,56.3225511211186,25.6347545059326, 1.644
PointPlane2, 1.3,1.3,,,-0.1298607,1.794342,1.259716,,,-0.1276636,1.800467,1.25983,,29.7499911776726,36.2702910685034,19.7708204081493, 1.755
PointBall3, 2.75,2.75,,,0.04886216,1.858641,1.24865,,,0.05353078,1.871419,1.250593,,1.48186937007444,23.1611315574083,21.6882644831311, 1.567
PointPlane3, 0.2,-0.2,,,0.1476793,1.627625,0.9544621,,,0.147346,1.626715,0.9545713,,59.7499809323891,55.6963252444923,20.9995936037557, 2.922
3順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane1, 0.83,0.83,,,0.05622784,1.638806,1.022513,,,0.05748153,1.642759,1.022453,,44.750001422956,46.8262183634184,17.6057563694358, 1.611
