経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.1,0.1,,,-0.1100569,1.76959,1.116969,,,-0.1099712,1.770061,1.117013,,45.7999961295596,52.0771891040272,11.6737765139398
0.01, 1.78,1.78,,,-0.1076333,1.764763,1.119537,,,-0.1061115,1.773477,1.120306,,45.7999961295596,51.7751069209167,11.1869377189218
0.021, 3.3,3.3,,,-0.1055884,1.760162,1.121753,,,-0.1028691,1.77637,1.123095,,45.7999961295596,51.4232121695754,10.7111800517501
0.032, 3.92,3.92,,,-0.1046389,1.758669,1.123087,,,-0.1014607,1.77794,1.124608,,45.7999961295596,51.1860611780027,10.4725093431293
0.044, 4.39,4.39,,,-0.103875,1.757191,1.123742,,,-0.1003586,1.778772,1.125411,,45.7999961295596,51.0810777582864,10.3334432804032
0.054, 4.65,4.65,,,-0.1062039,1.757696,1.125445,,,-0.1023362,1.780572,1.127146,,45.7999961295596,50.9617099605784,10.5680133143151
0.066, 4.98,4.98,,,-0.1044012,1.754351,1.123617,,,-0.1003805,1.778874,1.125508,,45.7999961295596,51.0763546826068,10.3785814380508
0.076, 4.04,4.04,,,-0.1090358,1.757613,1.122482,,,-0.1055155,1.777433,1.12412,,45.7999961295596,51.4871256629552,11.1918298417787
0.088, 3.65,3.65,,,-0.110005,1.757225,1.120308,,,-0.1067767,1.775123,1.121893,,45.7999961295596,51.8328664140256,11.4729109013231
0.099, 4.09,4.09,,,-0.1089323,1.755487,1.120478,,,-0.1053683,1.775529,1.122285,,45.7999961295596,51.9026811906841,11.3898225061557
0.111, 3.97,3.97,,,-0.1081195,1.757129,1.121682,,,-0.1046929,1.776634,1.123349,,45.7999961295596,51.6288964805175,11.166447151982
0.12, 4.21,4.21,,,-0.1076223,1.756028,1.121629,,,-0.1040584,1.776679,1.123393,,45.7999961295596,51.6029041963543,11.0131520980633
0.132, 4.4,4.4,,,-0.1074335,1.756035,1.122543,,,-0.1037094,1.777665,1.124343,,45.7999961295596,51.4765457002253,10.937149170189
0.143, 5.28,5.28,,,-0.1063857,1.754256,1.12474,,,-0.1020212,1.780221,1.126807,,45.7999961295596,51.2449886334272,10.6450860205384
0.155, 5.6,5.6,,,-0.1062579,1.753389,1.125332,,,-0.1016819,1.780923,1.127484,,45.7999961295596,51.1516097047879,10.5157478544669
0.165, 5.35,5.35,,,-0.107137,1.754359,1.125151,,,-0.1027116,1.78064,1.127212,,45.7999961295596,51.1815088570476,10.6305641849934
0.176, 4.44,4.44,,,-0.111961,1.759885,1.126538,,,-0.1079801,1.781661,1.128195,,45.7999961295596,51.1663048563782,11.2996153465239
0.187, 3.72,3.72,,,-0.1129034,1.758836,1.12225,,,-0.1095967,1.777066,1.123766,,45.7999961295596,51.5443489862292,11.3908256901621
0.198, 3.5,3.5,,,-0.1134,1.757201,1.119567,,,-0.110298,1.774363,1.12116,,45.7999961295596,52.0747438963724,11.6021824730521
0.209, 4.16,4.16,,,-0.1117687,1.755958,1.121216,,,-0.1081665,1.776338,1.123064,,45.7999961295596,51.9258867577434,11.3526517639532
0.221, 5.39,5.39,,,-0.1095727,1.752195,1.123042,,,-0.1051298,1.778683,1.125324,,45.7999961295596,51.6066505550098,10.7951760082782
0.231, 6.05,6.05,,,-0.1089009,1.751164,1.125003,,,-0.1040195,1.780893,1.127455,,45.7999961295596,51.3778358090871,10.5270629162858
0.243, 6.62,6.62,,,-0.1074951,1.750199,1.126779,,,-0.1022659,1.782774,1.129269,,45.7999961295596,51.0131651892588,10.1912080099903
