経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.64,-0.64,,,-0.1451035,1.617819,1.114023,,,-0.1451426,1.614602,1.113937,,44.8234942563803,46.558143691239,1.88875514683199
0.011, 0.65,-0.65,,,-0.1448546,1.618453,1.114609,,,-0.1448927,1.615195,1.114527,,44.8234942563803,46.4881957258954,1.81229331563555
0.021, 1.26,-1.26,,,-0.145657,1.619751,1.113119,,,-0.1457426,1.613478,1.112948,,44.8234942563803,46.6542786011318,1.96821585787743
0.033, 1.59,-1.59,,,-0.146406,1.620486,1.112625,,,-0.1465286,1.612534,1.112399,,44.8234942563803,46.7720891157524,2.06904630925047
0.044, 2.45,-2.45,,,-0.1481504,1.622839,1.111896,,,-0.1484098,1.610588,1.111528,,44.8234942563803,47.0707903553178,2.30893428561346
0.055, 3.09,-3.09,,,-0.1492815,1.624298,1.110812,,,-0.1496504,1.608866,1.110334,,44.8234942563803,47.2226869280428,2.44328410284899
0.066, 3.06,-3.06,,,-0.1487012,1.624794,1.111109,,,-0.1490451,1.609514,1.110645,,44.8234942563803,47.1403899810235,2.36852042738769
0.077, 2.86,-2.86,,,-0.1481507,1.62474,1.111766,,,-0.1484536,1.610434,1.111354,,44.8234942563803,47.0217222776859,2.25046744105832
0.088, 2.81,-2.81,,,-0.1474429,1.625963,1.113061,,,-0.1477165,1.611908,1.112701,,44.8234942563803,46.8244664199451,2.04554896505561
0.1, 2.88,-2.88,,,-0.14702,1.627188,1.11384,,,-0.1472844,1.612778,1.1135,,44.8234942563803,46.6969741124454,1.91315471630241
0.11, 2.96,-2.96,,,-0.147242,1.627204,1.113557,,,-0.1475211,1.612397,1.113198,,44.8234942563803,46.7427397937055,1.95914643412909
0.122, 3.03,-3.03,,,-0.1474717,1.627236,1.113362,,,-0.1477662,1.612075,1.112987,,44.8234942563803,46.7860534371219,2.00095615530939
0.132, 3.27,-3.27,,,-0.147198,1.628539,1.113301,,,-0.1475294,1.612176,1.112894,,44.8234942563803,46.8249103822288,2.03374682538508
0.144, 3.4,-3.4,,,-0.1475772,1.629238,1.113825,,,-0.1479381,1.612244,1.113399,,44.8234942563803,46.8749039504675,2.07820153724787
0.154, 3.5,-3.5,,,-0.1471071,1.629852,1.113595,,,-0.1474859,1.612384,1.113144,,44.8234942563803,46.9222713110434,2.12679278231163
0.167, 3.59,-3.59,,,-0.1464937,1.631047,1.114041,,,-0.146884,1.61311,1.113569,,44.8234942563803,46.9464945762608,2.15358697334974
0.177, 3.72,-3.72,,,-0.1465012,1.631653,1.113995,,,-0.1469068,1.613047,1.113502,,44.8234942563803,46.9541478030128,2.161841256732
