経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.58,-0.58,,,0.08510403,1.532022,0.9168139,,,0.08413175,1.52932,0.9169662,,44.7500116682395,45.4211426223145,19.9753623699845
0.011, 0,0,,,0.08545801,1.529463,0.9170868,,,0.08545035,1.529441,0.917088,,44.7500116682395,45.4254353960884,19.8104303815913
0.022, 0.25,0.25,,,0.08488357,1.527664,0.9165303,,,0.08529368,1.528821,0.9164679,,44.7500116682395,45.4534391709061,19.6791165833573
0.033, 0.4,0.4,,,0.08519755,1.526833,0.916473,,,0.0858652,1.528724,0.9163711,,44.7500116682395,45.4275732452391,19.6161832220961
0.044, 0.32,0.32,,,0.08463111,1.526871,0.9161003,,,0.08516055,1.528372,0.9160182,,44.7500116682395,45.3874971113992,19.6132735615907
0.056, 0.36,0.36,,,0.08469373,1.526899,0.9163442,,,0.08529496,1.528603,0.9162501,,44.7500116682395,45.3582673176596,19.614362976733
0.066, 0.35,0.35,,,0.08461067,1.526959,0.9163647,,,0.08519936,1.528626,0.9162728,,44.7500116682395,45.3645510915211,19.6312540340804
0.077, 0.32,0.32,,,0.08452521,1.526969,0.916203,,,0.08505696,1.528474,0.9161206,,44.7500116682395,45.3936750173316,19.6417725251095
0.088, 0.33,0.33,,,0.08429973,1.526353,0.9156587,,,0.08485737,1.527928,0.915575,,44.7500116682395,45.4816068702594,19.6635830260697
0.1, 0.47,0.47,,,0.0840858,1.525729,0.9157183,,,0.08487558,1.527956,0.9156032,,44.7500116682395,45.5666461381542,19.6819152532919
0.11, 0.58,0.58,,,0.08405093,1.525738,0.9162755,,,0.08502644,1.528487,0.9161339,,44.7500116682395,45.5817511010834,19.689436998906
0.122, 0.62,0.62,,,0.08408597,1.52578,0.9165089,,,0.0851256,1.52871,0.9163564,,44.7500116682395,45.5544713262975,19.6939876123139
0.133, 0.93,0.93,,,0.08415446,1.525228,0.9174881,,,0.08570972,1.52961,0.9172568,,44.7500116682395,45.5177044190184,19.7029436976139
0.144, 1.27,1.27,,,0.08433111,1.524641,0.918595,,,0.08645386,1.530626,0.9182728,,44.7500116682395,45.4609523787841,19.6996925276594
0.155, 1.43,1.43,,,0.08395949,1.524498,0.9192493,,,0.08634627,1.53124,0.9188867,,44.7500116682395,45.4514174349681,19.6664551205358
0.166, 1.68,1.68,,,0.08361919,1.523649,0.919631,,,0.08641386,1.531564,0.9192103,,44.7500116682395,45.4665053224248,19.6139258446382
0.177, 1.93,1.93,,,0.08271206,1.522766,0.9199947,,,0.08591655,1.53187,0.9195169,,44.7500116682395,45.4813336627002,19.5534547665043
0.189, 1.93,1.93,,,0.0817157,1.52256,0.9197778,,,0.08490974,1.531658,0.9193047,,44.7500116682395,45.4903563423427,19.5051328870184
0.2, 2.07,2.07,,,0.08176035,1.521941,0.919849,,,0.08518285,1.531693,0.91934,,44.7500116682395,45.4777034172574,19.4995389622439
