経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.79,-0.79,,,0.08591609,1.77907,1.631953,,,0.08519356,1.775578,1.630296,,40.8694602898505,19.8086767305707,27.5891601485794
0.01, 0.47,-0.47,,,0.08646533,1.777815,1.631148,,,0.08603865,1.775738,1.630158,,40.8342438354699,19.5692444558787,27.6632437933504
0.022, 0.05,-0.05,,,0.08691359,1.776031,1.630237,,,0.08686681,1.775802,1.630127,,40.8200370423916,19.3453132950767,27.752080646318
0.032, 0.23,0.23,,,0.08659091,1.774886,1.629506,,,0.08679907,1.775909,1.629999,,40.7965309470171,19.2272124974245,27.8265399514829
0.044, 0.6,0.6,,,0.08639053,1.773664,1.628231,,,0.08692893,1.776326,1.629517,,40.7046683203313,19.0367458475297,27.8870417654672
0.062, 0.88,0.88,,,0.08688375,1.772336,1.627793,,,0.08766419,1.776222,1.629676,,40.7274879817133,18.9019964642388,27.9067041719933
0.069, 0.98,0.98,,,0.08725155,1.77145,1.628134,,,0.08811487,1.775773,1.630224,,40.8264813256941,18.9500297682403,27.8370874708152
0.078, 1.06,1.06,,,0.08733927,1.770717,1.628408,,,0.08827335,1.7754,1.630668,,40.9087236312017,19.0228259223886,27.8016831862376
0.089, 1.16,1.16,,,0.08747494,1.770028,1.628456,,,0.08850011,1.775176,1.63094,,40.9579863692195,19.0341486681701,27.793635516072
0.1, 1.28,1.28,,,0.08752283,1.769449,1.628272,,,0.08865185,1.77512,1.631011,,40.9702397282495,19.0031293649176,27.8207735644366
0.111, 1.54,1.54,,,0.08775622,1.768284,1.627706,,,0.08911455,1.775127,1.631024,,40.9686551244062,18.876731595202,27.8836232558828
0.122, 1.96,1.96,,,0.08815713,1.766568,1.62668,,,0.08987086,1.775248,1.630915,,40.9421061798412,18.640219226299,27.9928806663532
0.132, 2.35,2.35,,,0.08856963,1.765421,1.625174,,,0.09061106,1.775822,1.630276,,40.8160038157989,18.3427320528247,28.0820778117896
0.143, 2.52,2.52,,,0.08898385,1.76475,1.624723,,,0.09115916,1.775899,1.630206,,40.7990239659948,18.1974436879378,28.1171269265402
0.155, 2.51,2.51,,,0.08901909,1.764667,1.624946,,,0.09117953,1.775745,1.630387,,40.8329631750361,18.2451832938131,28.0872346044694
0.165, 2.47,2.47,,,0.08892387,1.764598,1.625324,,,0.0910531,1.775501,1.630667,,40.8866791962689,18.349014119139,28.0454406781012
