経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.52,-0.52,,,0.3556872,1.537855,1.017997,,,0.3548042,1.535415,1.018017,,44.8235181620417,32.9866435654497,19.8959853287541
0.011, 0.13,-0.13,,,0.3573304,1.534278,1.017807,,,0.3571065,1.533644,1.017815,,44.8235181620417,32.9660642060531,19.4541950451532
0.022, 0.39,0.39,,,0.360441,1.528942,1.017753,,,0.3610683,1.530783,1.01773,,44.8235181620417,33.2348697084534,18.8204525455545
0.033, 1.2,1.2,,,0.3647532,1.522446,1.019685,,,0.3666323,1.52817,1.019599,,44.8235181620417,33.4021581120447,18.1827519514419
0.044, 1.86,1.86,,,0.3700098,1.516299,1.021681,,,0.3728056,1.525176,1.021539,,44.8235181620417,33.6777733128579,17.4918919964984
0.055, 2.26,2.26,,,0.3715289,1.512804,1.021541,,,0.3748709,1.523606,1.021383,,44.8235181620417,33.8806299255623,17.1997853043931
0.066, 2.68,2.68,,,0.3730594,1.509219,1.021478,,,0.3769844,1.522043,1.021287,,44.8235181620417,33.9510696645125,17.0262541080741
0.077, 3.09,3.09,,,0.373175,1.506273,1.020805,,,0.3777183,1.521047,1.020612,,44.8235181620417,34.0018350441059,17.0985465357851
0.089, 3.48,3.48,,,0.3732401,1.503983,1.020804,,,0.3783756,1.520586,1.020618,,44.8235181620417,34.0447183856165,17.1900813133998
0.1, 3.68,3.68,,,0.3734791,1.501809,1.019661,,,0.3789718,1.51939,1.019521,,44.8235181620417,34.1264996533679,17.3508946978381
0.111, 3.86,3.86,,,0.373272,1.500483,1.019033,,,0.3791027,1.518892,1.018949,,44.8235181620417,34.183179976618,17.5736493585883
0.121, 4,4,,,0.3734026,1.499101,1.018319,,,0.379492,1.518135,1.018267,,44.8235181620417,34.1946171280649,17.7414619791839
0.133, 4.05,4.05,,,0.3739205,1.498222,1.018059,,,0.3801328,1.517508,1.018021,,44.8235181620417,34.1771147688038,17.8551316917354
0.144, 4.11,4.11,,,0.3745909,1.497687,1.018505,,,0.3809002,1.517266,1.018446,,44.8235181620417,34.1274388043527,17.8612788618173
0.155, 4.15,4.15,,,0.3746959,1.497759,1.019046,,,0.3810616,1.517517,1.018963,,44.8235181620417,34.0671726318881,17.8585075126387
0.166, 4.24,4.24,,,0.3755797,1.496809,1.01935,,,0.3821054,1.516983,1.019251,,44.8235181620417,34.0050213272651,17.9246817985709
0.178, 4.33,4.33,,,0.3757329,1.496078,1.01922,,,0.3823947,1.516693,1.01913,,44.8235181620417,34.0378916117311,17.9081732318064
0.188, 4.44,4.44,,,0.3764104,1.494725,1.018844,,,0.3832333,1.515849,1.018775,,44.8235181620417,34.0956203689896,17.8998540616288
0.199, 4.62,4.62,,,0.3763685,1.493431,1.018451,,,0.3834735,1.515417,1.018405,,44.8235181620417,34.1476664090168,17.909662213004
0.21, 4.82,4.82,,,0.3766027,1.492054,1.018365,,,0.3840032,1.514988,1.018328,,44.8235181620417,34.1824218256412,17.8846688439791
0.222, 4.94,4.94,,,0.3759345,1.49186,1.018489,,,0.3835753,1.515374,1.018446,,44.8235181620417,34.1192118417263,18.0019619717845
0.233, 5.06,5.06,,,0.3756778,1.491419,1.018571,,,0.3835168,1.515472,1.018525,,44.8235181620417,34.0921403877043,18.0517318513341
0.244, 5.06,5.06,,,0.3756908,1.491423,1.018617,,,0.3835373,1.51549,1.018571,,44.8235181620417,34.0903303876246,18.0577492478254
0.255, 5.16,5.16,,,0.3756042,1.490842,1.018529,,,0.383612,1.515379,1.01849,,44.8235181620417,34.0971298407541,18.0747290976296
0.266, 5.33,5.33,,,0.3748056,1.490295,1.018345,,,0.3830862,1.515628,1.018317,,44.8235181620417,34.1067467468379,18.1015905233405
0.277, 5.41,5.41,,,0.3746983,1.489667,1.018018,,,0.3831116,1.515393,1.018009,,44.8235181620417,34.140265899257,18.1110964388533
0.289, 5.56,5.56,,,0.3741821,1.488909,1.01764,,,0.3828167,1.515351,1.017655,,44.8235181620417,34.1952489205456,18.0870866170416
0.299, 5.62,5.62,,,0.373313,1.488998,1.017387,,,0.3820521,1.51572,1.017412,,44.8235181620417,34.2034895435499,18.1120407124798
0.311, 5.61,5.61,,,0.3724506,1.489815,1.01763,,,0.381193,1.516485,1.017635,,44.8235181620417,34.1504462959316,18.1501873179328
0.321, 5.72,5.72,,,0.3726952,1.489808,1.018795,,,0.3815949,1.517,1.018765,,44.8235181620417,34.0980245955105,18.1234180997731
0.333, 5.84,5.84,,,0.3726068,1.489697,1.019577,,,0.3816591,1.517469,1.019492,,44.8235181620417,34.0359552531553,18.0534513514098
0.344, 5.82,5.82,,,0.372406,1.490124,1.019798,,,0.3813908,1.517802,1.019695,,44.8235181620417,34.0351151399107,17.984317886102
0.355, 6.05,6.05,,,0.3720239,1.489329,1.020193,,,0.3813468,1.51812,1.020101,,44.8235181620417,34.0797026135718,17.9422729502887
0.366, 5.93,5.93,,,0.3716534,1.490061,1.019815,,,0.3808092,1.518252,1.01975,,44.8235181620417,34.0996535955822,17.9926780374135
0.377, 6.04,6.04,,,0.3710121,1.489968,1.019976,,,0.3803473,1.518715,1.019943,,44.8235181620417,34.1561392584464,17.9912624807474
0.388, 6.11,6.11,,,0.3704498,1.48991,1.019854,,,0.3798792,1.518966,1.01983,,44.8235181620417,34.1753696555194,17.9809318199152
0.399, 6.19,6.19,,,0.3705323,1.489875,1.020517,,,0.3800717,1.519295,1.020487,,44.8235181620417,34.1739592214951,17.9665013381479
0.41, 6.27,6.27,,,0.3699814,1.489871,1.020638,,,0.3796402,1.519678,1.020597,,44.8235181620417,34.1611594473466,17.9553493470909
0.422, 6.42,6.42,,,0.3694394,1.48987,1.021405,,,0.3793329,1.520425,1.021347,,44.8235181620417,34.1438141824321,17.9415950540325
0.433, 6.42,6.42,,,0.3693983,1.489894,1.021409,,,0.3792956,1.520454,1.02135,,44.8235181620417,34.1393062577053,17.946108101401
0.445, 6.57,6.57,,,0.3687749,1.489892,1.021977,,,0.3788957,1.52114,1.02192,,44.8235181620417,34.1435956163847,17.9472043467323
0.455, 6.71,6.71,,,0.3681805,1.489867,1.022523,,,0.3785199,1.521795,1.022471,,44.8235181620417,34.1535676922954,17.9445559409553
0.467, 6.71,6.71,,,0.3681836,1.489855,1.022483,,,0.3785186,1.52177,1.022434,,44.8235181620417,34.1595509378419,17.9445217900104
0.477, 6.85,6.85,,,0.3675442,1.489858,1.023033,,,0.3781028,1.522455,1.022988,,44.8235181620417,34.1651892588448,17.9482579033824
0.489, 7,7,,,0.3669195,1.489849,1.023574,,,0.3776992,1.523127,1.023534,,44.8235181620417,34.1731669195734,17.9496546770288
0.499, 7.21,7.21,,,0.3663352,1.489816,1.02472,,,0.3774446,1.524121,1.024686,,44.8235181620417,34.1850275427371,17.9446105824671
0.511, 7.36,7.36,,,0.3657913,1.489774,1.025316,,,0.3771178,1.524774,1.025282,,44.8235181620417,34.1917484486933,17.9333339404612
0.522, 7.59,7.59,,,0.3654658,1.489653,1.026717,,,0.3771168,1.525752,1.026664,,44.8235181620417,34.1888456183769,17.8881385799809
0.533, 7.8,7.8,,,0.3647162,1.490119,1.028453,,,0.3766537,1.527269,1.028346,,44.8235181620417,34.1546571074377,17.813964435206
0.544, 8.13,8.13,,,0.3641599,1.489899,1.030333,,,0.3765358,1.528634,1.030159,,44.8235181620417,34.1197070304274,17.7187533083728
0.555, 7.94,7.94,,,0.3594417,1.496673,1.034032,,,0.3719105,1.534384,1.033666,,44.8235181620417,33.6026924604959,18.2970449187378
0.566, 7.76,7.76,,,0.3565125,1.497471,1.030345,,,0.3687285,1.534294,1.030356,,44.8235181620417,34.0624871222479,18.3549136948704
0.577, 7.32,7.32,,,0.3529995,1.506657,1.036728,,,0.3649319,1.541259,1.03641,,44.8235181620417,33.3013889189291,19.027624130147
0.588, 6.93,6.93,,,0.3475232,1.510905,1.033821,,,0.3591124,1.543566,1.033853,,44.8235181620417,33.5780559688452,19.5385837375477
0.6, 6.73,6.73,,,0.3480299,1.515088,1.038675,,,0.3592187,1.546801,1.038534,,44.8235181620417,33.3562865628554,19.43340907254
0.611, 6.02,6.02,,,0.3425894,1.523173,1.038848,,,0.3528354,1.551463,1.038743,,44.8235181620417,33.1908149895327,19.9091471029184
0.622, 6.12,6.12,,,0.3417479,1.525306,1.04192,,,0.3520822,1.554094,1.041711,,44.8235181620417,33.0852749094146,19.7475772750506
0.633, 6.44,6.44,,,0.3430419,1.527641,1.049383,,,0.3536628,1.558057,1.048896,,44.8235181620417,32.8734263529181,19.257605130838
0.645, 6.61,6.61,,,0.3428639,1.529142,1.052687,,,0.3536058,1.560403,1.052157,,44.8235181620417,32.9532576017157,18.9739610428788
0.655, 6.9,6.9,,,0.3419012,1.53135,1.0573,,,0.3529137,1.564034,1.056601,,44.8235181620417,32.8907408819823,18.6411703301144
0.666, 7.76,7.76,,,0.3443493,1.527765,1.061567,,,0.3561159,1.564741,1.060802,,44.8235181620417,33.3717740163674,17.6725419572817
0.677, 7.75,7.75,,,0.3388925,1.53469,1.066089,,,0.3508122,1.571565,1.065148,,44.8235181620417,33.0169013026309,17.9475253656143
0.689, 8.44,8.44,,,0.33769,1.532329,1.066909,,,0.3502991,1.572612,1.066117,,44.8235181620417,33.5490447411529,17.3988238414577
0.699, 8.36,8.36,,,0.3325385,1.539803,1.07191,,,0.3451898,1.579614,1.070909,,44.8235181620417,33.1679953281507,17.6629438342177
0.711, 7.84,7.84,,,0.3239455,1.548263,1.070985,,,0.3363092,1.585462,1.0703,,44.8235181620417,33.1414224779243,18.3987635081217
0.721, 8.12,8.12,,,0.3205566,1.552153,1.075523,,,0.3333474,1.590652,1.074677,,44.8235181620417,32.972921715789,18.4009064799141
0.733, 7.74,7.74,,,0.3146749,1.560232,1.078094,,,0.3270745,1.596895,1.077233,,44.8235181620417,32.7603457441662,18.7123562672107
0.744, 7.4,7.4,,,0.307992,1.568944,1.081108,,,0.3201073,1.603903,1.080177,,44.8235181620417,32.4184845404364,19.1481803807375
0.756, 7.44,7.44,,,0.304739,1.575657,1.087913,,,0.3169034,1.610777,1.086695,,44.8235181620417,32.0334702027314,19.169386409973
0.766, 7.5,7.5,,,0.3031749,1.579414,1.092141,,,0.3152329,1.614904,1.09086,,44.8235181620417,32.1174781120902,18.8387694048515
0.778, 7.49,7.49,,,0.3013945,1.584388,1.097385,,,0.3132481,1.619866,1.095893,,44.8235181620417,31.9649770676405,18.5810851576578
0.789, 7.44,7.44,,,0.2978282,1.589512,1.100626,,,0.3094956,1.62478,1.099089,,44.8235181620417,31.969392784816,18.4218393015904
0.799, 7.76,7.76,,,0.2955078,1.592537,1.10525,,,0.3073991,1.629408,1.103537,,44.8235181620417,32.0355158443309,18.0134059534204
0.811, 7.8,7.8,,,0.2911057,1.597477,1.108237,,,0.3030401,1.634569,1.106477,,44.8235181620417,32.006856371371,17.9813979803131
0.822, 7.82,7.82,,,0.2867054,1.603052,1.111922,,,0.2986732,1.640246,1.11014,,44.8235181620417,31.9841118420678,17.9853014333152
0.833, 8.12,8.12,,,0.2835157,1.606783,1.11653,,,0.2958265,1.645445,1.114645,,44.8235181620417,32.027138617547,17.819421756201
0.844, 8.1,8.1,,,0.2784803,1.613134,1.12036,,,0.2908685,1.651624,1.118426,,44.8235181620417,31.8710039125599,18.006481849342
0.855, 8.01,8.01,,,0.274809,1.618848,1.124152,,,0.287062,1.656945,1.122145,,44.8235181620417,31.7610890964001,18.0127878213177
0.867, 8.19,8.19,,,0.2718369,1.623342,1.129106,,,0.284219,1.662326,1.126911,,44.8235181620417,31.690963546143,17.8363879456271
