経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.86,-0.86,,,0.2788386,1.620247,1.050436,,,0.277063,1.616352,1.050457,,44.8234942563803,31.4302040063612,24.512899381071
0.01, 0.02,0.02,,,0.2797979,1.61564,1.052346,,,0.279837,1.615726,1.052345,,44.8234942563803,31.4342713838987,24.2808112670797
0.022, 0.98,0.98,,,0.2805916,1.609785,1.053038,,,0.2825745,1.61427,1.053024,,44.8234942563803,31.7617516247312,23.8448283516591
0.032, 2.02,2.02,,,0.282266,1.603625,1.054786,,,0.2862633,1.612879,1.054746,,44.8234942563803,31.8557316100008,23.3591506887676
0.044, 2.63,2.63,,,0.2834173,1.599815,1.055765,,,0.2885444,1.611924,1.055676,,44.8234942563803,31.8479725153195,22.9472544347848
0.054, 3.52,3.52,,,0.2848493,1.595678,1.058944,,,0.2915834,1.611918,1.058707,,44.8234942563803,31.6430907515826,22.5254322086668
0.066, 4.18,4.18,,,0.2860999,1.592857,1.061968,,,0.2940092,1.612195,1.061525,,44.8234942563803,31.3331743417121,22.2617937442299
0.076, 4.78,4.78,,,0.2866165,1.590262,1.063993,,,0.2955899,1.612379,1.063365,,44.8234942563803,31.1220088041136,22.1155798887362
0.088, 5.23,5.23,,,0.2863698,1.588219,1.064705,,,0.2961648,1.612429,1.064012,,44.8234942563803,31.1332239744187,22.0597157730692
0.098, 5.72,5.72,,,0.2851503,1.5859,1.064361,,,0.2959092,1.612371,1.063673,,44.8234942563803,31.2285187710669,22.1437732012982
0.11, 6.13,6.13,,,0.2842948,1.582939,1.062637,,,0.2958337,1.611303,1.062087,,44.8234942563803,31.5458083699412,22.148846324163
0.12, 6.62,6.62,,,0.2825165,1.579923,1.060517,,,0.2950046,1.610556,1.060202,,44.8234942563803,31.976222973796,22.1800859010101
0.132, 6.95,6.95,,,0.2816069,1.577032,1.058152,,,0.2947264,1.60921,1.05802,,44.8234942563803,32.281020157026,22.1806374387702
0.143, 7.14,7.14,,,0.2821801,1.575769,1.058516,,,0.2956528,1.608822,1.058398,,44.8234942563803,32.3093244601589,22.1755540706219
0.155, 6.84,6.84,,,0.2819707,1.578793,1.060258,,,0.2949671,1.6104,1.059944,,44.8234942563803,31.9308739340636,22.3527274652144
0.165, 7.36,7.36,,,0.2824216,1.577445,1.063518,,,0.2965288,1.611455,1.062998,,44.8234942563803,31.6039605989165,22.5334901241159
0.177, 7.4,7.4,,,0.2836095,1.577225,1.064804,,,0.29781,1.611381,1.064174,,44.8234942563803,31.4317578743541,22.5852441735642
0.187, 7.24,7.24,,,0.2831486,1.577887,1.063896,,,0.2970831,1.611316,1.063356,,44.8234942563803,31.5248294444893,22.6343942134639
0.198, 7.02,7.02,,,0.2831102,1.578676,1.062978,,,0.2966543,1.611035,1.062528,,44.8234942563803,31.6080074858871,22.7159569151679
0.209, 6.98,6.98,,,0.2831617,1.578484,1.062423,,,0.2966372,1.610694,1.062029,,44.8234942563803,31.6928350179236,22.7051208203512
0.22, 6.95,6.95,,,0.2834027,1.578916,1.06298,,,0.2968,1.610982,1.0626,,44.8234942563803,31.7220101701514,22.6769770266594
0.232, 6.95,6.95,,,0.2833319,1.578959,1.062965,,,0.2967369,1.611019,1.062589,,44.8234942563803,31.7216993965528,22.6928281877346
0.243, 6.95,6.95,,,0.2832827,1.579008,1.06302,,,0.2966983,1.611081,1.062639,,44.8234942563803,31.7101358866098,22.7006436314749
0.254, 6.89,6.89,,,0.2839233,1.579003,1.063074,,,0.2972039,1.610761,1.062691,,44.8234942563803,31.7041628863468,22.6958385935275
0.265, 6.97,6.97,,,0.2840998,1.578957,1.063947,,,0.2975351,1.611124,1.063536,,44.8234942563803,31.6785257720106,22.6711047716839
0.276, 6.85,6.85,,,0.2852651,1.579412,1.064722,,,0.2984092,1.611012,1.064251,,44.8234942563803,31.6034517498375,22.5894857209208
0.288, 6.88,6.88,,,0.2862398,1.579354,1.065994,,,0.29943,1.611147,1.065463,,44.8234942563803,31.5330495769267,22.5394511715482
0.298, 6.88,6.88,,,0.2862329,1.579319,1.065855,,,0.299409,1.611073,1.065338,,44.8234942563803,31.5538884835045,22.54146436975
0.31, 6.86,6.86,,,0.2860871,1.579324,1.065529,,,0.2992374,1.610985,1.065042,,44.8234942563803,31.5906895417285,22.5603788705827
0.32, 6.76,6.76,,,0.286689,1.579193,1.06505,,,0.2996447,1.610393,1.064612,,44.8234942563803,31.6578986012911,22.5541019269101
0.332, 6.78,6.78,,,0.2864179,1.579147,1.064848,,,0.2994362,1.610446,1.064478,,44.8234942563803,31.7549385112237,22.5856625226392
0.343, 6.77,6.77,,,0.2863088,1.579152,1.064603,,,0.2993056,1.61038,1.064253,,44.8234942563803,31.7816103991904,22.5979397873307
0.354, 6.85,6.85,,,0.2864329,1.579128,1.065427,,,0.2995826,1.61075,1.065055,,44.8234942563803,31.7595386435017,22.5810572677195
0.365, 6.86,6.86,,,0.2865421,1.579092,1.06556,,,0.2996978,1.610754,1.065175,,44.8234942563803,31.7475960580703,22.5644735688762
0.376, 6.8,6.8,,,0.2872856,1.579046,1.065717,,,0.3003092,1.610425,1.065322,,44.8234942563803,31.7328223593066,22.5425162188529
0.388, 6.87,6.87,,,0.2873018,1.579035,1.066327,,,0.3004614,1.610746,1.065928,,44.8234942563803,31.7341030197404,22.5402076149777
0.398, 6.93,6.93,,,0.2872474,1.579036,1.066808,,,0.3005347,1.611041,1.066417,,44.8234942563803,31.7494811902287,22.5486258228955
0.409, 6.99,6.99,,,0.2874801,1.578498,1.06677,,,0.3009212,1.61078,1.066435,,44.8234942563803,31.8192959668872,22.6061769952405
0.421, 7.02,7.02,,,0.2868259,1.578724,1.066598,,,0.300373,1.611096,1.066333,,44.8234942563803,31.8905006870032,22.7081107355772
0.431, 7.15,7.15,,,0.2866093,1.57805,1.066448,,,0.3004189,1.611003,1.066248,,44.8234942563803,31.9855530119426,22.736121340584
0.443, 7.3,7.3,,,0.2859922,1.577351,1.066111,,,0.3000971,1.611012,1.065939,,44.8234942563803,32.0335589951881,22.7344411140949
0.454, 7.46,7.46,,,0.2860794,1.576602,1.066428,,,0.3004724,1.610986,1.066278,,44.8234942563803,32.0787680160464,22.7127638018198
0.466, 7.56,7.56,,,0.2860956,1.575983,1.066438,,,0.3006825,1.610842,1.066284,,44.8234942563803,32.0765106385885,22.7066080940016
0.476, 7.63,7.63,,,0.2854114,1.57602,1.06639,,,0.3001384,1.611194,1.066239,,44.8234942563803,32.0782659971564,22.7173895473065
0.488, 7.69,7.69,,,0.2853374,1.576051,1.066931,,,0.3002048,1.611535,1.066787,,44.8234942563803,32.0849937333016,22.7320727460661
