経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.81,-0.81,,,0.08354198,1.818853,1.202269,,,0.0822877,1.815035,1.202681,,44.7500116682395,42.2299997837107,18.997549100521
0.011, 0.44,-0.44,,,0.08368224,1.817134,1.202473,,,0.08300778,1.815055,1.202702,,44.7500116682395,42.0539994740754,18.8322943856985
0.022, 0.3,-0.3,,,0.08327073,1.815785,1.20183,,,0.08280391,1.814342,1.201988,,44.7500116682395,42.0369069261531,18.7929849405717
0.033, 0.32,-0.32,,,0.08197553,1.814802,1.200777,,,0.08148542,1.813295,1.200942,,44.7500116682395,42.1141529484218,18.865656443771
0.044, 0.79,-0.79,,,0.08136289,1.816425,1.199916,,,0.08012775,1.812671,1.200318,,44.7500116682395,42.2908977486559,19.0077636481405
0.056, 0.93,-0.93,,,0.08077018,1.816572,1.199359,,,0.07931656,1.812176,1.199823,,44.7500116682395,42.3948873758755,19.0690201980072
0.068, 0.77,-0.77,,,0.07892009,1.814169,1.19783,,,0.07771918,1.810556,1.198203,,44.7500116682395,42.5498882694919,19.1168366435085
0.078, 0.68,-0.68,,,0.07781833,1.812358,1.196468,,,0.07674643,1.809146,1.196792,,44.7500116682395,42.6748431617855,19.1527087960312
0.089, 0.65,-0.65,,,0.07800812,1.812258,1.196505,,,0.07697943,1.809171,1.196817,,44.7500116682395,42.6638704631893,19.1266055212971
0.099, 0.56,-0.56,,,0.07835153,1.812223,1.196973,,,0.07747823,1.809595,1.197242,,44.7500116682395,42.5878811956929,19.1003024635353
0.111, 0.53,0.53,,,0.07996421,1.808204,1.198609,,,0.08078277,1.810698,1.198344,,44.7500116682395,42.320479297128,18.9560761930348
