経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.46,-0.46,,,-0.288863,1.572249,1.21849,,,-0.2883133,1.570135,1.217751,,46.050527461344,36.1063255518508,23.7469585737655
0.011, 0.05,0.05,,,-0.2876108,1.5706,1.218159,,,-0.2876653,1.570808,1.218232,,46.050527461344,36.0943795513249,23.9158674396923
0.021, 0.57,0.57,,,-0.2862144,1.569021,1.218178,,,-0.2868935,1.571608,1.2191,,46.050527461344,36.1522175916071,24.0759602391932
0.033, 1.02,1.02,,,-0.2847163,1.567948,1.218681,,,-0.2859404,1.572597,1.220349,,46.050527461344,36.1709698754515,24.1886925083072
0.044, 1.61,1.61,,,-0.2830774,1.566183,1.219553,,,-0.2850239,1.573548,1.222206,,46.050527461344,36.1575963654288,24.273724946013
0.056, 2.27,2.27,,,-0.2811926,1.564327,1.220826,,,-0.2839421,1.57467,1.224557,,46.050527461344,36.0974770420273,24.3357311091202
0.067, 3.1,3.1,,,-0.2789742,1.561745,1.222612,,,-0.2827681,1.575888,1.227695,,46.050527461344,35.9560443188196,24.3584039214392
0.077, 3.68,3.68,,,-0.277026,1.560382,1.224439,,,-0.2815529,1.577148,1.230443,,46.050527461344,35.8417308609567,24.3530712513931
0.089, 4.3,4.3,,,-0.2754023,1.558412,1.226282,,,-0.2807137,1.578019,1.233271,,46.050527461344,35.7624460272775,24.3179657875834
0.099, 4.25,4.25,,,-0.275749,1.55835,1.227213,,,-0.2809817,1.577741,1.234108,,46.050527461344,35.7907844813553,24.255867416925
0.11, 4.3,4.3,,,-0.2754272,1.558405,1.227588,,,-0.2807078,1.578025,1.234577,,46.050527461344,35.8385309174196,24.2588180585643
0.121, 4.4,4.4,,,-0.2748111,1.558471,1.227887,,,-0.2802126,1.578539,1.235056,,46.050527461344,35.8609919938801,24.2982623999235
