経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.84,-0.84,,,0.1000945,1.779361,1.632372,,,0.09889948,1.775891,1.630381,,40.800816890602,19.9000390459137,34.0112504596148
0.01, 0.76,-0.76,,,0.1018431,1.778609,1.632713,,,0.100765,1.775448,1.630903,,40.8983554043301,19.6393546382106,33.8966706243817
0.021, 0.61,-0.61,,,0.1022251,1.777823,1.632576,,,0.1013557,1.775268,1.631112,,40.9378714626736,19.5400334451587,33.9021074548098
0.032, 0.64,-0.64,,,0.1017794,1.778784,1.631644,,,0.1008687,1.776124,1.630115,,40.7496143789138,19.5204086046721,34.0047959310288
0.043, 0.66,-0.66,,,0.1007657,1.779981,1.630395,,,0.09981555,1.777231,1.628812,,40.5048989530459,19.6268212414324,34.0876700290169
0.054, 0.85,-0.85,,,0.09939976,1.780977,1.630553,,,0.09817737,1.777461,1.62853,,40.4538023092869,19.8958060362933,34.1205539738609
0.065, 0.85,-0.85,,,0.09929143,1.781059,1.630489,,,0.09806144,1.777523,1.628455,,40.4399916671694,19.9081140368352,34.130054766732
0.077, 0.56,-0.56,,,0.09878458,1.780462,1.629031,,,0.09798361,1.778156,1.627703,,40.2993444156944,19.8135637307858,34.1383432010591
0.089, 0.14,-0.14,,,0.09888232,1.779062,1.627679,,,0.09867762,1.778469,1.627337,,40.229649167343,19.5483116342024,34.1499340317581
0.1, 0.73,0.73,,,0.1003436,1.775871,1.625069,,,0.1013678,1.778899,1.626828,,40.133609880096,18.8188013473686,34.1333605781983
0.11, 1.2,1.2,,,0.1012292,1.774017,1.623788,,,0.1028926,1.779005,1.626693,,40.1100252375483,18.396772508034,34.0866625761424
0.121, 1.46,1.46,,,0.1024293,1.772269,1.623943,,,0.1044272,1.778332,1.627478,,40.260163036611,18.1143698069219,34.0317581020271
0.131, 1.61,1.61,,,0.1023262,1.771406,1.62385,,,0.1045205,1.7781,1.627752,,40.3116524162363,18.066416757641,33.9925698927547
0.143, 1.7,1.7,,,0.1022541,1.770818,1.623909,,,0.1045679,1.777874,1.628021,,40.3619909090185,18.0992375232369,33.985476741499
0.154, 1.53,1.53,,,0.1023299,1.77098,1.624952,,,0.1044279,1.777342,1.628653,,40.4801600085605,18.2766704650107,33.9893665341231
0.165, 1.72,1.72,,,0.1023785,1.769689,1.62509,,,0.1047358,1.776835,1.629246,,40.5923253719892,18.3091258154961,33.9827207602456
0.176, 1.88,1.88,,,0.1027906,1.768293,1.625528,,,0.1053623,1.776115,1.630081,,40.7515404922062,18.2631074172437,33.9826422130723
0.189, 2.05,2.05,,,0.1036489,1.767069,1.625712,,,0.106444,1.775583,1.630681,,40.8687499501965,18.1336685058848,34.025839743276
0.199, 2.19,2.19,,,0.1035474,1.766689,1.625157,,,0.1065311,1.775761,1.630471,,40.8295583258296,18.0617585687567,34.1119547659351
0.21, 2.2,2.2,,,0.1038208,1.766362,1.62546,,,0.1068274,1.775467,1.630807,,40.8941138569736,18.0690822388904,34.1876161843605
0.22, 2.22,2.22,,,0.1043299,1.766133,1.62551,,,0.107398,1.77535,1.630929,,40.919863669428,18.0949071834236,34.2600708290597
0.232, 2.06,2.06,,,0.1043096,1.766395,1.626408,,,0.1071704,1.77493,1.631423,,41.0120780508462,18.2673233513916,34.2957722268579
0.243, 2,2,,,0.1045419,1.766511,1.626713,,,0.1073297,1.774795,1.631575,,41.0416903351688,18.3331475901386,34.3013968874829
0.254, 2.08,2.08,,,0.1046024,1.766446,1.626201,,,0.1075013,1.775065,1.631258,,40.9824521061457,18.2828654464155,34.2849395471357
0.265, 2.1,2.1,,,0.1047835,1.766343,1.626207,,,0.1076985,1.775025,1.631299,,40.9913381820086,18.2457928881796,34.2693735464504
