経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.95,-0.95,,,0.281083,1.631299,1.067296,,,0.2790959,1.626974,1.067513,,44.8234942563803,29.1679941897859,24.7857056666663
0.011, 0.9,-0.9,,,0.282544,1.630546,1.068166,,,0.2806875,1.626462,1.068379,,44.8234942563803,29.1304759617191,24.5659118928389
0.021, 0.89,-0.89,,,0.2827531,1.630447,1.068311,,,0.2809173,1.626402,1.068524,,44.8234942563803,29.1217913764311,24.5343974008854
0.033, 1.04,-1.04,,,0.281247,1.631836,1.067424,,,0.2790731,1.627097,1.067664,,44.8234942563803,29.1561301515277,24.7557672408199
0.044, 1.15,-1.15,,,0.2801629,1.632401,1.06617,,,0.2777417,1.627164,1.066427,,44.8234942563803,29.1822726998485,24.9149140591472
0.057, 1.38,-1.38,,,0.2777075,1.634943,1.065379,,,0.2747791,1.628719,1.065663,,44.8234942563803,29.2360536078766,25.2787360279947
0.066, 1.53,-1.53,,,0.2762605,1.636345,1.06455,,,0.2729701,1.629424,1.064851,,44.8234942563803,29.2741660623847,25.5019295283868
0.077, 1.51,-1.51,,,0.274894,1.636698,1.063921,,,0.2716469,1.629903,1.064205,,44.8234942563803,29.3210792153934,25.6090320142341
0.089, 1.4,-1.4,,,0.2754053,1.635714,1.06394,,,0.2723903,1.629378,1.064206,,44.8234942563803,29.3446262919018,25.5174955290721
0.1, 1.24,-1.24,,,0.2768981,1.634315,1.064889,,,0.2742602,1.628714,1.065137,,44.8234942563803,29.2957665350337,25.2979151986504
0.111, 0.84,-0.84,,,0.2787071,1.631609,1.06635,,,0.2769439,1.627799,1.066526,,44.8234942563803,29.3173670076828,24.9187731159208
0.122, 0.35,-0.35,,,0.2801519,1.628567,1.06777,,,0.279427,1.626976,1.067846,,44.8234942563803,29.3274244609558,24.6031791114607
0.133, 0.14,-0.14,,,0.2807019,1.627004,1.067921,,,0.2804088,1.626357,1.067952,,44.8234942563803,29.3380112538747,24.5126108055866
0.144, 0.32,-0.32,,,0.2798186,1.627899,1.066785,,,0.2791598,1.626463,1.066853,,44.8234942563803,29.3201639700701,24.7423407968326
0.156, 0.43,-0.43,,,0.279108,1.628932,1.066514,,,0.2782011,1.626966,1.066606,,44.8234942563803,29.3167113095408,24.8541919715682
0.166, 0.21,-0.21,,,0.2795707,1.6269,1.066093,,,0.2791396,1.625969,1.066135,,44.8234942563803,29.332478800801,24.969473608719
0.177, 0.14,0.14,,,0.2792395,1.624902,1.065977,,,0.2795436,1.625552,1.065948,,44.8234942563803,29.3869905390499,25.1160904453625
0.189, 0.29,0.29,,,0.2793685,1.623771,1.0658,,,0.2799886,1.625093,1.065745,,44.8234942563803,29.4771012222623,25.1822100897828
0.2, 0.46,0.46,,,0.2799038,1.622463,1.065979,,,0.2808893,1.624562,1.065895,,44.8234942563803,29.5408132250673,25.1929949581822
0.211, 0.5,0.5,,,0.2805552,1.62184,1.066029,,,0.2816092,1.624085,1.06594,,44.8234942563803,29.5391773948066,25.1939102035055
0.222, 0.57,0.57,,,0.2804982,1.621916,1.066743,,,0.2817146,1.624505,1.066639,,44.8234942563803,29.5237616582788,25.2120836288339
0.233, 0.58,0.58,,,0.280287,1.622107,1.066852,,,0.2815168,1.624721,1.066746,,44.8234942563803,29.4965057891543,25.2527556966622
0.244, 0.59,0.59,,,0.2801288,1.622292,1.067058,,,0.2813846,1.624957,1.066949,,44.8234942563803,29.4561632779443,25.2830629527135
0.255, 0.51,0.51,,,0.2801323,1.623008,1.067381,,,0.2812183,1.625312,1.067284,,44.8234942563803,29.4091135211559,25.2912164908083
0.266, 0.35,0.35,,,0.2799913,1.624568,1.068086,,,0.2807445,1.626164,1.068015,,44.8234942563803,29.2955991954037,25.3305020302737
0.277, 0.02,0.02,,,0.2797778,1.626769,1.068102,,,0.2798267,1.626871,1.068097,,44.8234942563803,29.1842944357865,25.3712133716886
0.288, 0.31,-0.31,,,0.2781562,1.63027,1.068551,,,0.2775002,1.628884,1.068617,,44.8234942563803,29.0869437522554,25.4368156292938
0.299, 0.74,-0.74,,,0.276833,1.634585,1.069524,,,0.2752407,1.631239,1.069689,,44.8234942563803,28.9830019363586,25.5513800966016
0.31, 1.03,-1.03,,,0.2742733,1.638162,1.069469,,,0.2720464,1.633506,1.0697,,44.8234942563803,28.9399034438951,25.6570687333301
0.321, 1.35,-1.35,,,0.2726254,1.642128,1.070643,,,0.2697076,1.636041,1.070946,,44.8234942563803,28.9110732162108,25.7081636695418
0.333, 1.61,-1.61,,,0.2716643,1.645102,1.071592,,,0.2681884,1.637834,1.071963,,44.8234942563803,28.8695046860788,25.6622272335572
0.344, 1.72,-1.72,,,0.2708658,1.647556,1.073315,,,0.2671816,1.63979,1.073722,,44.8234942563803,28.8507045909115,25.4926302260906
0.355, 1.78,-1.78,,,0.2693897,1.649967,1.074758,,,0.2656096,1.641936,1.075185,,44.8234942563803,28.8672882897548,25.3213444543988
0.366, 1.92,-1.92,,,0.2682413,1.652532,1.076033,,,0.2641878,1.643868,1.076495,,44.8234942563803,28.891084668161,25.190324354291
0.377, 2.15,-2.15,,,0.2663378,1.656307,1.077424,,,0.261793,1.64659,1.077951,,44.8234942563803,28.8518793834161,25.1896891467159
0.388, 2.37,-2.37,,,0.2640428,1.660427,1.078976,,,0.2590117,1.649704,1.079572,,44.8234942563803,28.7663688324816,25.2625843386043
0.4, 2.6,-2.6,,,0.2614931,1.664737,1.080528,,,0.2559617,1.653008,1.081195,,44.8234942563803,28.6674574507686,25.3820494665053
0.411, 2.67,-2.67,,,0.2593414,1.668047,1.082415,,,0.2536483,1.655996,1.083108,,44.8234942563803,28.6305539397099,25.4216013833409
0.421, 2.77,-2.77,,,0.2570807,1.670823,1.083228,,,0.2511905,1.658319,1.083936,,44.8234942563803,28.6895565272132,25.3565523710432
0.433, 2.62,-2.62,,,0.2546434,1.672687,1.084711,,,0.2490874,1.660823,1.085374,,44.8234942563803,28.7671064928915,25.2223357424928
0.444, 2.53,-2.53,,,0.2533789,1.674223,1.086436,,,0.2480599,1.662751,1.087073,,44.8234942563803,28.8455307227592,25.0037372517369
0.455, 2.43,-2.43,,,0.2519913,1.675927,1.088367,,,0.246925,1.664904,1.088982,,44.8234942563803,28.8889775548606,24.8163988283949
0.466, 2.44,-2.44,,,0.2500635,1.678551,1.090042,,,0.2449889,1.667458,1.090657,,44.8234942563803,28.9374684815238,24.7133825031049
0.477, 2.38,-2.38,,,0.24677,1.680978,1.090707,,,0.2418133,1.670153,1.091293,,44.8234942563803,28.9978712577679,24.7259671263004
0.488, 2.54,-2.54,,,0.2446391,1.684164,1.091678,,,0.2393417,1.672611,1.092298,,44.8234942563803,29.0089293337264,24.7560848446075
0.499, 2.69,-2.69,,,0.2433935,1.686852,1.092958,,,0.2377947,1.674651,1.093636,,44.8234942563803,28.9097310840762,24.7818517325344
0.51, 2.66,-2.66,,,0.2406491,1.690649,1.095831,,,0.2351255,1.678591,1.096539,,44.8234942563803,28.7738820403596,24.7592899107863
0.521, 2.61,-2.61,,,0.2383748,1.693847,1.098434,,,0.2329462,1.681983,1.099157,,44.8234942563803,28.6674096394457,24.749543231112
0.533, 2.84,-2.84,,,0.2364032,1.697717,1.099957,,,0.2305062,1.684839,1.100756,,44.8234942563803,28.6073893537844,24.7709490433751
0.544, 2.84,-2.84,,,0.233019,1.70105,1.101285,,,0.2271195,1.688182,1.102096,,44.8234942563803,28.554163398611,24.8013246013162
0.555, 2.94,-2.94,,,0.2306722,1.70465,1.103135,,,0.2245707,1.691317,1.103981,,44.8234942563803,28.5456171246498,24.7652014393485
0.566, 2.95,-2.95,,,0.2277664,1.70756,1.104256,,,0.2216548,1.694174,1.105106,,44.8234942563803,28.5577355874475,24.7163058239883
0.577, 2.99,-2.99,,,0.225042,1.710942,1.105969,,,0.218866,1.697365,1.10683,,44.8234942563803,28.5854849377258,24.6385338771682
0.588, 3.03,-3.03,,,0.2222635,1.714363,1.10768,,,0.2160204,1.700595,1.108553,,44.8234942563803,28.6100292218252,24.569697525081
0.599, 3.12,-3.12,,,0.2200943,1.717882,1.109668,,,0.213675,1.703686,1.110578,,44.8234942563803,28.5958890230895,24.5139683056464
0.611, 3.14,-3.14,,,0.2171727,1.72154,1.111758,,,0.2107279,1.707262,1.112688,,44.8234942563803,28.5561287854899,24.483019011831
0.621, 3.26,-3.26,,,0.2150701,1.725217,1.113722,,,0.2083822,1.71036,1.114724,,44.8234942563803,28.4622256398464,24.4395226608595
0.633, 3.37,-3.37,,,0.2123364,1.729398,1.115948,,,0.2054468,1.714048,1.117004,,44.8234942563803,28.4170268642716,24.385781026418
0.644, 3.32,-3.32,,,0.2096912,1.732851,1.118629,,,0.2029294,1.717723,1.119684,,44.8234942563803,28.3973217690645,24.3061785889513
0.655, 3.43,-3.43,,,0.2071347,1.736874,1.120764,,,0.2001717,1.721222,1.121874,,44.8234942563803,28.3740683906823,24.2137439339384
0.666, 3.55,-3.55,,,0.2046631,1.740814,1.122834,,,0.1974982,1.724615,1.124,,44.8234942563803,28.3640775317518,24.1008784761393
0.677, 3.61,-3.61,,,0.201537,1.744743,1.124781,,,0.1942949,1.728279,1.125977,,44.8234942563803,28.3688074376205,23.9899254712546
0.688, 3.73,-3.73,,,0.1988201,1.748813,1.126716,,,0.1913508,1.731767,1.127967,,44.8234942563803,28.3637035789052,23.9156744868536
