経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.85,-0.85,,,0.07369772,1.635098,1.015234,,,0.07242783,1.631059,1.015678,,44.7499911776726,41.8703732584441,18.338454646976
0.011, 0.72,-0.72,,,0.07367194,1.63454,1.015343,,,0.07259079,1.631102,1.015722,,44.7499911776726,41.8587346164223,18.3494153927416
0.022, 0.76,-0.76,,,0.07351007,1.634599,1.015221,,,0.07237548,1.630997,1.015617,,44.7499911776726,41.884019976026,18.3681079124324
0.033, 0.93,-0.93,,,0.07391454,1.635267,1.015011,,,0.07252782,1.630872,1.015492,,44.7499911776726,41.9191476379499,18.3872700076157
0.044, 0.83,-0.83,,,0.07396221,1.635165,1.015403,,,0.07271577,1.631213,1.015833,,44.7499911776726,41.948401337351,18.3677937237393
0.055, 0.59,-0.59,,,0.07479131,1.634383,1.015897,,,0.07390963,1.631581,1.016201,,44.7499911776726,41.9589813000809,18.3284552503094
0.067, 0.05,0.05,,,0.07650004,1.632621,1.017516,,,0.07657726,1.632869,1.017489,,44.7499911776726,41.8740547303043,18.1859911685657
0.078, 0.83,0.83,,,0.07867035,1.630556,1.019552,,,0.07987265,1.634492,1.019111,,44.7499911776726,41.6063966996527,17.9400002049057
0.09, 1.51,1.51,,,0.07968325,1.628783,1.021423,,,0.08184819,1.635976,1.020596,,44.7499911776726,41.3751333309807,17.7695596691001
0.101, 2.03,2.03,,,0.08009076,1.62651,1.021911,,,0.08296838,1.63617,1.020789,,44.7499911776726,41.2598431560937,17.6419410031043
0.112, 1.96,1.96,,,0.07935563,1.625819,1.020839,,,0.08213365,1.635144,1.019764,,44.7499911776726,41.306250875118,17.6253914552059
0.122, 1.49,1.49,,,0.07831639,1.626704,1.019197,,,0.08044349,1.633779,1.018398,,44.7499911776726,41.4772378260419,17.7173172611398
0.133, 1.46,1.46,,,0.07784531,1.626134,1.018469,,,0.07994124,1.633078,1.017698,,44.7499911776726,41.5889899630373,17.7435571396535
0.143, 1.41,1.41,,,0.07678293,1.625502,1.017581,,,0.07882035,1.632228,1.016848,,44.7499911776726,41.723110968942,17.7585459893699
0.155, 1.48,1.48,,,0.0766027,1.62492,1.017338,,,0.07873744,1.631956,1.016576,,44.7499911776726,41.76380181979,17.772144895629
0.166, 1.61,1.61,,,0.07602781,1.624308,1.017395,,,0.07834506,1.631948,1.016567,,44.7499911776726,41.7551206495965,17.7702529332816
0.177, 1.6,1.6,,,0.07546671,1.624255,1.017323,,,0.07777762,1.631878,1.016498,,44.7499911776726,41.7622377065136,17.7581413006729
0.188, 1.83,1.83,,,0.07492484,1.62358,1.017863,,,0.07756671,1.632301,1.016921,,44.7499911776726,41.7703383106438,17.7438610830631
0.2, 1.84,1.84,,,0.07498413,1.623537,1.017839,,,0.0776298,1.632276,1.016896,,44.7499911776726,41.7704680842344,17.7331103656086
0.21, 1.98,1.98,,,0.07451741,1.622872,1.017937,,,0.07736678,1.632298,1.016918,,44.7499911776726,41.7506127248697,17.7164976384622
0.222, 2.13,2.13,,,0.07463546,1.622853,1.018703,,,0.0776948,1.632984,1.017604,,44.7499911776726,41.7244189501317,17.7074271474968
0.233, 2.02,2.02,,,0.0746105,1.623502,1.018777,,,0.0775135,1.633112,1.017732,,44.7499911776726,41.716475440348,17.7159136573044
0.244, 1.86,1.86,,,0.07419845,1.624365,1.018794,,,0.07688261,1.633212,1.017832,,44.7499911776726,41.7355111770351,17.7819991507798
0.255, 1.44,1.44,,,0.07303184,1.626752,1.018958,,,0.0751333,1.6336,1.01822,,44.7499911776726,41.8486600876769,17.9375925632902
0.266, 0.53,0.53,,,0.07185671,1.630575,1.017992,,,0.07264637,1.633105,1.017725,,44.7499911776726,42.0489587946082,18.1574648842909
0.277, 0.19,0.19,,,0.07107368,1.632844,1.018474,,,0.07136095,1.633757,1.018377,,44.7499911776726,42.098771362839,18.2718671346105
0.288, 0.02,0.02,,,0.07114923,1.634139,1.018847,,,0.07117404,1.634218,1.018838,,44.7499911776726,42.0458510586224,18.2814601350328
0.3, 0.15,0.15,,,0.07177232,1.633914,1.019326,,,0.07199595,1.634629,1.019249,,44.7499911776726,41.95265996018,18.2112833583584
0.311, 0.22,0.22,,,0.07208362,1.634425,1.020216,,,0.07241286,1.635482,1.020101,,44.7499911776726,41.9033869768787,18.179644215456
0.322, 0.1,0.1,,,0.0725095,1.636147,1.021283,,,0.07265402,1.636612,1.021232,,44.7499911776726,41.8229717469233,18.1398891004983
0.334, 0.04,-0.04,,,0.07283875,1.63792,1.022324,,,0.07277875,1.637726,1.022346,,44.7499911776726,41.7527710645874,18.1149076843041
0.345, 0.1,-0.1,,,0.07299908,1.639145,1.023243,,,0.07285407,1.638676,1.023295,,44.7499911776726,41.7006089113476,18.1072168915127
0.356, 0.44,-0.44,,,0.07233752,1.641039,1.023341,,,0.0716926,1.638954,1.023574,,44.7499911776726,41.6824747596058,18.1186198920147
0.367, 0.53,-0.53,,,0.0722765,1.642376,1.024189,,,0.07149582,1.639853,1.024472,,44.7499911776726,41.6455780787361,18.1399437420101
0.378, 0.46,-0.46,,,0.07255424,1.643536,1.025734,,,0.07188278,1.641361,1.02598,,44.7499911776726,41.5941091896778,18.117938580664
0.389, 0.36,-0.36,,,0.07238559,1.644625,1.027363,,,0.07186615,1.642936,1.027556,,44.7499911776726,41.5270811301231,18.076634720355
0.4, 0.29,-0.29,,,0.07281849,1.645635,1.028737,,,0.07240118,1.644273,1.028893,,44.7499911776726,41.4946343173738,18.0213016518812
0.411, 0.28,-0.28,,,0.07290337,1.64618,1.029305,,,0.07249273,1.644838,1.029458,,44.7499911776726,41.4934117135464,18.004502802085
0.422, 0.3,-0.3,,,0.07221842,1.646811,1.029842,,,0.07178204,1.645385,1.030005,,44.7499911776726,41.5034213554965,18.0105902080134
0.433, 0.3,-0.3,,,0.07217355,1.647452,1.030463,,,0.07173152,1.646008,1.030628,,44.7499911776726,41.4998320911876,18.0168517837608
0.444, 0.29,-0.29,,,0.07222743,1.648672,1.03178,,,0.07181229,1.647316,1.031935,,44.7499911776726,41.4806973167603,18.0132300760542
0.457, 0.23,-0.23,,,0.0724759,1.649815,1.033218,,,0.07214248,1.648723,1.033343,,44.7499911776726,41.4355190317524,17.9866077069576
0.467, 0.35,0.35,,,0.0735935,1.650654,1.037132,,,0.07409617,1.652317,1.036937,,44.7499911776726,41.2813445910026,17.8714097396218
0.477, 0.93,0.93,,,0.07425292,1.650755,1.040308,,,0.07557002,1.655164,1.039784,,44.7499911776726,41.1408612640631,17.7270776011921
0.488, 1.11,1.11,,,0.07467847,1.651173,1.041707,,,0.07625078,1.656458,1.041077,,44.7499911776726,41.1041421681069,17.6749939951255
0.5, 0.87,0.87,,,0.07411057,1.651942,1.041179,,,0.0753458,1.656072,1.040692,,44.7499911776726,41.196585360856,17.7272124974245
