経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.98,-0.98,,,0.5140922,1.515215,1.307363,,,0.5118498,1.510977,1.306319,,45.0005634905908,20.9628830455357,30.3733791107777
0.01, 1.73,1.73,,,0.5097032,1.501819,1.303067,,,0.513491,1.509335,1.304955,,45.0005634905908,22.0836094816683,29.4936063739324
0.022, 4.01,4.01,,,0.5054398,1.491261,1.301694,,,0.5139545,1.508872,1.306061,,45.0005634905908,22.8220587783296,28.632415166207
0.034, 6.22,6.22,,,0.5011994,1.481252,1.301276,,,0.5140396,1.508787,1.307964,,45.0005634905908,23.4037279171453,27.8512276695509
0.045, 8.15,8.15,,,0.4949219,1.475127,1.301431,,,0.5115396,1.511287,1.31015,,45.0005634905908,23.6450453239957,27.5445812126545
0.055, 9.78,9.78,,,0.4857608,1.473779,1.29752,,,0.5057052,1.517121,1.308159,,45.0005634905908,23.728387289929,27.6623165951963
0.067, 11.21,11.21,,,0.4816312,1.469011,1.2946,,,0.5039445,1.518882,1.307048,,45.0005634905908,24.3712515069104,27.2499439355321
0.077, 11.46,11.46,,,0.4841631,1.465533,1.293587,,,0.5058206,1.517006,1.306337,,45.0005634905908,25.4758843102591,26.1519586136082
0.088, 10.74,10.74,,,0.4722574,1.481374,1.291137,,,0.4935367,1.52929,1.302858,,45.0005634905908,24.3898996303729,27.007241707866
0.099, 10.74,10.74,,,0.4654016,1.487996,1.291043,,,0.4870772,1.535749,1.302535,,45.0005634905908,23.8728935981777,27.3095817306105
0.11, 10.86,10.86,,,0.4627339,1.489655,1.301376,,,0.4846575,1.538169,1.311961,,45.0005634905908,23.4226099745803,26.7579620082122
0.121, 11.35,11.35,,,0.4592366,1.48998,1.300281,,,0.4821474,1.540679,1.311415,,45.0005634905908,23.4562640232318,26.7868554151446
0.132, 12.24,12.24,,,0.4575278,1.486091,1.301894,,,0.4819229,1.540904,1.313852,,45.0005634905908,23.7195848838811,26.4761569486358
