経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.13,-0.13,,,-0.1300434,1.779951,1.125746,,,-0.1301856,1.779346,1.125964,,45.7999961295596,28.8471665530199,23.0777656858136
0.01, 1.41,1.41,,,-0.1309579,1.773823,1.129202,,,-0.1294564,1.780291,1.126875,,45.7999961295596,28.8257095143394,22.9669970960313
0.021, 2.76,2.76,,,-0.1313645,1.766864,1.130703,,,-0.128472,1.779587,1.126197,,45.7999961295596,28.9893164460705,22.6147215616544
0.032, 4.1,4.1,,,-0.1308608,1.760181,1.132352,,,-0.126659,1.779145,1.125771,,45.7999961295596,29.2162016636064,22.1671375702513
0.044, 5.23,5.23,,,-0.1300156,1.754316,1.133451,,,-0.1247638,1.778555,1.125202,,45.7999961295596,29.4434044849298,21.7602683353577
0.054, 6.08,6.08,,,-0.1296743,1.750808,1.135206,,,-0.1235923,1.779035,1.125664,,45.7999961295596,29.5295058472109,21.6350658487136
0.065, 6.82,6.82,,,-0.1298525,1.747728,1.136688,,,-0.1230139,1.779397,1.126013,,45.7999961295596,29.5858105100671,21.6067137342578
0.078, 7.19,7.19,,,-0.1297814,1.745905,1.137097,,,-0.1225231,1.779292,1.125912,,45.7999961295596,29.7127393269759,21.5609736662064
0.089, 7.45,7.45,,,-0.1294892,1.744461,1.137219,,,-0.1219336,1.779099,1.125726,,45.7999961295596,29.8823739004819,21.4479767272694
0.099, 7.75,7.75,,,-0.1284125,1.74299,1.137532,,,-0.1205378,1.77905,1.125678,,45.7999961295596,30.03491934116,21.3294439201642
0.11, 7.96,7.96,,,-0.1275238,1.742303,1.138016,,,-0.1194068,1.779324,1.125943,,45.7999961295596,30.1792583097787,21.2453386806124
0.121, 7.75,7.75,,,-0.1270142,1.743153,1.137539,,,-0.1190337,1.779211,1.125834,,45.7999961295596,30.2896375787891,21.2434723314736
0.132, 7.55,7.55,,,-0.1263504,1.744467,1.137597,,,-0.118453,1.77958,1.126189,,45.7999961295596,30.3453241095426,21.3556803835834
0.143, 7.17,7.17,,,-0.126294,1.746449,1.137194,,,-0.1186842,1.779747,1.12635,,45.7999961295596,30.3765995448817,21.4913552574811
0.154, 6.59,6.59,,,-0.1251315,1.748612,1.135796,,,-0.1180736,1.779222,1.125845,,45.7999961295596,30.4438803214287,21.5263224099639
0.165, 6.17,6.17,,,-0.1241577,1.750566,1.135118,,,-0.1175336,1.779201,1.125824,,45.7999961295596,30.4833997948667,21.5277550421024
0.176, 5.61,5.61,,,-0.1226109,1.752454,1.13359,,,-0.1165612,1.778514,1.125162,,45.7999961295596,30.5552943640696,21.5051744373347
0.188, 4.82,4.82,,,-0.1215564,1.755289,1.131566,,,-0.1163097,1.777663,1.124341,,45.7999961295596,30.6255906690512,21.554133231943
0.2, 3.85,3.85,,,-0.1211543,1.759075,1.129388,,,-0.1168897,1.776929,1.123634,,45.7999961295596,30.7418507307733,21.6572315195008
0.21, 2.85,2.85,,,-0.1215182,1.762342,1.126571,,,-0.1182965,1.775563,1.122317,,45.7999961295596,30.8632266040414,21.7813445910026
0.221, 1.97,1.97,,,-0.1210236,1.765434,1.124271,,,-0.1187642,1.774554,1.121344,,45.7999961295596,30.9840355716242,21.8723158780265
0.232, 1.25,1.25,,,-0.1201353,1.767766,1.122216,,,-0.1186884,1.773539,1.120366,,45.7999961295596,31.0599872730812,21.9470705888647
0.243, 0.67,0.67,,,-0.1185824,1.770214,1.121173,,,-0.117791,1.773336,1.12017,,45.7999961295596,31.0819565759352,22.0632794241695
0.254, 0.03,0.03,,,-0.1175097,1.772646,1.119692,,,-0.1174725,1.772791,1.119645,,45.7999961295596,31.0856551232678,22.178168325454
