経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.99,-0.99,,,0.3792264,1.808944,1.29307,,,0.3763101,1.805066,1.292155,,33.5945406299483,13.9222175233052,38.3183095737621
0.011, 0.93,-0.93,,,0.3789718,1.80862,1.290737,,,0.3762354,1.804972,1.289858,,33.6163767441172,14.4591753912845,38.3104480262461
0.022, 0.9,-0.9,,,0.379387,1.808106,1.289969,,,0.3767505,1.80458,1.289118,,33.7167258806106,14.562285631673,38.2425047213681
0.033, 0.66,-0.66,,,0.3792161,1.806876,1.2908,,,0.3772904,1.804292,1.290183,,33.7921960537445,14.2695949584098,38.1236901689675
0.044, 0.55,-0.55,,,0.3798268,1.80596,1.292874,,,0.3782266,1.803802,1.292373,,33.9206923990242,13.6347493832909,37.9251604809819
0.055, 0.44,-0.44,,,0.3805199,1.804983,1.295202,,,0.3792438,1.803252,1.29481,,34.0642254053433,13.0034307470064,37.7204904531034
0.067, 0.43,-0.43,,,0.3817113,1.804182,1.29654,,,0.3804689,1.802489,1.296164,,34.2602859800126,12.5741473932015,37.5521467853146
0.079, 0.6,-0.6,,,0.3821406,1.804961,1.29761,,,0.3803932,1.802583,1.297089,,34.2373672808904,12.314669367627,37.5582871252076
0.089, 1.06,-1.06,,,0.3818086,1.807926,1.298465,,,0.3787094,1.803742,1.297555,,33.9418250037281,12.2449024022913,37.7388909822153
0.1, 1.75,-1.75,,,0.3816691,1.812075,1.297983,,,0.3764982,1.80517,1.296479,,33.5726908554015,12.5327137593019,38.0193146360705
0.111, 2.4,-2.4,,,0.3808312,1.816393,1.297336,,,0.3736835,1.806959,1.295255,,33.1049458536769,13.014429912585,38.3489054052977
0.121, 2.83,-2.83,,,0.3799821,1.819368,1.296349,,,0.3715237,1.808282,1.293861,,32.754615215612,13.5187147178051,38.5681681319319
0.133, 3.18,-3.18,,,0.3798167,1.821429,1.296042,,,0.3703277,1.809013,1.293239,,32.5599923957229,13.7368709538245,38.6221846814798
0.143, 2.92,-2.92,,,0.3795705,1.820146,1.296564,,,0.3708879,1.808697,1.294002,,32.6448677390822,13.469481861864,38.4021125774515
0.157, 3.02,-3.02,,,0.378903,1.821229,1.297356,,,0.3699297,1.809345,1.294728,,32.4732524107721,13.2976565052427,38.2665264960106
0.166, 3.19,-3.19,,,0.3779641,1.822908,1.299011,,,0.368552,1.810291,1.296296,,32.2216828902628,12.8469963674778,37.8962790268802
0.177, 3.1,-3.1,,,0.3770553,1.822935,1.299275,,,0.3679755,1.81067,1.296678,,32.120104319753,12.6384741130146,37.667300356422
0.188, 3.06,-3.06,,,0.3751886,1.823896,1.298797,,,0.366263,1.811717,1.296239,,31.836398760093,12.6572690855401,37.391282174459
0.199, 2.99,-2.99,,,0.3728426,1.824868,1.297844,,,0.3641731,1.812962,1.295349,,31.495831877175,12.8410822775948,37.2220369217249
0.211, 2.96,-2.96,,,0.3698513,1.826493,1.297033,,,0.3612942,1.814666,1.294565,,31.0244497998185,13.0372794560438,37.0509372726828
0.221, 3.05,-3.05,,,0.3668145,1.828779,1.296435,,,0.35803,1.816569,1.293902,,30.4907012668862,13.2392985168245,36.8929242657262
0.233, 3.16,-3.16,,,0.3636987,1.831173,1.295632,,,0.3546237,1.818499,1.293006,,29.9403826954885,13.5376497092047,36.7694481093468
0.244, 3.35,-3.35,,,0.3598467,1.83436,1.294823,,,0.3502554,1.820914,1.292014,,29.2384031928857,14.0144336122707,36.6932095399526
0.255, 3.54,-3.54,,,0.3560725,1.837443,1.293685,,,0.3459582,1.823198,1.290702,,28.5596429177201,14.4819574866271,36.5835986672025
0.266, 3.58,-3.58,,,0.3513524,1.84018,1.29357,,,0.341171,1.825741,1.290561,,27.7882003931912,14.7651029707907,36.3964549042464
0.277, 3.57,-3.57,,,0.3470756,1.842374,1.293913,,,0.3369939,1.827922,1.290944,,27.1110503350777,14.8326501247079,36.0956260608137
0.289, 3.42,-3.42,,,0.3428459,1.843781,1.295536,,,0.3333007,1.829879,1.292751,,26.4916478172424,14.5549346407833,35.6457863995
0.299, 3.28,-3.28,,,0.338741,1.845096,1.296077,,,0.3296865,1.831686,1.293441,,25.9065362631808,14.4420145414723,35.1857868320787
0.311, 3.19,-3.19,,,0.334384,1.846748,1.296261,,,0.3256522,1.833623,1.293714,,25.2645121594439,14.4906540247458,34.7918454373768
0.322, 3.35,-3.35,,,0.3302293,1.849517,1.295883,,,0.3211353,1.835685,1.293213,,24.5625019209907,14.7740658862796,34.4906170278888
0.333, 3.54,-3.54,,,0.3249507,1.852865,1.295781,,,0.3154019,1.838226,1.292981,,23.6713176459071,15.1764733002221,34.2775492826594
0.344, 3.73,-3.73,,,0.3197767,1.856089,1.296016,,,0.3097768,1.840633,1.293092,,22.7976476829153,15.5288956836621,34.0529829142823
0.355, 3.77,-3.77,,,0.3140538,1.858658,1.296433,,,0.3040155,1.843007,1.293486,,21.9039481907399,15.9173012101957,33.8312886403712
0.366, 3.77,-3.77,,,0.3086717,1.860871,1.297208,,,0.2986891,1.845128,1.29425,,21.0758236354136,16.2091107890803,33.5503458921536
0.378, 3.6,-3.6,,,0.3038997,1.861819,1.298189,,,0.2944997,1.846757,1.295372,,20.4191095027281,16.2613668574187,33.1583032899882
0.389, 3.21,-3.21,,,0.2989879,1.861701,1.298769,,,0.2907104,1.848176,1.296238,,19.8302618352945,16.2667456312404,32.6917228354847
0.4, 2.9,-2.9,,,0.2946515,1.861665,1.298725,,,0.2872869,1.849394,1.296428,,19.309538472747,16.2982550005521,32.2315388529608
0.41, 2.84,-2.84,,,0.2894602,1.863141,1.29874,,,0.2823513,1.851081,1.296488,,18.5652374116771,16.5176628687021,31.8057926832739
0.422, 2.7,-2.7,,,0.2848746,1.864022,1.299227,,,0.2781863,1.85247,1.297091,,17.9308272611056,16.5610072479689,31.3682610225021
0.433, 2.6,-2.6,,,0.2809828,1.86481,1.300623,,,0.2746408,1.853649,1.29861,,17.3773053310763,16.3485234838973,30.8775016990095
0.444, 2.5,-2.5,,,0.2763485,1.865762,1.301466,,,0.2703383,1.854995,1.299573,,16.7218274625962,16.296065924984,30.412113112483
0.455, 2.4,-2.4,,,0.2718077,1.866661,1.302153,,,0.2661079,1.856259,1.300367,,16.08194120801,16.2638308480932,29.9415643181821
0.466, 2.34,-2.34,,,0.2671512,1.86773,1.302724,,,0.2616576,1.857528,1.30099,,15.4139709238855,16.3665312771429,29.5285427905648
0.477, 2.23,-2.23,,,0.2622309,1.86848,1.302292,,,0.2570704,1.858749,1.300642,,14.7408301867032,16.6507986198465,29.1844993414559
0.489, 2.28,-2.28,,,0.2571405,1.87004,1.301952,,,0.2519164,1.860051,1.300248,,13.9880656677136,17.0748816385168,28.8936084229891
0.5, 2.44,-2.44,,,0.2523121,1.871948,1.300903,,,0.2467798,1.861251,1.299062,,13.255214564695,17.628166219479,28.6735875453781
0.511, 2.53,-2.53,,,0.247155,1.873572,1.300635,,,0.2414763,1.862442,1.29873,,12.488302163007,18.0169064252726,28.3688501263016
0.522, 2.6,-2.6,,,0.2429254,1.874886,1.301216,,,0.2371519,1.863384,1.299285,,11.8493567669528,18.1028216649041,27.9741095994891
0.533, 2.36,-2.36,,,0.2384919,1.874637,1.301777,,,0.2333451,1.864181,1.300057,,11.2827311193655,18.0535725872642,27.5100887583058
0.544, 2.03,-2.03,,,0.2339215,1.874005,1.302902,,,0.2295676,1.864949,1.301441,,10.7107574338069,17.8918849386364,26.9706318949335
0.555, 1.74,-1.74,,,0.2300799,1.873332,1.302931,,,0.2264216,1.865533,1.301689,,10.251387951319,17.7647580462472,26.434637937374
0.566, 1.46,-1.46,,,0.2255246,1.872804,1.303303,,,0.2225137,1.86623,1.302264,,9.67710993075327,17.7448804887683,25.9331535096357
0.584, 1.29,-1.29,,,0.2211606,1.872678,1.302787,,,0.2185546,1.86687,1.301869,,9.11378155689604,17.8989644295142,25.5240593406819
0.589, 1.17,-1.17,,,0.2165264,1.87282,1.301903,,,0.2141905,1.867518,1.301059,,8.50422134138081,18.207600178951,25.1836393068269
0.6, 0.95,-0.95,,,0.2125907,1.872314,1.30082,,,0.2107213,1.867989,1.300125,,8.03150140075792,18.418985990144,24.840285706805
0.611, 0.83,-0.83,,,0.20964,1.872113,1.299818,,,0.2080391,1.868324,1.299211,,7.67618728605856,18.4304624151776,24.4078801028626
0.622, 0.61,-0.61,,,0.2066698,1.871457,1.299878,,,0.2055187,1.868655,1.299434,,7.31324641158947,18.2012703013138,23.850403493414
0.633, 0.1,-0.1,,,0.2033088,1.869453,1.300735,,,0.2031224,1.868985,1.300662,,6.93845003659843,17.8392754080184,23.2568037219976
0.644, 0.56,0.56,,,0.2002423,1.866661,1.301209,,,0.2012331,1.869231,1.301603,,6.64502383735954,17.3915138317019,22.6165076560727
0.655, 1.07,1.07,,,0.1972294,1.864522,1.30125,,,0.1990767,1.869482,1.302001,,6.32886591542177,17.04799289205,21.9950014400315
0.667, 1.53,1.53,,,0.1939615,1.862641,1.301,,,0.196525,1.869754,1.30207,,5.96601255274898,16.8358113638408,21.4306929340557
0.677, 1.88,1.88,,,0.1900329,1.861299,1.300301,,,0.1931111,1.870078,1.301622,,5.49864662651274,16.8812423658409,20.9843793578029
0.689, 2.2,2.2,,,0.1852351,1.860164,1.299769,,,0.1887524,1.870455,1.301313,,4.90056923933324,17.0483190335738,20.5701505942834
0.7, 2.31,2.31,,,0.1806173,1.859945,1.299003,,,0.1842433,1.870784,1.300617,,4.3084349703399,17.3095071677142,20.2149995503459
0.711, 2.39,2.39,,,0.1764734,1.859833,1.298949,,,0.1801528,1.871055,1.300607,,3.75629658046589,17.4875855623465,19.8841503187991
0.722, 2.49,2.49,,,0.1719557,1.859571,1.299062,,,0.1757174,1.871306,1.30078,,3.16118306841686,17.6561665792023,19.5152671799174
0.733, 2.88,2.88,,,0.1683834,1.857878,1.299993,,,0.1726299,1.87148,1.301955,,2.68875341082562,17.524460045102,19.0846510854878
0.744, 3.13,3.13,,,0.1649647,1.856747,1.299783,,,0.1694722,1.8716,1.301916,,2.29260095588495,17.5167812051413,18.6674682652345
0.755, 3.5,3.5,,,0.1615719,1.855071,1.299066,,,0.1664654,1.87168,1.301483,,1.97377648548073,17.5833738401485,18.3020258340515
0.766, 3.76,3.76,,,0.156918,1.853867,1.297181,,,0.1620597,1.871728,1.299839,,1.7300876156721,18.0446113793225,18.0712064276632
0.778, 3.81,3.81,,,0.1524384,1.853563,1.295424,,,0.1575691,1.871721,1.298185,,1.73110542055181,18.5772585442818,17.9089399205194
0.789, 3.87,3.87,,,0.1485056,1.85328,1.294835,,,0.1536184,1.871701,1.297674,,1.81013241459702,18.9349128524804,17.7359585544133
0.801, 3.97,3.97,,,0.1443792,1.852693,1.294632,,,0.1495238,1.871654,1.297547,,2.01081041046021,19.1523023997869,17.4440635981663
0.811, 4.28,4.28,,,0.1401683,1.851146,1.295244,,,0.1455591,1.871601,1.298334,,2.23256765017593,19.1516876827787,17.0236074098444
0.822, 4.65,4.65,,,0.1372323,1.849242,1.295697,,,0.1428926,1.871546,1.299011,,2.43453655175633,18.9189302102674,16.5154652553978
0.833, 5.31,5.31,,,0.1340725,1.845944,1.296606,,,0.1402805,1.871495,1.300347,,2.62144467319253,18.5902034599461,15.9687359483091
0.845, 5.85,5.85,,,0.1316477,1.843227,1.297001,,,0.1381888,1.871428,1.301067,,2.83061472839184,18.2286166704422,15.4082523481621
0.855, 6.33,6.33,,,0.1278394,1.840681,1.297431,,,0.1346167,1.871275,1.30182,,3.25329392978338,18.1134579766931,14.9211847418132
0.867, 6.71,6.71,,,0.1245753,1.83858,1.295973,,,0.1314959,1.871066,1.300655,,3.73124344728745,18.2140922735764,14.5657895186197
0.878, 6.71,6.71,,,0.119941,1.838185,1.294271,,,0.1266604,1.870695,1.299043,,4.46256117288005,18.7121325785216,14.3713255006244
0.889, 6.64,6.64,,,0.1155094,1.838042,1.291716,,,0.1220048,1.87024,1.296569,,5.21552632867097,19.3579593899731,14.2854777091091
0.9, 6.45,6.45,,,0.1106596,1.838427,1.290432,,,0.116803,1.869714,1.295277,,5.98061592367491,19.9646031147938,14.196101271212
0.911, 6.45,6.45,,,0.1068471,1.837938,1.289378,,,0.1127906,1.869258,1.294287,,6.57217346858625,20.2842457137718,13.9878821063847
0.922, 6.43,6.43,,,0.1032449,1.83757,1.289602,,,0.1089017,1.868826,1.294465,,7.09306886651876,20.3046184599518,13.5876731595202
