経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.08,-0.08,,,-0.173584,1.654914,1.354264,,,-0.1733417,1.654636,1.354174,,45.0005395849294,14.1697162511825,42.9964426099063
0.011, 1.16,1.16,,,-0.1727325,1.647279,1.354767,,,-0.1764572,1.651521,1.356118,,45.0005395849294,13.9518093170608,43.1319979554968
0.023, 2.1,2.1,,,-0.1732509,1.640303,1.355139,,,-0.179993,1.647985,1.357557,,45.0005395849294,13.8146463157391,43.0791527833589
0.033, 3.09,3.09,,,-0.1733897,1.633339,1.354531,,,-0.1833136,1.644664,1.358064,,45.0005395849294,13.72321655228,43.0109226105438
0.045, 4.14,4.14,,,-0.1725384,1.626994,1.352734,,,-0.1858547,1.642123,1.357448,,45.0005395849294,13.6526299642667,43.1194577285296
0.055, 4.98,4.98,,,-0.1709191,1.622867,1.349913,,,-0.1869785,1.640999,1.355622,,45.0005395849294,13.7008135324258,43.3123969068351
0.066, 5.8,5.8,,,-0.1695327,1.618578,1.3473,,,-0.1883069,1.639671,1.354,,45.0005395849294,13.7499379591168,43.466042007939
0.077, 6.5,6.5,,,-0.1685301,1.614832,1.344966,,,-0.1895762,1.638402,1.352548,,45.0005395849294,13.8681207190368,43.5895967114917
0.088, 7.24,7.24,,,-0.1665687,1.611745,1.342384,,,-0.1900561,1.637922,1.350887,,45.0005395849294,13.9332559624704,43.7443448881158
0.099, 7.93,7.93,,,-0.1636958,1.609835,1.340999,,,-0.1895255,1.638452,1.350331,,45.0005395849294,13.9150620465751,43.9069102160275
0.11, 8.68,8.68,,,-0.1598786,1.608466,1.340939,,,-0.1882726,1.639705,1.351095,,45.0005395849294,13.795153810164,44.0737102611067
0.122, 9.56,9.56,,,-0.1557417,1.606502,1.341329,,,-0.1871762,1.640802,1.352391,,45.0005395849294,13.6017083441004,44.2569403257772
0.133, 10.19,10.19,,,-0.1517527,1.606095,1.343017,,,-0.1854095,1.642568,1.354608,,45.0005395849294,13.3426589128844,44.3852249351986
0.144, 10.76,10.76,,,-0.1484094,1.60544,1.345165,,,-0.1840504,1.643927,1.357226,,45.0005395849294,13.1312457809353,44.4325444844516
0.156, 11.28,11.28,,,-0.1449152,1.605369,1.34548,,,-0.1823,1.645678,1.357995,,45.0005395849294,13.0011691006804,44.4442309377963
0.166, 11.42,11.42,,,-0.1422182,1.607094,1.345882,,,-0.1800352,1.647943,1.358574,,45.0005395849294,13.0290106585099,44.3997800679148
0.178, 10.77,10.77,,,-0.1438977,1.609944,1.344877,,,-0.1794476,1.64853,1.356983,,45.0005395849294,13.1990507744865,44.3049121580779
0.19, 10.68,10.68,,,-0.142166,1.61234,1.343934,,,-0.1773457,1.650632,1.356077,,45.0005395849294,13.3633757298342,44.2661405903332
0.199, 10.59,10.59,,,-0.1368549,1.618401,1.341955,,,-0.1715769,1.656401,1.354278,,45.0005395849294,13.7032792306475,44.198962266621
0.211, 10.17,10.17,,,-0.1351332,1.623042,1.341369,,,-0.168358,1.65962,1.353377,,45.0005395849294,13.9267015423705,44.0899387901231
0.222, 9.79,9.79,,,-0.1327784,1.628045,1.342232,,,-0.1646333,1.663345,1.353872,,45.0005395849294,14.0593907699103,43.9400673684306
0.232, 9.37,9.37,,,-0.1307979,1.632911,1.34327,,,-0.1611864,1.666791,1.354398,,45.0005395849294,14.079929148173,43.7729941157922
0.244, 8.97,8.97,,,-0.1281157,1.638344,1.345205,,,-0.1571115,1.670866,1.355796,,45.0005395849294,14.0437923258273,43.5926395606822
0.255, 8.47,8.47,,,-0.125695,1.644174,1.34685,,,-0.1529703,1.675008,1.356757,,45.0005395849294,13.9699844499364,43.3495565499805
0.266, 7.96,7.96,,,-0.1233217,1.65,1.348475,,,-0.1488691,1.679109,1.35772,,45.0005395849294,13.9250272922968,43.1110702564622
0.277, 7.52,7.52,,,-0.1208683,1.655475,1.348784,,,-0.1449162,1.683062,1.357511,,45.0005395849294,13.963447105309,42.9267029653265
0.288, 6.87,6.87,,,-0.118483,1.662385,1.347699,,,-0.1403477,1.68763,1.355713,,45.0005395849294,14.0938627336921,42.7769237511853
0.299, 6.24,6.24,,,-0.1165815,1.668635,1.346729,,,-0.1363363,1.691642,1.354088,,45.0005395849294,14.3052143939403,42.58682934659
0.311, 5.5,5.5,,,-0.1155093,1.674848,1.345617,,,-0.1327989,1.695179,1.352179,,45.0005395849294,14.5523938104827,42.3784368657173
0.321, 4.84,4.84,,,-0.1139246,1.680946,1.344785,,,-0.1290547,1.698923,1.350629,,45.0005395849294,14.7889369152362,42.1475013461164
0.333, 4.21,4.21,,,-0.1122599,1.686928,1.345084,,,-0.1253427,1.702635,1.350202,,45.0005395849294,14.9721755176429,41.900887127712
0.344, 3.69,3.69,,,-0.1105099,1.692246,1.345705,,,-0.121907,1.706071,1.350204,,45.0005395849294,15.1103639010852,41.643570003176
0.355, 3.39,3.39,,,-0.1085309,1.696345,1.346652,,,-0.1189164,1.709062,1.350771,,45.0005395849294,15.1949472538656,41.3952653129991
0.367, 3.02,3.02,,,-0.1062742,1.701088,1.347875,,,-0.1155001,1.712478,1.351535,,45.0005395849294,15.2227410003722,41.1629261895628
0.377, 2.93,2.93,,,-0.1031156,1.704847,1.349337,,,-0.1120419,1.715936,1.352886,,45.0005395849294,15.2721505874532,40.9934418802144
0.389, 2.69,2.69,,,-0.1003535,1.709306,1.350181,,,-0.1085004,1.719478,1.35343,,45.0005395849294,15.3286943069236,40.8645903651078
0.4, 2.6,2.6,,,-0.09787019,1.712409,1.351733,,,-0.1057131,1.722265,1.354877,,45.0005395849294,15.4166039617373,40.7024826598577
0.411, 2.36,2.36,,,-0.09563509,1.716238,1.351395,,,-0.1027429,1.725235,1.354274,,45.0005395849294,15.5738605252643,40.5368847280389
0.422, 2.03,2.03,,,-0.09396385,1.720186,1.350742,,,-0.1000434,1.727934,1.353235,,45.0005395849294,15.7539418728151,40.3936932311689
0.433, 1.77,1.77,,,-0.09172665,1.724238,1.349113,,,-0.09698817,1.73099,1.351305,,45.0005395849294,15.9770636562229,40.2689125086943
0.444, 1.42,1.42,,,-0.09005906,1.728298,1.348145,,,-0.09425732,1.733721,1.349921,,45.0005395849294,16.1927712694931,40.1480830505445
0.455, 1.17,1.17,,,-0.0882685,1.7318,1.346564,,,-0.09170815,1.73627,1.348039,,45.0005395849294,16.3954110236973,40.0429152157258
0.466, 0.92,0.92,,,-0.08656856,1.735203,1.345828,,,-0.08925772,1.73872,1.346996,,45.0005395849294,16.5844262584339,39.9132782288865
0.478, 0.74,0.74,,,-0.08445278,1.738514,1.345871,,,-0.08661783,1.74136,1.346816,,45.0005395849294,16.6699999886164,39.7942826764779
0.488, 0.71,0.71,,,-0.081871,1.741272,1.346269,,,-0.08395639,1.744022,1.347179,,45.0005395849294,16.6788792342903,39.7123443143799
0.5, 0.71,0.71,,,-0.07903442,1.744143,1.345987,,,-0.08110315,1.746875,1.346889,,45.0005395849294,16.6700477999392,39.6663703123559
0.511, 0.7,0.7,,,-0.0760917,1.747124,1.345481,,,-0.07814332,1.749835,1.346376,,45.0005395849294,16.6790926776959,39.6512004626315
0.522, 0.61,0.61,,,-0.07305065,1.7508,1.345425,,,-0.07482883,1.753149,1.346202,,45.0005395849294,16.6989173012102,39.6609608026838
0.533, 0.61,0.61,,,-0.0706079,1.753239,1.344826,,,-0.07238793,1.75559,1.345604,,45.0005395849294,16.7055477071625,39.6648642556858
0.544, 0.61,0.61,,,-0.0693904,1.754459,1.344214,,,-0.0711692,1.756809,1.344991,,45.0005395849294,16.6993680936829,39.6607968781483
0.555, 0.6,0.6,,,-0.06765401,1.756289,1.343498,,,-0.06939183,1.758586,1.344258,,45.0005395849294,16.7131377546664,39.6524333117424
0.567, 0.46,0.46,,,-0.06506404,1.759826,1.343987,,,-0.06639241,1.761585,1.344569,,45.0005395849294,16.7659009645365,39.6005409509672
0.578, 0.54,0.54,,,-0.06220451,1.762087,1.343732,,,-0.06378906,1.764189,1.344426,,45.0005395849294,16.7605495114707,39.5602872322139
0.589, 0.54,0.54,,,-0.05994719,1.764352,1.34409,,,-0.06152737,1.766451,1.344781,,45.0005395849294,16.7504083883828,39.5187460228379
0.6, 0.64,0.64,,,-0.05820204,1.765458,1.343748,,,-0.06005585,1.767922,1.344558,,45.0005395849294,16.7288642647928,39.4890142102082
0.611, 0.64,0.64,,,-0.05649941,1.767161,1.344016,,,-0.05835216,1.769626,1.344824,,45.0005395849294,16.7036233014174,39.4495527933765
0.622, 0.55,0.55,,,-0.0553601,1.768893,1.34363,,,-0.05695773,1.77102,1.344325,,45.0005395849294,16.6831019986271,39.4215251128973
0.633, 0.65,0.65,,,-0.05355528,1.770048,1.343814,,,-0.05543157,1.772546,1.344629,,45.0005395849294,16.6703210074984,39.4081379424966
0.644, 0.65,0.65,,,-0.05182337,1.771785,1.343394,,,-0.05369675,1.774281,1.344208,,45.0005395849294,16.671726318881,39.3896178850775
0.655, 0.63,0.63,,,-0.05014587,1.773533,1.343489,,,-0.0519882,1.77599,1.344289,,45.0005395849294,16.6804604230391,39.3661561859314
0.667, 0.61,0.61,,,-0.04858075,1.775258,1.34292,,,-0.05035302,1.777625,1.343691,,45.0005395849294,16.7029454051611,39.3306596938026
0.678, 0.56,0.56,,,-0.04723415,1.77693,1.342273,,,-0.04886454,1.779113,1.342984,,45.0005395849294,16.7411517747677,39.2652435588472
0.689, 0.46,0.46,,,-0.04525404,1.779637,1.34157,,,-0.04656926,1.781409,1.342146,,45.0005395849294,16.831282948547,39.1236025148756
0.7, 0.32,0.32,,,-0.04294606,1.782897,1.341971,,,-0.04385167,1.784126,1.342371,,45.0005395849294,16.9752718699805,38.9625056775946
0.71, 0.21,0.21,,,-0.04203916,1.784491,1.342331,,,-0.04265187,1.785326,1.342604,,45.0005395849294,17.0969089979771,38.8670230507494
0.722, 0.23,0.23,,,-0.04025526,1.78618,1.342679,,,-0.04090676,1.787071,1.342971,,45.0005395849294,17.1988956722784,38.8089493689475
0.734, 0.28,0.28,,,-0.03819112,1.787867,1.342734,,,-0.03900107,1.788977,1.343098,,45.0005395849294,17.239987796729,38.7637335179002
0.744, 0.51,0.51,,,-0.03657522,1.78795,1.342898,,,-0.03803352,1.789944,1.343551,,45.0005395849294,17.1881620302964,38.8040931045827
0.755, 0.65,0.65,,,-0.03496792,1.788646,1.343043,,,-0.03681332,1.791165,1.343867,,45.0005395849294,17.1360698864936,38.8429227289337
0.767, 0.85,0.85,,,-0.03239609,1.789828,1.343924,,,-0.03482977,1.793148,1.345008,,45.0005395849294,17.1015432812,38.8442853516352
0.778, 1.14,1.14,,,-0.02821857,1.79203,1.345208,,,-0.03148554,1.796492,1.346656,,45.0005395849294,17.0533153168126,38.7933184814668
0.789, 1.2,1.2,,,-0.02570072,1.79415,1.34567,,,-0.0291293,1.798849,1.347188,,45.0005395849294,17.0592661189614,38.6954726092346
0.8, 1.32,1.32,,,-0.02335921,1.795684,1.345864,,,-0.0271198,1.800858,1.347531,,45.0005395849294,17.1012751962826,38.588395736596
0.811, 1.15,1.15,,,-0.02130169,1.798904,1.346174,,,-0.02455714,1.803421,1.347633,,45.0005395849294,17.2819627231053,38.4025428793572
