経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.98,-0.98,,,0.07231958,1.497282,0.8796589,,,0.07148486,1.492495,0.8801421,,44.7500116682395,40.2578646780192,11.268006939472
0.01, 0.25,-0.25,,,0.06910615,1.496476,0.8827811,,,0.06888664,1.495257,0.8829037,,44.7500116682395,40.3458580026478,11.5321662058186
0.022, 2.17,-2.17,,,0.06120313,1.503162,0.8792276,,,0.05906799,1.492583,0.8802292,,44.7500116682395,40.9307475755675,12.4627862845252
0.033, 0.99,-0.99,,,0.0630587,1.503559,0.8859088,,,0.06210421,1.498717,0.8863633,,44.7500116682395,40.9151440088428,12.2104278771886
0.044, 0.49,0.49,,,0.0628927,1.505038,0.8953124,,,0.06336382,1.507432,0.8950784,,44.7500116682395,40.6992895465096,12.283743979473
0.055, 2.33,2.33,,,0.06830992,1.499837,0.9000492,,,0.07038331,1.511268,0.8989145,,44.7500116682395,40.4296371006758,11.5649528204696
0.066, 4.3,4.3,,,0.07189751,1.498072,0.9090923,,,0.07551219,1.519132,0.9067786,,44.7500116682395,39.7371003343378,11.3854119116219
0.079, 4.34,4.34,,,0.06974239,1.504757,0.9162118,,,0.07358848,1.525977,0.9136238,,44.7500116682395,39.1890767064373,12.1853755977838
0.089, 4.11,4.11,,,0.07125498,1.509802,0.9199563,,,0.074845,1.529876,0.9175226,,44.7500116682395,39.1991819710332,12.0535538042445
0.1, 4.35,4.35,,,0.07074846,1.517663,0.9292037,,,0.07462806,1.538883,0.9265298,,44.7500116682395,38.9881018107969,12.3787467855423
0.11, 3.83,3.83,,,0.06945542,1.525744,0.9344045,,,0.07299942,1.544394,0.9320405,,44.7500116682395,39.0378699827993,12.7302359944129
0.121, 2.74,2.74,,,0.06810036,1.534809,0.9374295,,,0.07072869,1.548134,0.9357803,,44.7500116682395,39.2924584468378,12.977984024188
0.134, 1.42,1.42,,,0.06598009,1.546669,0.9420854,,,0.067423,1.553585,0.941232,,44.7500116682395,39.465245152558,13.4994902971474
0.143, 0.48,0.48,,,0.06534029,1.557909,0.9481648,,,0.06584094,1.560228,0.9478748,,44.7500116682395,39.479694417345,13.8839846867163
0.155, 0.04,-0.04,,,0.06580159,1.569102,0.9565406,,,0.0657606,1.568918,0.9565642,,44.7500116682395,39.3816538847269,14.264675514797
0.166, 0.04,-0.04,,,0.06666683,1.580151,0.9675537,,,0.06661846,1.579936,0.967583,,44.7500116682395,39.0150161704724,14.6428699088056
0.177, 0.39,-0.39,,,0.06693645,1.592573,0.9780835,,,0.06650434,1.590702,0.9783487,,44.7500116682395,38.809615312373,15.0303465296379
0.187, 1.08,-1.08,,,0.06764591,1.60496,0.9866315,,,0.06641233,1.599744,0.987391,,44.7500116682395,38.6903875335391,15.3939653003633
0.199, 1.82,-1.82,,,0.06784294,1.617842,0.9954339,,,0.06572695,1.609091,0.9967375,,44.7500116682395,38.5986854162943,15.7241298054648
0.211, 2.48,-2.48,,,0.06878196,1.630155,1.004062,,,0.06584489,1.618248,1.005895,,44.7500116682395,38.418306955523,16.0804249060564
0.222, 2.34,-2.34,,,0.07023249,1.641606,1.0162,,,0.06744067,1.630377,1.018023,,44.7500116682395,38.0087278431515,16.4033101372526
0.232, 0.26,0.26,,,0.07633898,1.645274,1.034382,,,0.07662442,1.646512,1.034159,,44.7500116682395,36.7847682232288,16.1570715792421
0.244, 0.6,0.6,,,0.07664129,1.656619,1.047714,,,0.07732451,1.659511,1.047158,,44.7500116682395,36.2404397275665,16.7867262107364
0.255, 0.46,0.46,,,0.07646762,1.667581,1.057855,,,0.0769992,1.669772,1.057419,,44.7500116682395,36.0004678679451,17.2690707414056
0.266, 1.35,-1.35,,,0.07552635,1.679283,1.059284,,,0.07390624,1.672848,1.060495,,44.7500116682395,36.7259910319619,17.301379242828
0.277, 2.06,-2.06,,,0.07362779,1.690115,1.066128,,,0.07107523,1.680277,1.067924,,44.7500116682395,37.1541550885477,17.4576829949923
0.288, 2.34,-2.34,,,0.07256873,1.701702,1.076175,,,0.06959744,1.690585,1.078231,,44.7500116682395,37.1707763534304,17.8634389090822
0.299, 2.31,-2.31,,,0.07411871,1.708894,1.083534,,,0.07120864,1.697891,1.085537,,44.7500116682395,37.263885489605,17.661796362469
0.311, 1.2,-1.2,,,0.07781067,1.711575,1.092422,,,0.07636611,1.705837,1.093483,,44.7500116682395,36.8972033791222,17.1965392570803
0.321, 1.4,-1.4,,,0.07752195,1.721908,1.101618,,,0.07581566,1.715263,1.10291,,44.7500116682395,36.4979959087168,17.7011946000526
0.333, 1.5,-1.5,,,0.07679693,1.731215,1.110291,,,0.07494909,1.724096,1.111742,,44.7500116682395,36.060122738496,18.1128535049684
0.343, 1.41,-1.41,,,0.0769376,1.737136,1.116717,,,0.0752183,1.730454,1.1181,,44.7500116682395,35.8636899185272,18.117081391947
0.355, 1.69,-1.69,,,0.07793065,1.747723,1.125677,,,0.07585678,1.739717,1.127364,,44.7500116682395,35.7065750814215,18.3076248814678
0.366, 2.1,-2.1,,,0.07672403,1.757921,1.133479,,,0.07408969,1.74798,1.135627,,44.7500116682395,35.54585048944,18.7207420317308
