経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.002, 0.33,-0.33,,,0.2975854,1.768053,1.086836,,,0.2967349,1.766664,1.08686,,46.050527461344,14.597449152089,31.4814577444667
0.01, 0.15,-0.15,,,0.2920908,1.772525,1.082284,,,0.2916928,1.771894,1.08229,,46.050527461344,13.7981035980297,32.25889717492
0.021, 0.67,-0.67,,,0.2864616,1.78201,1.079308,,,0.2846222,1.779229,1.079319,,46.050527461344,12.5718883081963,33.4791582475101
0.032, 1.65,-1.65,,,0.2839475,1.791545,1.077057,,,0.2792892,1.784761,1.07704,,46.050527461344,11.576156037944,34.4761882536687
0.043, 2.12,-2.12,,,0.2815034,1.797432,1.076749,,,0.275416,1.788779,1.076701,,46.050527461344,10.9286139952849,35.127931716324
0.054, 2.52,-2.52,,,0.279292,1.802618,1.073278,,,0.2719463,1.792378,1.073125,,46.050527461344,10.4199399398716,35.6650202116676
0.066, 1.88,-1.88,,,0.2816865,1.795587,1.078928,,,0.2763211,1.78784,1.078873,,46.050527461344,11.3518534856162,34.7075711506478
0.077, 1.95,-1.95,,,0.2796949,1.798147,1.082783,,,0.2741199,1.790123,1.082788,,46.050527461344,11.25889717492,34.7917327392587
0.088, 1.73,-1.73,,,0.281549,1.794588,1.090441,,,0.2766911,1.787456,1.090565,,46.050527461344,11.8185662750312,34.2628233952186
0.1, 0.97,-0.97,,,0.2831335,1.787611,1.099071,,,0.2804592,1.783547,1.099204,,46.050527461344,12.7974766435996,33.3676315067511
0.118, 0.6,-0.6,,,0.2843542,1.783715,1.103542,,,0.2827247,1.781197,1.103642,,46.050527461344,13.2808081365765,32.9400821671734
0.124, 0.21,-0.21,,,0.2850111,1.780317,1.109427,,,0.2844408,1.779417,1.109474,,46.050527461344,13.9136840559484,32.4406075225425
0.133, 0.01,0.01,,,0.2828787,1.780973,1.10855,,,0.2829034,1.781012,1.108549,,46.050527461344,13.6478829829257,32.6763139291459
0.144, 0.09,0.09,,,0.2799399,1.78343,1.105142,,,0.2801944,1.783822,1.105125,,46.050527461344,13.2241542803087,33.0368522846413
0.155, 0.57,0.57,,,0.27725,1.78287,1.101838,,,0.2788124,1.785256,1.101761,,46.050527461344,12.9190326631021,33.2430112937175
0.166, 1.39,1.39,,,0.2753059,1.779106,1.099851,,,0.2791079,1.784949,1.099718,,46.050527461344,13.041365616601,33.061977134804
0.178, 2.29,2.29,,,0.2742985,1.773868,1.100539,,,0.2804996,1.783505,1.100319,,46.050527461344,13.3357612757882,32.7673808388155
0.188, 2.97,2.97,,,0.2733229,1.770138,1.101931,,,0.2813042,1.782671,1.101598,,46.050527461344,13.6196888165901,32.5028886007561
0.199, 3.64,3.64,,,0.272664,1.766178,1.103713,,,0.2823513,1.781584,1.103226,,46.050527461344,13.9725585774082,32.1809510582809
0.211, 4.14,4.14,,,0.2713739,1.764029,1.10421,,,0.2823625,1.781573,1.103593,,46.050527461344,14.0903281108949,32.0888903561147
0.222, 5.06,5.06,,,0.2698645,1.759215,1.102555,,,0.2831638,1.780742,1.101803,,46.050527461344,14.4405358055582,31.7356398122609
0.233, 5.26,5.26,,,0.2683761,1.759391,1.103985,,,0.2822287,1.781712,1.10309,,46.050527461344,14.3568984339515,31.8620256291458
0.244, 5.57,5.57,,,0.2679116,1.757713,1.102324,,,0.2825167,1.781413,1.101444,,46.050527461344,14.5170953938344,31.6762410737968
0.255, 5.91,5.91,,,0.2662605,1.757066,1.098431,,,0.2817611,1.782197,1.097624,,46.050527461344,14.4665588255718,31.6892730743705
0.266, 5.86,5.86,,,0.2639953,1.75965,1.095854,,,0.279557,1.784483,1.095177,,46.050527461344,14.0376408868773,32.0880331673977
0.277, 5.76,5.76,,,0.2639862,1.760368,1.096887,,,0.2792903,1.78476,1.096213,,46.050527461344,14.0073378996941,32.1205346216588
0.288, 5.25,5.25,,,0.2629634,1.764959,1.098199,,,0.2770878,1.787045,1.097506,,46.050527461344,13.533243383539,32.6201424549748
0.299, 5.31,5.31,,,0.2620183,1.765463,1.09558,,,0.2763286,1.787832,1.094991,,46.050527461344,13.4996806886652,32.6217407191961
0.31, 4.96,4.96,,,0.2618319,1.768112,1.099104,,,0.2752711,1.788929,1.098435,,46.050527461344,13.2925031276574,32.866999145088
0.321, 4.98,4.98,,,0.2627913,1.766974,1.098787,,,0.2762193,1.787945,1.098127,,46.050527461344,13.5022112736823,32.6518686827867
0.332, 4.49,4.49,,,0.262347,1.770849,1.10049,,,0.2745308,1.789697,1.099838,,46.050527461344,13.2742955513841,32.9033630712172
0.343, 4.6,4.6,,,0.2631766,1.769254,1.100834,,,0.2755941,1.788594,1.100183,,46.050527461344,13.4433145541082,32.7264338558807
0.354, 4.46,4.46,,,0.2642172,1.769176,1.103919,,,0.276204,1.787961,1.103198,,46.050527461344,13.631648477494,32.5752373775262
0.365, 4.36,4.36,,,0.2644772,1.769641,1.105085,,,0.2761702,1.787996,1.10435,,46.050527461344,13.6860697157389,32.535096356891
0.377, 4.45,4.45,,,0.2639229,1.769579,1.105083,,,0.2758554,1.788323,1.104328,,46.050527461344,13.7049799477035,32.5180482051971
0.387, 4.47,4.47,,,0.2635002,1.769842,1.103667,,,0.2755175,1.788673,1.102947,,46.050527461344,13.629083741532,32.5766341511726
0.398, 4.49,4.49,,,0.2649583,1.768215,1.108405,,,0.2769549,1.787182,1.10757,,46.050527461344,13.8984228524463,32.3585906132713
0.409, 4.61,4.61,,,0.2638745,1.76847,1.106764,,,0.2762202,1.787944,1.105953,,46.050527461344,13.8226103160898,32.4125286156459
0.421, 4.54,4.54,,,0.2641317,1.768702,1.106148,,,0.2763023,1.787859,1.105381,,46.050527461344,13.7563156480768,32.46459514624
0.432, 4.55,4.55,,,0.2640952,1.768669,1.106468,,,0.2762935,1.787868,1.105715,,46.050527461344,13.7491046760612,32.4643219386808
0.443, 4.64,4.64,,,0.2641944,1.767961,1.107122,,,0.2766193,1.78753,1.106355,,46.050527461344,13.7666241107948,32.4470313152781
0.454, 4.72,4.72,,,0.2644446,1.767134,1.108571,,,0.2770745,1.787058,1.10778,,46.050527461344,13.8113567259717,32.4060604266819
0.465, 4.63,4.63,,,0.2642799,1.7679,1.108476,,,0.2766909,1.787456,1.107704,,46.050527461344,13.7795767104216,32.436157654422
0.476, 4.73,4.73,,,0.2642254,1.767285,1.108827,,,0.2768953,1.787244,1.108054,,46.050527461344,13.7686902429612,32.4404982395188
0.488, 4.64,4.64,,,0.2648172,1.767282,1.109345,,,0.2772538,1.786872,1.108591,,46.050527461344,13.7655620164084,32.4414783716374
0.498, 4.55,4.55,,,0.2654608,1.767301,1.110176,,,0.2776339,1.786478,1.109426,,46.050527461344,13.7721189978291,32.4404606734794
0.509, 4.51,4.51,,,0.2663601,1.766605,1.112927,,,0.2784318,1.78565,1.112133,,46.050527461344,13.8267408728754,32.408570521132
0.52, 4.32,4.32,,,0.2676549,1.76663,1.114563,,,0.2792011,1.784852,1.11378,,46.050527461344,13.8441928594928,32.403140520893
0.532, 4.21,4.21,,,0.2689804,1.76603,1.116886,,,0.2802283,1.783787,1.1161,,46.050527461344,13.8614655536494,32.3984106150244
0.543, 3.92,3.92,,,0.2709335,1.766042,1.119284,,,0.281401,1.78257,1.11853,,46.050527461344,13.8757841910723,32.3972153319529
0.554, 4.04,4.04,,,0.2760804,1.75993,1.124942,,,0.286691,1.777083,1.124087,,46.050527461344,14.5101183557914,31.8041739284856
