経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.49,-0.49,,,0.08538365,1.789603,1.616577,,,0.08498801,1.787268,1.615973,,38.2252516640048,26.0313289384862,17.395306294133
0.011, 0.85,0.85,,,0.08540975,1.781838,1.616714,,,0.08607194,1.785911,1.617771,,38.5400858099409,26.0654628079135,17.2346978153641
0.022, 2.17,2.17,,,0.086143,1.773728,1.617412,,,0.08774601,1.78413,1.620106,,38.9500405827062,26.1891404548678,16.9881911724361
0.034, 3.56,3.56,,,0.08726017,1.765529,1.617703,,,0.08972635,1.782576,1.622129,,39.304810843608,26.1982468043253,16.7744591913284
0.045, 5.22,5.22,,,0.09004115,1.756428,1.617062,,,0.09335659,1.781455,1.623636,,39.5591465906543,25.900180772335,16.6167603730649
0.055, 6.72,6.72,,,0.0921374,1.748574,1.615896,,,0.09612631,1.780793,1.624506,,39.7084476915669,25.5527734551535,16.6373960815206
0.066, 7.64,7.64,,,0.09289656,1.74476,1.613751,,,0.09729031,1.781353,1.623842,,39.5822018935561,24.8905593127919,16.968626096103
0.077, 7.53,7.53,,,0.08981094,1.744208,1.615167,,,0.09446073,1.78019,1.625203,,39.84428649,25.2390389696432,17.3144539320829
0.088, 7.97,7.97,,,0.08331519,1.749307,1.605033,,,0.08881781,1.78708,1.616427,,38.2692107602797,23.2330414945364,18.7456568535824
0.099, 8.09,8.09,,,0.08342784,1.747831,1.60591,,,0.08897565,1.786187,1.617574,,38.4764762599707,23.2707765811034,18.8379446595322
0.111, 7.9,7.9,,,0.07833399,1.750513,1.603693,,,0.08417837,1.787863,1.615154,,38.0863426956251,23.3354106594206,19.2292769220436
0.122, 8.39,8.39,,,0.07863083,1.751335,1.598702,,,0.08481707,1.790892,1.611237,,37.3733256076307,22.1962734488925,19.6863343855619
0.132, 8.14,8.14,,,0.07802552,1.751714,1.60013,,,0.08404223,1.790143,1.612174,,37.5507568418572,22.5663143048063,19.531852586308
0.145, 7.98,7.98,,,0.07759094,1.751694,1.601474,,,0.08354072,1.789364,1.613161,,37.734420623528,22.9412711892384,19.4181401850754
0.155, 7.56,7.56,,,0.07999822,1.752354,1.604043,,,0.08547825,1.788128,1.614896,,38.0247036551756,23.2900189310071,18.9938761663971
0.166, 7.74,7.74,,,0.08058117,1.752192,1.602826,,,0.08613577,1.788851,1.613998,,37.8552569118667,22.9951374746287,19.0197984411232
0.177, 7.77,7.77,,,0.08080173,1.752101,1.602798,,,0.08634557,1.788863,1.613995,,37.8525077608022,22.9718192094512,18.9958603362957
0.188, 7.71,7.71,,,0.08143076,1.752319,1.603015,,,0.08687249,1.788845,1.614048,,37.8566912515524,23.0229909852889,18.8390118765603
0.2, 7.66,7.66,,,0.08112255,1.752742,1.602802,,,0.08649649,1.789081,1.613721,,37.8013701359094,23.0472005901283,18.7398546080439
0.21, 7.81,7.81,,,0.08063179,1.752664,1.601771,,,0.08609138,1.789713,1.61287,,37.652495921808,22.967601567756,18.6867703792918
0.221, 7.79,7.79,,,0.08016665,1.753086,1.601431,,,0.08559322,1.790043,1.612406,,37.5744371070507,23.0394449105416,18.5536397507892
0.233, 7.77,7.77,,,0.079345,1.753391,1.601169,,,0.08471373,1.7903,1.612014,,37.5138567458931,23.1546548307081,18.3768949505551
0.244, 7.77,7.77,,,0.07921368,1.754327,1.59992,,,0.08452529,1.791291,1.610689,,37.2786591883686,23.0325412970301,18.2221211607223
0.255, 7.79,7.79,,,0.07906828,1.754648,1.599371,,,0.08434175,1.791731,1.610091,,37.1738567686604,23.0245021646007,18.0818837205861
0.267, 7.85,7.85,,,0.07965058,1.754955,1.598588,,,0.0849055,1.792319,1.609343,,37.0335271209729,22.890374328507,17.9887199428996
0.277, 7.93,7.93,,,0.07993735,1.75546,1.597255,,,0.08522083,1.793229,1.608138,,36.8151284132447,22.6447487799575,17.9854448672837
0.288, 8.09,8.09,,,0.07971589,1.755919,1.595345,,,0.08506465,1.794463,1.606452,,36.5173936454198,22.3590846636075,17.9614965171728
0.299, 8.34,8.34,,,0.08018003,1.756347,1.592816,,,0.08564026,1.79608,1.604265,,36.1240806281042,21.9426207207443,17.9312046290467
0.312, 8.58,8.58,,,0.0804247,1.757231,1.589638,,,0.08594237,1.798131,1.601415,,35.6196062851399,21.4235690469496,17.866845465836
0.323, 8.94,8.94,,,0.08179808,1.757253,1.586753,,,0.08738211,1.799902,1.598984,,35.1792366808469,20.9101949677444,17.7260240445419
0.334, 9.52,9.52,,,0.08340254,1.756728,1.58277,,,0.0891382,1.802119,1.595866,,34.6207116373898,20.1194793574614,17.7127495722594
0.346, 9.83,9.83,,,0.08353911,1.757702,1.578712,,,0.08934437,1.804577,1.592235,,33.9919073644236,19.4846149993227,17.6595902114285
0.357, 9.9,9.9,,,0.08447979,1.758522,1.577014,,,0.09028357,1.805832,1.590388,,33.6669508784192,19.3924637971525,17.3574209434085
0.367, 9.98,9.98,,,0.08488947,1.760107,1.57397,,,0.09067762,1.807825,1.587354,,33.1452098177136,18.9757266467301,17.2218638902707
0.378, 9.81,9.81,,,0.08477256,1.76346,1.57023,,,0.09053969,1.810359,1.583374,,32.4707013351881,18.4258810659193,17.2462903536103
0.389, 9.51,9.51,,,0.08396238,1.76711,1.567005,,,0.08972134,1.812577,1.579768,,31.8696003087245,18.0108992740647,17.3449507258783
0.4, 9.13,9.13,,,0.08353016,1.771105,1.564045,,,0.08918422,1.814711,1.576228,,31.2816883771813,17.6706858534264,17.3467487731273
0.411, 8.73,8.73,,,0.08238071,1.776412,1.558742,,,0.08803636,1.818094,1.570421,,30.328494523896,17.065201553185,17.5170185542084
0.422, 8.36,8.36,,,0.08232655,1.780865,1.554599,,,0.08779554,1.820786,1.565673,,29.5497880933869,16.598443513768,17.4156056157814
0.433, 8.15,8.15,,,0.08362707,1.783964,1.551256,,,0.08888658,1.822949,1.56183,,28.9104653293916,16.2043023360385,17.0766609027461
0.444, 7.76,7.76,,,0.08436011,1.788834,1.546301,,,0.08940767,1.825989,1.556182,,27.9891104020363,15.6729477843436,16.8511673362149
0.455, 7.26,7.26,,,0.08413233,1.794579,1.54042,,,0.08891644,1.82937,1.54956,,26.9295722138805,15.0575170214001,16.7388995199516
0.467, 7.04,7.04,,,0.08577295,1.797408,1.537249,,,0.0903298,1.831267,1.545816,,26.3182259039471,14.7847619622222,16.2131115722754
0.477, 6.83,6.83,,,0.08700285,1.801219,1.531852,,,0.0913548,1.834092,1.539968,,25.3816191645996,14.1545020052296,15.8700499628324
0.489, 6.49,6.49,,,0.08758813,1.805946,1.525564,,,0.09171361,1.837232,1.533118,,24.3010422868383,13.4973106130891,15.6014903472354
